# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 496, mean track length: 6.52
0 0.37199372366613714 -0.011624595440471884 0.8568734069837509 81 85 93 0.21
1 0.3622498344854612 -0.0032637378148454637 0.8800495656829507 85 85 92 0.44
2 0.2807692265684991 0.0742449699958985 1.0283700791106443 129 124 120 0.26
3 0.2546059073350503 0.07707436276222618 1.0115689157618837 113 106 95 0.39
4 0.2143699853475348 -0.03556603415181142 1.121489145573592 91 99 120 0.87
5 -0.26145851694716765 -0.021909222622577662 1.0103004618907947 176 162 158 0.27
6 0.23054847924553534 -0.004198744764153243 1.0333912554381246 202 212 228 0.61
7 0.2916558478003246 0.0756142013207572 1.032822875554053 141 135 132 0.36
8 -0.30652183989486276 0.08725197770070942 0.9866016877665603 132 119 95 0.37
9 -0.44875031408133476 0.12835393951218887 0.977516082194478 118 111 101 0.22
10 0.3904498803347139 -0.024557926154469407 0.812246534621115 199 207 221 0.16
11 0.2802582109930795 0.021569785632307676 1.0483962182468998 218 224 237 0.23
12 0.23555650120209656 0.04248245831414504 1.0159266988817637 92 93 97 0.51
13 0.3137762481285551 0.0901140941784831 1.0388366419533983 77 72 69 0.43
14 -0.34105874793916346 0.09076096106209382 0.9843249800806436 31 30 26 0.22
15 0.3739374014762652 -0.02333891339952191 0.866330483764445 199 214 229 0.27
16 -0.2127183604108528 0.026238107907974196 0.9941464489321511 138 124 102 0.79
17 -0.3044562687221486 0.026234833962341445 0.9933498816451625 133 122 106 0.38
18 0.27170627943130016 0.031013735975020863 1.0388734066520742 68 65 74 0.15
19 0.3072443081073071 0.09066701216048671 1.0436617099122962 169 154 140 0.25
20 0.36398881096669944 -0.008217428044605438 0.8741587412992664 205 218 236 0.43
21 0.32393468999059266 0.1450520842818459 0.892745696170149 115 98 85 0.49
22 0.38959709354400374 -0.017062707598816968 0.8119588565303647 66 65 70 0.4
23 0.37044380436751045 -0.016295521829256945 0.8667839951841911 65 62 63 0.31
24 -0.41571850266465743 0.06486297681158437 0.9959277521417664 45 43 43 0.66
25 -0.3598616619065267 -0.016951969957394675 1.0098803597033095 63 64 67 0.31
26 -0.4773166501552169 0.01970443467276918 1.0098850376942088 54 54 49 0.2
27 -0.4699544901392569 0.03320139865593771 1.007343986860473 131 132 127 0.34
28 -0.3881643503841665 0.09202366592188947 0.9874799716289411 30 32 26 0.18
29 -0.3542833206725428 0.11296565723158883 0.9769843359202747 121 110 81 0.43
30 -0.46624010900086343 0.1739560890711185 0.9688415978795164 48 46 38 0.23
31 -0.45545309899666175 0.1737490624397664 0.963167820821796 50 49 42 0.27
32 -0.40680438262820057 0.18675116315688564 0.9533798365425448 67 63 50 0.29
33 -0.3974108184287873 0.21003381515553493 0.9500062256759296 80 78 72 0.24
34 -0.32764968804784494 -0.006834812341928013 1.0103683920019972 64 67 73 0.45
35 -0.45387190341729683 0.023014815085632856 1.0121217923023367 188 199 207 0.32
36 -0.46417581930675894 0.02504980565661553 1.0088113353783161 113 113 112 0.42
37 -0.4507866116920769 0.04419743253496802 1.0026142463186216 135 136 132 0.24
38 -0.40690059102170156 0.07296609126766306 0.991515584207232 50 47 46 0.3
39 -0.4207079366896809 0.0846604105922087 0.9892126219398162 115 94 65 0.12
40 -0.43850720591364484 0.12644334739796345 0.9764881881322057 134 118 79 0.38
41 -0.3922146478279251 0.14245317395757925 0.9681838007055674 100 100 98 0.33
42 -0.37849290312953754 0.15413149703517315 0.9650036657414052 75 60 38 0.18
43 -0.45080041227123147 0.17212144214717848 0.9633802670669832 110 107 96 0.24
44 -0.37632579424065965 0.19736348192253228 0.9549173473982322 110 106 98 0.21
45 -0.40238525544135995 0.21280447721752496 0.94782762219439 75 76 63 0.17
46 -0.4510804981271675 0.03599793887445971 1.0049371473666746 130 129 124 0.35
47 -0.44415613525586556 0.0511076627688937 0.9972727544579224 42 39 36 0.28
48 -0.44613907059204566 0.1848831747869791 0.957072605771024 32 30 26 0.31
49 -0.416241347715862 0.022588999257538735 1.0011512327101482 112 105 94 0.43
50 -0.46224937463700916 0.03804474678646631 1.0055436756922267 31 32 34 0.31
51 -0.39726957161962073 0.05916587434388215 0.9968364378955041 153 147 133 0.39
52 -0.4341055595545983 0.05750554419032962 0.9973841885367934 146 142 125 0.38
53 -0.4350657780164779 0.1757524425125003 0.9615708770040142 120 115 103 0.51
54 -0.37807663412851966 0.06349807362574754 0.9942734742295901 46 44 44 0.49
55 -0.37711940076629813 0.08947551393626843 0.9825886363349806 44 46 48 0.71
56 -0.3784404494903067 0.17397529045436175 0.9594835347777099 27 27 27 0.5
57 -0.41662452058489424 0.20814563022756732 0.9517305034034215 14 17 14 0.3
