# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 120
221 RADIAL 1029 686 1023.136612736535 514.5 343.0 -0.03927843647381166 0.03280082912330365
232 RADIAL 1057 691 1100.7781673686584 528.5 345.5 -0.02507696216500806 -0.005096670676940914
21 RADIAL 1003 667 954.8620436169451 501.5 333.5 -0.03518054051370935 0.07866644364134052
85 RADIAL 1068 694 858.6618464382826 534.0 347.0 -0.04731582943870144 0.12460847057355347
77 RADIAL 1066 693 823.1982643967268 533.0 346.5 -0.029643442805891443 0.06725887016740385
159 RADIAL 1023 760 1045.1736320701975 511.5 380.0 -0.014647335301277391 0.05197366628441659
0 RADIAL 1067 697 811.9442295105146 533.5 348.5 -0.07828348770637654 0.15595119798298795
128 RADIAL 1025 760 1033.5086315682865 512.5 380.0 -0.03275557375114865 0.08078812943743141
2 RADIAL 1024 575 1185.0506483449 512.0 287.5 -0.006494456752545181 0.028816441972805227
3 RADIAL 687 1042 1083.86359193141 343.5 521.0 -0.008343556670436623 -0.0304558511417418
4 RADIAL 995 666 1706.0181441272998 497.5 333.0 0.01006329704050268 0.011990345321822402
11 RADIAL 1014 760 1828.9446497925535 507.0 380.0 -0.006574470659523731 -0.021772423630993513
12 RADIAL 1023 760 1187.6783078630115 511.5 380.0 -0.007624577070074621 0.050759258636817725
17 RADIAL 1019 760 1138.6592172937198 509.5 380.0 -0.01892629662495486 0.02749659834105922
152 RADIAL 1021 677 1029.5922510251883 510.5 338.5 -0.014480107070629317 0.01130700409397823
25 RADIAL 1025 760 1121.639314456178 512.5 380.0 -0.021399600147000715 0.007911038375615865
27 RADIAL 1018 760 1003.1930942061219 509.0 380.0 0.003941781185316048 0.043533238858861845
32 RADIAL 988 741 831.3172163558095 494.0 370.5 0.008008306762297671 -0.027779044427489345
33 RADIAL 1026 650 2271.631335388875 513.0 325.0 0.00564789622263956 0.0005410965680822382
164 RADIAL 1033 760 1096.4322156759295 516.5 380.0 0.01341425013849836 -0.04446513020907183
36 RADIAL 1021 760 835.6564152358919 510.5 380.0 -0.01987852354332321 0.04691256097175648
43 RADIAL 1026 760 1018.3525031626805 513.0 380.0 0.008612235506843298 -0.0073594929199583825
172 RADIAL 1020 760 998.5275261841705 510.0 380.0 -0.0034480044454417904 0.038430289172204396
44 RADIAL 1035 578 775.0037252604086 517.5 289.0 -0.01184985141771799 0.01592649415181298
176 RADIAL 1022 760 1193.0746235532708 511.0 380.0 0.017274898392961636 -0.13847181479622497
50 RADIAL 1015 760 1147.280909665127 507.5 380.0 -0.0068610511744635365 0.0055108668561301595
179 RADIAL 1026 680 1367.120460312332 513.0 340.0 -0.01926066564069026 0.01538963719819289
53 RADIAL 1023 760 1084.2910191969947 511.5 380.0 -0.02973037152396225 0.009906823771305556
190 RADIAL 1030 760 1027.5638498161015 515.0 380.0 -0.020084558259770017 -0.03450615222021104
65 RADIAL 1041 760 993.7659015915483 520.5 380.0 -0.0029486502854004955 -0.042017301710326235
67 RADIAL 1022 760 1067.5030263518347 511.0 380.0 -0.018650427092686873 -0.007948001528736585
196 RADIAL 1051 690 1139.5049070944071 525.5 345.0 0.0037510040000834828 0.0357638836948488
204 RADIAL 1021 760 1162.8712221701242 510.5 380.0 -0.01255128164225684 -0.022526071821101102
213 RADIAL 1024 628 1980.9017516289932 512.0 314.0 0.0015630496662019666 0.0003442546636684513
217 RADIAL 975 563 970.8954198487137 487.5 281.5 -0.07728147648249281 -0.04726573547785873
89 RADIAL 1032 760 813.472053102345 516.0 380.0 -0.06431279416868566 0.11502035098562391
219 RADIAL 1024 760 1146.4725046374722 512.0 380.0 -0.0020199914448396274 -0.03701692629417103
220 RADIAL 971 643 1298.9241598630288 485.5 321.5 -0.017383764304753 0.0032060175820713957
92 RADIAL 1031 760 802.2078456589987 515.5 380.0 -0.027193231030457357 0.047947022801246214
96 RADIAL 1024 760 1044.4074421503349 512.0 380.0 0.016669951966718253 -0.06948764764409872
227 RADIAL 1020 683 1034.8410149387662 510.0 341.5 -0.05428036484533494 0.13634359579197328
103 RADIAL 1026 760 1128.729161750617 513.0 380.0 -0.005058921942827699 -0.005635036941242688
118 RADIAL 1032 760 1114.292308937339 516.0 380.0 -0.05162036360284863 0.05570699360717466
148 RADIAL 1015 760 1576.928098559923 507.5 380.0 -0.0017028118307180586 0.030831893949699072
146 RADIAL 1031 760 1089.1098627162733 515.5 380.0 -0.020085504379425835 0.032233100155972284
162 RADIAL 1033 760 1032.1540665714504 516.5 380.0 0.02824162395585335 0.0006331893446281066
224 RADIAL 1019 760 1289.9658425178209 509.5 380.0 -0.015813024557667286 0.005613439235279033
60 RADIAL 1015 760 1771.9670164562358 507.5 380.0 -0.003510986614566166 -0.0020293275975365043
158 RADIAL 1013 757 1032.172013870758 506.5 378.5 0.026533838694693803 -0.00606411985245432
110 RADIAL 1015 760 1772.6524922713086 507.5 380.0 0.008786876005261166 0.0010862527091991328
157 RADIAL 1018 760 1564.5828758949 509.0 380.0 -0.01945046710999272 0.017212044214350332
229 RADIAL 1016 760 1115.2418837372986 508.0 380.0 -0.002512544079533895 -0.059575685533013255
111 RADIAL 1043 690 1178.6138202855195 521.5 345.0 -0.006099153070013736 -0.02293612515750511
209 RADIAL 1069 694 870.8438569274465 534.5 347.0 -0.060567454138666606 0.12197509223675847
52 RADIAL 1028 760 951.8927049180896 514.0 380.0 -0.02276002663766973 0.0836682955611596
19 RADIAL 1050 692 1021.175143382653 525.0 346.0 -0.016527348452383857 0.06470759989896727
61 RADIAL 1039 686 1193.065934044364 519.5 343.0 0.00035566770897176063 -0.04982431947719131
109 RADIAL 1026 760 1057.6543857161648 513.0 380.0 -0.03632694209271017 0.1169058843184346
127 RADIAL 1014 758 1956.0077940117396 507.0 379.0 -0.0027937472572518987 0.001453876319629949
185 RADIAL 1022 760 1065.7031403021965 511.0 380.0 -0.004414723227235677 -0.01638015966137194
160 RADIAL 680 1032 978.8687789507815 340.0 516.0 -0.05194900779101418 0.14117122838207116
41 RADIAL 1022 679 1655.7309263143582 511.0 339.5 -0.03671327418524359 -0.002525391934744787
114 RADIAL 760 1021 753.4431475036324 380.0 510.5 0.04064412033808724 -0.12271670966595186
26 RADIAL 1027 760 1041.114499277038 513.5 380.0 -0.048008810811690346 0.07853294058093002
181 RADIAL 1010 760 1056.1923404164465 505.0 380.0 0.002675598481439791 -0.09510799533812797
56 RADIAL 1028 683 692.8347369060613 514.0 341.5 0.013012642282692277 -0.02007403848768484
64 RADIAL 1058 689 778.0732943832774 529.0 344.5 -0.03811058589049472 0.042265418325810405
198 RADIAL 613 454 645.1510177470075 306.5 227.0 -0.008285461309496638 0.01997944507126243
199 RADIAL 612 454 647.7177444777586 306.0 227.0 -0.013995340476138454 0.014855803702201891
81 RADIAL 1026 760 699.1398913326959 513.0 380.0 -2.4265279056403323e-05 -0.025911866381577983
88 RADIAL 1024 760 682.0027514521179 512.0 380.0 -0.00695993411288534 -0.020303687295069
9 RADIAL 1028 685 835.0861871992008 514.0 342.5 -0.004364557309357943 -0.008878501334663213
40 RADIAL 1023 760 930.3225213804657 511.5 380.0 0.009547202517402821 0.015080992702038764
126 RADIAL 1037 760 1122.6297104053833 518.5 380.0 -0.021388356275185545 0.0611649735026591
42 RADIAL 1057 691 778.5061038461089 528.5 345.5 -0.025846254279757935 0.0981273438878313
71 RADIAL 1033 760 1077.3542935564128 516.5 380.0 -0.026009045108460093 0.06642401709798736
200 RADIAL 1064 696 804.4549987855312 532.0 348.0 -0.0841935346929878 0.1654660108339669
113 RADIAL 1014 760 1626.1453297283867 507.0 380.0 0.001463633943002512 6.639329769129688e-05
142 RADIAL 689 1050 854.5847627078352 344.5 525.0 -0.059462415277777944 0.12072337730250299
