# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 59
221 RADIAL 1029 686 1009.7247993604248 514.5 343.0 0.008226141645672785 0.0158605075559603
232 RADIAL 1057 691 1100.060267971662 528.5 345.5 -0.0289368900796974 -0.008803787604632103
21 RADIAL 1003 667 965.976023209393 501.5 333.5 -0.02132652398719812 0.06577972758216065
85 RADIAL 1068 694 862.6672148199543 534.0 347.0 0.009451044442609696 0.01627917474855169
77 RADIAL 1066 693 813.6936096230352 533.0 346.5 -0.0334864396308319 0.0641808076200276
159 RADIAL 1023 760 1051.838561536177 511.5 380.0 0.0019197305237632623 0.013132912682499729
32 RADIAL 988 741 831.6700105131087 494.0 370.5 -3.804578720239549e-05 -0.003631673303394005
164 RADIAL 1033 760 1109.3142594144879 516.5 380.0 0.0002467172140197778 -0.0018545830995948189
36 RADIAL 1021 760 839.1078014659037 510.5 380.0 0.019951181763588142 0.020082211434446457
196 RADIAL 1051 690 1147.7269075782638 525.5 345.0 -0.0034181281017324604 0.0021770851861040775
148 RADIAL 1015 760 1574.9349615654658 507.5 380.0 -0.005265577289097591 0.002434194448800858
33 RADIAL 1026 650 2267.7216755631907 513.0 325.0 0.004184177978218564 0.00013180227787703037
146 RADIAL 1031 760 1093.2697908319583 515.5 380.0 0.019038494191065073 0.011285266707429178
162 RADIAL 1033 760 1036.974982306652 516.5 380.0 0.012293056161961115 0.0032148009867552173
224 RADIAL 1019 760 1286.7890919017411 509.5 380.0 -0.029254304603548786 -0.003582641366093535
44 RADIAL 1035 578 781.2397115076071 517.5 289.0 -0.008251402547797314 0.015317964874381305
92 RADIAL 1031 760 805.4492401962866 515.5 380.0 0.015430492084877241 0.012299998469456843
50 RADIAL 1015 760 1152.8366344477727 507.5 380.0 0.0031480837972424126 0.003675542073552645
213 RADIAL 1024 628 1979.697138419574 512.0 314.0 0.0081889839375287 0.0006056874795378018
27 RADIAL 1018 760 1001.8266045176237 509.0 380.0 0.0062032057797843 0.007220141434491305
60 RADIAL 1015 760 1770.2023984235773 507.5 380.0 -0.004327306205300051 -0.00030899953288610185
176 RADIAL 1022 760 1193.4611775174865 511.0 380.0 -0.03201499062084488 -0.032296859643381026
219 RADIAL 1024 760 1146.2861572847812 512.0 380.0 0.012498871262606126 0.00261278866144267
158 RADIAL 1013 757 1027.7565142863375 506.5 378.5 -0.014482275169065799 -0.0023517245416316266
103 RADIAL 1026 760 1129.916902078265 513.0 380.0 0.002414734499554306 9.447042669220763e-05
172 RADIAL 1020 760 1009.2167893595267 510.0 380.0 0.0014055832736971272 0.0004518749107664976
110 RADIAL 1015 760 1773.0519130731689 507.5 380.0 -0.017299379382795972 -0.00118015244644726
157 RADIAL 1018 760 1570.5492150193222 509.0 380.0 -0.0124208809986143 -0.00044222768108820304
128 RADIAL 1025 760 1040.2826585059438 512.5 380.0 -0.00412324286980362 0.0017682121482366778
52 RADIAL 1028 760 961.9197612912432 514.0 380.0 -0.008138292060180803 -0.0025987335645383546
127 RADIAL 1014 758 1954.6525743550228 507.0 379.0 0.00812669995356279 0.0006560767498963416
61 RADIAL 1039 686 1206.3478036622982 519.5 343.0 0.0049894824914287796 0.0018878941379993199
223 RADIAL 1199 556 842.7578398630797 599.5 278.0 0.09382184057453768 0.037171879577210486
96 RADIAL 1024 760 1040.6630696976003 512.0 380.0 0.00787143025462049 0.0016173751830384489
227 RADIAL 1020 683 1035.2457908745362 510.0 341.5 -0.0019829730102705776 -7.011184085207999e-05
111 RADIAL 1043 690 1174.9569432287972 521.5 345.0 0.0009766791997882858 0.0008390773034339875
118 RADIAL 1032 760 1104.616798947661 516.0 380.0 -0.018204928631138817 -0.004045983907395233
220 RADIAL 971 643 1297.1242453118155 485.5 321.5 -0.021583984670144624 -0.0026133391690255675
53 RADIAL 1023 760 1083.4018333891026 511.5 380.0 -0.010907607731580034 0.0003814894668467367
71 RADIAL 1033 760 1076.0639332489197 516.5 380.0 0.013245041940927882 0.003250073191501745
113 RADIAL 1014 760 1626.0832688711657 507.0 380.0 0.00058517800912702 2.8853811350731934e-05
126 RADIAL 1037 760 1119.704374028962 518.5 380.0 -0.008313103118562763 -0.00013368369906086296
63 RADIAL 1023 760 1035.3047413402876 511.5 380.0 0.025818349151474376 0.013507615549065499
43 RADIAL 1026 760 1016.7279789593163 513.0 380.0 0.0033811359293250674 0.0005754670316228681
25 RADIAL 1025 760 1109.6267073641134 512.5 380.0 -0.007807911384142509 -0.0007327983394841784
67 RADIAL 1022 760 1058.9914381313008 511.0 380.0 -0.006956520955078224 -0.0011675602557461582
26 RADIAL 1027 760 1035.6827400068944 513.5 380.0 -0.026672957136154446 -0.0017915847731084665
73 RADIAL 1067 697 807.4329081557274 533.5 348.5 0.02258136749704157 0.004510769652329543
181 RADIAL 1010 760 1049.077834728294 505.0 380.0 -0.014125673323107605 -0.025479617329245433
88 RADIAL 1024 760 680.3338005794336 512.0 380.0 0.0010466029310971818 -0.0004575287604282444
81 RADIAL 1026 760 696.870062008773 513.0 380.0 -0.028858824023086923 -0.00906994129883108
199 RADIAL 612 454 644.4358365668472 306.0 227.0 -0.009389977462217852 0.0021332697710802783
194 RADIAL 1009 670 1507.512059281146 504.5 335.0 0.0 0.0
38 RADIAL 1018 760 1562.5060512162786 509.0 380.0 0.0 0.0
135 RADIAL 760 1026 694.6228955925166 380.0 513.0 0.0 0.0
76 RADIAL 1023 760 675.2929749558436 511.5 380.0 0.0 0.0
207 RADIAL 1033 683 1239.6 516.5 341.5 0.0 0.0
214 RADIAL 1028 760 1085.7952040182633 514.0 380.0 0.0 0.0
188 RADIAL 1057 691 1659.5857063722826 528.5 345.5 0.0 0.0
