# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 54
159 RADIAL 1023 760 1052.0487592744219 511.5 380.0 -0.015664747291729383 0.04809325921839963
185 RADIAL 1022 760 1067.1437646201573 511.0 380.0 -0.003037987770233156 -0.014295431602345303
63 RADIAL 1023 760 1031.5715566308868 511.5 380.0 -0.027560222603470002 0.021442662796143024
163 RADIAL 1031 760 1056.6764344519497 515.5 380.0 -0.014159542973628125 0.041736606280882736
217 RADIAL 975 563 978.776842870459 487.5 281.5 -0.018842686438828905 -0.004794937962376718
152 RADIAL 1021 677 1026.3057569251014 510.5 338.5 -0.003108936774378607 -0.004785892199157495
197 RADIAL 1029 760 1070.629922519341 514.5 380.0 -0.023145285785555674 -0.0008448398384913259
199 RADIAL 612 454 644.6225941985277 306.0 227.0 -0.015611089749685291 0.015114535404277507
208 RADIAL 1070 698 766.9248985766933 535.0 349.0 -0.06567002554443353 0.06480139393143612
148 RADIAL 1015 760 1573.5957716642763 507.5 380.0 -0.023352597831533244 -0.0010575891359078074
220 RADIAL 971 643 1296.575590829391 485.5 321.5 -0.017786449227434723 0.02914422703124651
126 RADIAL 1037 760 1122.0174474935648 518.5 380.0 -0.03237766802643869 0.09743292912608977
232 RADIAL 1057 691 1100.1089248805845 528.5 345.5 -0.014739249590016388 0.004854256064184505
219 RADIAL 1024 760 1146.3051889929632 512.0 380.0 -0.0023228672042414707 -0.008033732261845583
227 RADIAL 1020 683 1035.4786494582572 510.0 341.5 -0.028698013442702282 -0.0015018904572038348
164 RADIAL 1033 760 1109.389162298037 516.5 380.0 0.022635241022026433 -0.030295626133770594
196 RADIAL 1051 690 1146.9907843425037 525.5 345.0 -0.009491444453822318 -0.005595045474392037
222 RADIAL 1023 760 1031.2065587607274 511.5 380.0 -0.035209651173451186 0.06429295765105664
157 RADIAL 1018 760 1570.5241699887708 509.0 380.0 0.0023675906137210117 0.0017849595727470896
190 RADIAL 1030 760 1014.2834403929596 515.0 380.0 -0.019803581230554253 -0.006385755748910436
158 RADIAL 1013 757 1028.0237860096897 506.5 378.5 0.08159137074314057 0.007085019779296962
162 RADIAL 1033 760 1034.9607098886995 516.5 380.0 0.025843687127811356 0.006867785780302036
172 RADIAL 1020 760 1009.305832999301 510.0 380.0 0.00977632207910405 0.004899454309129903
182 RADIAL 1007 756 978.2542728465552 503.5 378.0 -0.0160385264129687 -0.023723918337625376
221 RADIAL 1029 686 1012.025588887087 514.5 343.0 0.005445197028974811 -0.03170419261879279
234 RADIAL 1031 760 826.152364914865 515.5 380.0 -0.01706534903268854 -0.0028414276288059284
213 RADIAL 1024 628 1979.800665278638 512.0 314.0 0.009161709299809211 0.0035061614136242124
204 RADIAL 1021 760 1163.7072209844266 510.5 380.0 0.01565952727945652 -0.0001528358501902075
224 RADIAL 1019 760 1286.416896478137 509.5 380.0 -0.02697284968169744 0.008733011775463432
176 RADIAL 1022 760 1193.4919621554602 511.0 380.0 0.0046824088905218775 -0.03381737166881955
165 RADIAL 1028 760 1045.257266221493 514.0 380.0 -0.008332570242812892 0.024901816517470723
235 RADIAL 1028 760 1042.0529411014347 514.0 380.0 -0.008813314832618276 0.017244064646831953
200 RADIAL 1064 696 808.9514045444487 532.0 348.0 -0.01923744657867483 0.02968247858924301
184 RADIAL 1021 760 1270.5006777016295 510.5 380.0 0.002409145867085106 -0.008729170246010555
214 RADIAL 1028 760 1085.7666190512202 514.0 380.0 -0.008955830189065418 0.0001562449928260531
223 RADIAL 1199 556 849.3029043258889 599.5 278.0 0.031970894449944234 -0.004994301813443538
231 RADIAL 1019 760 1141.094842392433 509.5 380.0 0.017651591931311453 0.001851202394054517
194 RADIAL 1009 670 1507.4994675659545 504.5 335.0 -0.006390145374317682 -0.00027085299569424654
181 RADIAL 1010 760 1051.1299678433609 505.0 380.0 -0.00016888758506905185 -0.05913243698080231
198 RADIAL 613 454 641.1515431205627 306.5 227.0 -0.013525721161239389 0.015819678519155198
127 RADIAL 1014 758 1954.7161856843782 507.0 379.0 0.006713492837522259 0.001078814816526686
111 RADIAL 1043 690 1175.0048391517691 521.5 345.0 0.00549327955852488 0.0011502805626939154
136 RADIAL 1021 683 2225.0873372537953 510.5 341.5 0.02375779181029472 0.0007428024508975758
146 RADIAL 1031 760 1093.0963675571236 515.5 380.0 0.009217530981121796 0.0003275446466139914
147 RADIAL 1027 760 1015.1495559386443 513.5 380.0 -0.02982981234149359 0.008240068087320453
118 RADIAL 1032 760 1104.7194706860805 516.0 380.0 -0.027440994245582856 0.0004125177454133739
120 RADIAL 1022 760 1062.0789844279045 511.0 380.0 -0.04421607689881105 -0.022259667283374092
128 RADIAL 1025 760 1040.33600866983 512.5 380.0 -0.007595276122801014 -0.0014538319063666354
129 RADIAL 1032 684 719.5050078675916 516.0 342.0 -0.007138919712642031 -0.00053830984009379
135 RADIAL 760 1026 694.6228955925166 380.0 513.0 0.0 0.0
206 RADIAL 781 595 850.7966929944968 390.5 297.5 0.0 0.0
207 RADIAL 1033 683 1239.6 516.5 341.5 0.0 0.0
113 RADIAL 1014 760 1626.0821063145922 507.0 380.0 0.0 0.0
188 RADIAL 1057 691 1659.5857063722826 528.5 345.5 0.0 0.0
