# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 880, mean track length: 5.02
0 -0.017480476055646423 0.08003110928115333 1.028617532353742 94 92 84 0.33
1 -0.035509101177259236 0.10547482317139532 1.019201731624811 106 98 87 0.23
2 0.013116589584351503 0.11126467632061966 1.0265880252578559 92 90 82 0.31
3 0.11031456007734083 0.11467930335337716 1.0451383973755504 158 152 135 0.4
4 -0.0741308918100379 0.11194878532227358 1.0037871821549944 51 46 36 0.7
5 -0.008920488859296836 0.11905782394976268 1.0184435625060602 162 160 152 0.49
6 0.06850620546390014 0.1267327236939805 1.0314208048059705 155 155 149 0.21
7 0.12683393221056424 0.13116574834585656 1.0400252617649348 111 111 99 0.21
8 -0.05354421172396559 0.12697410154188046 1.0061079756880216 168 166 157 0.18
9 -0.013743088576095628 0.12861507295622596 1.0131405691351083 161 158 151 0.31
10 0.0006623514478995162 0.12916931592576084 1.0156434121416273 143 140 128 0.2
11 0.02426301043198683 0.17195713411781152 1.0051067584566815 154 157 140 0.21
12 0.025685074194267625 0.19346252418726845 0.9966247961269362 125 130 129 0.29
13 -0.060872219475963676 0.19151038876569731 0.9821654919975689 43 45 41 0.2
14 -0.04535903657323032 0.192198855727316 0.9852694492685908 38 37 33 0.09
15 -0.03994503853433282 0.19144681477456224 0.9829878452252597 140 137 126 0.19
16 -0.12185852166978826 0.19335847381410792 0.9815870071075232 31 32 35 0.14
17 -0.012319478104192795 0.19863861266754393 0.9926113318753101 52 45 36 0.16
18 0.19502590130413733 0.25433745111341977 1.0081301095671307 111 109 94 0.16
19 -0.07610994185137171 0.24340364185242586 0.9564193055488892 49 51 55 0.24
20 0.13516478008787539 0.2510951697392656 0.9871349688830076 133 134 129 0.13
21 0.09772051971376534 0.2505529961560942 0.9826882834299631 65 62 63 0.33
22 -0.0655506597329282 0.2437185102076361 0.950016462293938 153 147 134 0.23
23 -0.06580150933427172 0.24423618908577968 0.9523078671304861 154 152 141 0.21
24 0.13306982850046287 0.2527115894039567 0.987705281231663 55 51 54 0.32
25 -0.026087544447369514 0.24749559688364406 0.9643529488818043 102 89 66 0.25
26 -0.004483946035516614 0.24804077875282649 0.9639452579685293 55 54 45 0.16
27 -0.10592127368410224 0.24631460386866752 0.9516444145268061 102 101 90 0.27
28 -0.10595282843890286 0.24630487969363898 0.9518008057494595 97 98 94 0.23
29 -0.02799536776900101 0.2547431459328144 0.9599789851985633 152 151 137 0.14
30 -0.10122594968092531 0.3018071873455682 0.9336893085332607 112 112 106 0.32
