# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 134
96 RADIAL 1024 760 1043.1179122052724 512.0 380.0 0.02954873197355123 -0.1377978002963949
33 RADIAL 1026 650 2309.026154558575 513.0 325.0 0.002374512894776747 -0.0017435683530744983
200 RADIAL 1064 696 804.2783763868309 532.0 348.0 -0.0760078559093305 0.14849370198550602
9 RADIAL 1028 685 822.8346023636391 514.0 342.5 -3.6332860036674134e-06 -0.0066728980619425796
11 RADIAL 1014 760 1858.0722791753255 507.0 380.0 0.00243786138864915 -0.14734994849988414
77 RADIAL 1066 693 820.2840714064295 533.0 346.5 -0.04167863103966336 0.10549412280164486
85 RADIAL 1068 694 857.7707107936569 534.0 347.0 -0.05099575295541277 0.13590837758217103
32 RADIAL 988 741 764.525088043657 494.0 370.5 0.03884345905978 -0.07637938133585222
2 RADIAL 1024 575 1172.2571684909472 512.0 287.5 -0.01221045623973658 0.05680528922625721
196 RADIAL 1051 690 1140.4449987003381 525.5 345.0 -0.00387106836066788 0.0404342924002331
232 RADIAL 1057 691 1105.0661144699548 528.5 345.5 -0.04411468948447985 0.15109619824336942
44 RADIAL 1035 578 754.6490700516339 517.5 289.0 -0.014318766894550323 0.03151051410605938
107 RADIAL 1016 571 737.3439636472516 508.0 285.5 -0.005224744889725199 0.004874446223220334
17 RADIAL 1019 760 1139.8770546433955 509.5 380.0 -0.030813007366848506 0.10614185435565554
50 RADIAL 1015 760 1129.5860359104531 507.5 380.0 -0.006059757198903869 0.015893874360041974
27 RADIAL 1018 760 1038.8962095705708 509.0 380.0 0.015793186070358747 0.014857832886424997
157 RADIAL 1018 760 1554.5113660449356 509.0 380.0 -0.027460515012432355 0.16386247643784252
4 RADIAL 995 666 1710.844030437822 497.5 333.0 -0.01756128559444793 0.2440386010322343
15 RADIAL 1024 760 1070.7927643905816 512.0 380.0 -0.06548475794247025 -0.024990600917790207
147 RADIAL 1027 760 1020.9164527159544 513.5 380.0 -0.07411710214947519 0.1606925042456044
29 RADIAL 1023 760 1108.7086635310307 511.5 380.0 -0.046733898723281715 0.06896798724240412
159 RADIAL 1023 760 1042.4161469715682 511.5 380.0 -0.023360702498983848 0.06886727768679614
184 RADIAL 1021 760 1275.5219561190486 510.5 380.0 -0.013029588433431806 0.060435015210519576
61 RADIAL 1039 686 1188.9958087741459 519.5 343.0 0.008031187727047953 -0.04980042848456018
197 RADIAL 1029 760 1072.6277937858147 514.5 380.0 -0.06491499458360367 0.17272720617377021
71 RADIAL 1033 760 1077.844846480394 516.5 380.0 -0.0475790489160372 0.13197121234234394
73 RADIAL 1067 697 806.5855220831294 533.5 348.5 -0.07154730580732747 0.11339580376876214
213 RADIAL 1024 628 1987.2451900123424 512.0 314.0 0.0017067269888734922 0.005624842367651781
222 RADIAL 1023 760 1040.326730079914 511.5 380.0 -0.024300785486972207 0.056443895050646564
97 RADIAL 1024 760 1066.2233418401495 512.0 380.0 -0.020702267644760877 0.03042303103523333
