# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 17906, mean track length: 10.87
0 -0.43885468141576944 -0.22630995192945372 1.1378404027641669 110 109 91 0.24
1 -0.34711288475470525 -0.22942979930329152 1.2227771235671658 120 126 134 0.54
2 -0.5328945454942553 -0.19683422526534797 1.1008301162757252 187 184 172 0.35
3 -0.4674330722812892 -0.2080090899838186 1.1591581491132692 165 165 158 1.1
4 -0.34825356791486944 -0.2155988016709306 1.2178952091941826 83 81 80 1.28
5 -0.4279859684824631 -0.1999078551127225 1.1410819972425617 234 233 224 0.31
6 -0.41740090627773563 -0.1989056749032642 1.1456686196503834 240 236 223 0.47
7 -0.5408070392618524 -0.18969092185222564 1.096448842621402 159 160 154 0.49
8 -0.38422093752902126 -0.1991322639821918 1.15755032607279 140 137 130 0.14
9 -0.44157690667991745 -0.18886645985671388 1.124477737882787 161 160 153 0.73
10 -0.27668237342875496 -0.2144115593269052 1.2753973426235243 82 93 104 0.94
11 -0.4449763017466599 -0.18490715963979604 1.1235392725222555 93 90 81 0.47
12 -0.3667191680142881 -0.19098701049146624 1.1658765918119818 131 130 124 0.59
13 -0.45208620579536074 -0.18215054347274184 1.120512724514226 101 98 90 0.4
14 -0.35037793505099435 -0.1909064019539102 1.1754222994699195 143 137 125 0.35
15 -0.29287286129495643 -0.19560770152987814 1.2002137012177059 168 165 158 0.19
16 -0.45582069508555456 -0.18057168190272319 1.1192317594624963 115 114 107 0.41
17 -0.5396155427920699 -0.17705484639676586 1.1009349241591693 94 103 113 0.31
18 -0.37413346517689566 -0.18593080274041196 1.1573020053243173 101 100 94 0.62
19 -0.33148947468784373 -0.1902636939699571 1.1841301003322873 125 125 121 0.39
20 -0.3682807254686285 -0.1833910665161869 1.159149091588914 83 82 76 0.35
21 -0.4634173590302111 -0.17630517391149453 1.115273110379981 108 105 98 0.54
22 -0.2679885198254667 -0.1950608200022856 1.2447428633751922 122 128 131 0.46
23 -0.4837980716121821 -0.17375758847193565 1.1140739446335595 159 150 140 0.48
24 -0.2606672815216401 -0.1940239941352225 1.2432162060377694 136 142 142 0.83
25 -0.4316864966258603 -0.1734050426048378 1.1355936147350836 108 105 97 0.26
26 -0.3500293871004694 -0.1778452410144712 1.1671475180047328 179 181 178 0.77
27 -0.5348448629473646 -0.1649891411037457 1.0984258175866046 95 98 103 0.72
28 -0.35027757269178034 -0.1750860522989776 1.1664187311242378 88 87 80 0.41
29 -0.4374546126271973 -0.16684483095795194 1.1319620652429718 185 180 161 0.43
30 -0.3032414238898558 -0.17602931836409969 1.1981526640855893 47 52 53 0.48
31 -0.5301327683411208 -0.16128069003525516 1.0996159542520665 139 142 137 0.6
32 -0.3749286735955861 -0.1692065712822358 1.1620906423948225 141 137 127 0.42
33 -0.4114079520879135 -0.16450573988307948 1.144445747907682 143 139 128 0.35
34 -0.5264548395876129 -0.1560622620169388 1.0896164112859357 78 77 62 0.23
35 -0.4578820798767564 -0.15968754037206387 1.1232572833775236 105 98 87 0.26
36 -0.3558024216762894 -0.165721363245615 1.1681712012506626 145 142 134 0.9
37 -0.3371416593464823 -0.16645848817862108 1.1716980103846704 89 88 82 0.9
38 -0.4227921884389614 -0.1600221251952956 1.139409602053282 117 114 106 0.38
39 -0.37253304912219914 -0.16296051453822435 1.1632756631175378 113 108 95 0.4
40 -0.4561689186105096 -0.1568201933602098 1.1233204841726248 174 170 163 0.42
41 -0.45382781481776946 -0.1555496724800427 1.124933096913219 105 101 93 0.31
42 -0.3321707224147876 -0.16207633605971541 1.1748586361478481 99 100 95 0.61
43 -0.19081059252286922 -0.1711915440292888 1.2494617926136953 151 156 158 0.47
44 -0.3873532126872375 -0.155631693575771 1.1559138405670888 158 153 138 0.41
