# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 117, mean track length: 4.03
0 0.09788712965018653 0.0645054922369645 1.1111641951609754 207 213 226 0.43
1 0.1543109069284763 0.15354114022679027 1.285526894036602 93 101 126 0.35
2 0.4883196604384199 0.23052531692083927 1.341834412555866 137 138 128 0.38
3 0.09026868934489876 0.18278557163365583 1.0223838124779265 145 138 127 0.26
4 0.5149775907420174 0.30220702590916987 1.305951808762384 69 71 73 0.45
5 0.2489443853215458 0.33019318134064757 1.4237091484256517 40 38 36 0.27
6 0.27993148097339265 0.43578179947026124 1.384359370216475 62 63 59 0.21
7 0.09350666149169347 0.0613396915546348 1.1128579677386234 107 108 126 0.48
8 0.10011174004533464 0.16521282608126742 1.0587674340151123 211 205 188 0.08
9 0.49898553914362015 0.22077105014518986 1.3370822269419085 136 134 124 0.29
10 0.4868946799915673 0.25062752327408727 1.3295615816328021 145 142 131 0.26
11 0.5007210237297893 0.18155004088425122 1.3319256648056323 119 124 120 0.21
12 0.23372383073415884 0.32193790834875796 1.4394632447859765 38 39 46 0.24
13 0.23433399628004614 0.3225295932873509 1.444216488015794 32 34 39 0.37
14 0.46381535594470574 0.24313584586600245 1.3436079322074712 62 60 54 0.61
15 0.2594740969230908 0.33458088802241115 1.4186264684456398 122 119 108 0.4
16 0.2976950401428546 0.4389339901387942 1.3531895996045475 82 81 75 0.32
17 0.279196097211637 0.2326320147532481 1.494099836560601 206 216 225 0.32
18 0.4857320502535749 0.2641542578514001 1.3236715502492 41 45 51 0.33
19 0.47062563545748964 0.2827974442200067 1.3210336839006778 137 133 117 0.49
20 0.4699542060106114 0.28205268815472956 1.3193286930048906 144 142 122 0.45
21 0.4874419635811265 0.28871882130482246 1.314169358300955 57 61 62 0.28
22 0.4874419635811265 0.28871882130482246 1.314169358300955 57 61 62 0.28
23 0.5154636246055798 0.25921505174779297 1.3103938579449297 48 51 55 0.45
24 0.45360219744113944 0.29551677132436927 1.3330201826525319 41 43 41 0.34
25 0.45435750947862985 0.2953510054915919 1.3371997455893703 40 41 41 1.21
26 0.3657811945443442 0.4356157441834045 1.315683597091457 80 80 70 0.39
27 0.47442230039813527 0.20611862688938393 1.358953651335777 139 142 137 0.85
28 0.09377760527591748 0.06297078618319403 1.1216177592429082 190 199 222 0.24
29 0.12144340328791604 0.1351579545150503 1.1842793647502352 59 72 96 0.2
30 0.05563307286374227 0.1139695281477791 0.9810205944126029 53 58 72 0.22
