# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 17904, mean track length: 11.18
0 0.08219821395626221 0.05754604738223473 1.0393930861147167 221 230 233 0.88
1 0.5466042398641483 0.131795311949275 1.2298006992719888 105 100 93 0.25
2 0.42764500458196775 0.153011045565486 1.2667696693012245 83 83 81 0.39
3 0.6400794020743997 0.14865979973310606 1.1910758252445497 173 170 157 0.26
4 0.5567378591200369 0.1623410510745717 1.204485747562848 82 81 75 0.35
5 0.3704355446340948 0.18349184400623197 1.2811029315481488 127 124 120 0.72
6 0.4912687328871362 0.18707923116168235 1.2246865214414986 107 104 96 0.26
7 0.5844284212416968 0.1823831059572259 1.1943562504620917 150 147 140 0.92
8 0.6822772486750149 0.18539355059441082 1.1603625751609157 140 135 121 0.37
9 0.3775077225249581 0.203642224519859 1.2701677726634157 168 168 165 0.39
10 0.3596037267122183 0.20715778969264997 1.2790003943401966 129 134 139 0.56
11 0.5345610375361174 0.1981621102614822 1.2044787778088815 144 124 83 0.61
12 0.6108422974658588 0.19345809846345755 1.1785515690876327 74 69 60 0.47
13 0.27763774138363523 0.22399090261872084 1.3130945575165405 77 75 73 0.43
14 0.2977742124549391 0.2225992624018432 1.306784894344962 118 122 122 0.39
15 0.47246618932704804 0.21142888310158975 1.222615792280653 171 167 154 0.46
16 0.4677929301140178 0.21410671021800592 1.2228656521329884 166 163 155 0.58
17 0.44138414997454306 0.216806751318498 1.2316311622936948 157 152 143 0.39
18 0.615725526869907 0.2076033271845071 1.171405432003051 132 116 87 0.39
19 0.2950547679277079 0.22666546671261795 1.3032184611267656 66 68 69 0.69
20 0.4585550196159881 0.2190667184862421 1.2240489074325867 156 149 134 0.39
21 0.6437136703780795 0.21624854421763468 1.1613751622136415 128 118 96 0.44
22 0.2829787864690476 0.24484375324552382 1.3067798889849518 65 66 69 0.49
23 0.42925163607906097 0.23343368244159737 1.230241308682104 150 143 131 0.3
24 0.48002692917444545 0.23057015514395895 1.2099648430579637 38 36 30 0.66
25 0.4840341556328635 0.2502728797583238 1.2052680516508365 67 68 74 0.45
26 0.3242698493776595 0.2631158469527741 1.2708423258282409 143 121 82 0.32
27 0.32022517917296617 0.26480045807753944 1.2734727665524188 38 35 30 0.3
28 0.20108427284467292 0.27993845586630234 1.3311673342851886 62 61 56 0.46
29 0.20836708263395742 0.2905554173126251 1.3249778698575558 126 130 128 0.51
30 0.27371733542837473 0.29078692187131616 1.2926019146699799 127 122 108 0.37
31 0.4122049316149875 0.2911609774636113 1.2179098356277633 156 139 102 0.47
32 0.4391328605555917 0.2901622273603947 1.2038308868596113 158 155 145 0.38
33 0.22769823778684137 0.3289426240111617 1.2982896502181873 92 86 82 0.34
34 0.33781180529037264 0.31644953425380523 1.2478578516064625 129 125 114 0.32
35 0.2980763512222909 0.3220366444375316 1.2640051779437962 151 148 138 0.49
36 0.27903228561549687 0.327265411520123 1.274161009405841 33 36 34 0.41
37 0.24784440451344728 0.33423000289792376 1.2878927660670427 30 30 27 0.33
38 0.23534567763118824 0.34064781380284026 1.2872706329730352 150 142 129 0.44
39 0.5104917329591329 0.3244784774842999 1.169647605908941 54 51 51 0.36
40 0.6699805327696812 0.3096998800758163 1.1131062299994987 76 69 55 0.37
41 0.6572315533266545 0.31233539747542877 1.1192580386019193 77 70 50 0.78
42 0.4703721483089746 0.32970291892370535 1.1764233339666734 134 134 130 0.41
43 0.39975214720618024 0.3439832780301737 1.1992635560996787 82 83 80 0.39
44 0.48078927493087753 0.33940039574486647 1.1688370114085431 80 69 46 0.43
45 0.09386770233269524 0.2687749131903457 0.9278518237966333 102 101 93 0.42
46 0.22947305972996646 0.36996706851300015 1.2796296913938607 120 114 102 0.48
47 0.4934848030797887 0.34283742840779025 1.1591053840191012 94 90 78 0.48
48 0.6084619719108708 0.3408352286908786 1.1198184466646965 47 50 46 0.63
49 0.27698442707403853 0.38122334302120287 1.2470242871130097 122 118 107 0.45
