# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1529, mean track length: 6.23
0 -0.4653988335649224 -0.24516040128519512 0.9402841499586572 90 85 73 0.52
1 -0.472140742273713 -0.14102628397441008 1.0335203799201653 68 67 63 0.57
2 -0.46592006193438956 -0.055619383299532366 1.0586732835698949 68 64 53 0.41
3 -0.5165716069059619 -0.09476910195871872 0.8213963340222954 51 50 43 0.28
4 -0.5835881679927792 -0.05557358139060429 0.5208324195988989 31 32 30 0.08
5 -0.4730892134949419 -0.05772356280403638 1.02670545740362 59 55 50 0.51
6 -0.5761278352270012 -0.029336348219416 0.5551040373865272 22 23 18 0.29
7 -0.4892373922185385 0.00679601205317711 0.8176287589651974 80 77 70 0.5
8 -0.4726246957505791 0.025592396971502045 0.8946682321682963 69 66 60 0.33
9 -0.470072385000046 -0.09438573783775646 1.0329267933842696 108 107 102 0.29
10 -0.42651142070827863 -0.10809568538791951 1.2024996186824273 102 100 88 0.44
11 -0.44878740029465697 -0.083674706654503 1.1230719792601944 106 103 96 0.35
12 -0.4507363901942347 -0.05903519720934051 1.1237619117916522 102 100 94 0.36
13 -0.5218820077932085 -0.09258747608431475 0.8174547230482471 105 105 99 0.39
14 -0.5423951582918037 -0.06722994957031903 0.6814283418546769 111 109 100 0.54
15 -0.4738611631093855 -0.226298284705556 0.8820789351961097 124 121 112 0.73
16 -0.3166180646399301 -0.08681827332747893 1.3150539715418232 34 31 26 0.61
17 -0.2928218751562336 -0.08829385666929473 1.313109003533975 50 43 34 0.93
18 -0.26806774629358104 -0.06961846570467607 1.2744739241807885 190 183 165 0.64
19 -0.5033468488237944 -0.02940378422781154 0.8273714762791752 59 56 46 0.59
20 -0.45319798376771403 -0.008494670199543138 1.0957559393792917 60 58 53 0.48
21 -0.4763673567392513 0.026757208172062355 0.8779501501347573 97 93 82 0.47
22 -0.4754958130099895 -0.016158871645175106 0.8633623528262551 93 87 73 0.76
23 -0.5860443709262235 -0.1494917803987629 0.5324983414427105 25 26 23 0.32
24 -0.5852880810167502 -0.1425389804544919 0.5306784125580044 28 29 26 0.32
25 -0.48585170771335323 -0.12354368760768801 0.9182264562818282 96 93 87 0.97
26 -0.5822214064377806 -0.07882983896229578 0.5138749589832634 116 111 96 0.33
27 -0.43029296324924327 -0.08109151854622206 1.1939639931130235 133 131 120 0.27
