# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 86
122 RADIAL 760 1029 791.8953278954492 380.0 514.5 -0.08457750214544794 0.14257557903712978
94 RADIAL 760 1019 1256.0023980536773 380.0 509.5 -0.03554811048229299 0.12801689860705956
7 RADIAL 1030 760 1027.0273761044914 515.0 380.0 -0.07711965362028964 0.24290647638560578
189 RADIAL 1032 684 740.0097509557067 516.0 342.0 -0.024213126106145698 0.045464613205676435
55 RADIAL 1046 688 847.7234208372873 523.0 344.0 -0.01723217448811441 0.032450956238612286
205 RADIAL 760 1024 1042.2088833186529 380.0 512.0 -0.016410024605224564 0.051786768957161264
125 RADIAL 1014 760 1043.3372378700094 507.0 380.0 0.044769191706392056 -0.172567379449021
216 RADIAL 1029 760 1016.2689482357994 514.5 380.0 -0.01260008599902993 -0.006900325079161131
218 RADIAL 760 1033 1058.795079464045 380.0 516.5 -0.021570134088155054 0.08913256591822864
116 RADIAL 760 1014 1063.3873243647756 380.0 507.0 -0.02753942642584215 0.11766386890792686
47 RADIAL 760 1045 1706.8466948371029 380.0 522.5 -0.8711571276991413 -15.121016635599961
161 RADIAL 1025 760 1028.3721509722557 512.5 380.0 0.017363685045803955 -0.07733320288007317
86 RADIAL 1023 760 1047.2970579080716 511.5 380.0 -0.06873496861410786 0.18909214158297868
58 RADIAL 1013 760 1060.6714607342406 506.5 380.0 -0.0006723202857187191 0.020299852308757325
18 RADIAL 760 1018 974.2170945800711 380.0 509.0 0.09371357160615995 -0.29552712476248005
46 RADIAL 760 1015 1014.4741833728265 380.0 507.5 -0.017241201928692846 0.052423554176053815
193 RADIAL 1047 689 1326.5790941220457 523.5 344.5 -0.007337632797544314 0.05501399226584773
211 RADIAL 756 1012 983.3577705253699 378.0 506.0 0.05758288310237441 -0.2165846734971803
151 RADIAL 760 1028 1033.3654682945498 380.0 514.0 -0.022859300831796058 0.06958208685925948
90 RADIAL 760 1039 1008.3325673185902 380.0 519.5 -0.05429505286279645 0.12876544258874753
154 RADIAL 1030 760 1094.1193365430108 515.0 380.0 0.0019993706657612867 -0.000329290302379418
37 RADIAL 760 1027 1065.449710524781 380.0 513.5 -0.03460065766449538 0.13100984805859356
