# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 11734, mean track length: 10.16
0 0.07763043498381596 -0.46103860663798696 1.2621603181268075 79 75 68 0.3
1 0.16566069570969247 -0.4388374297119741 1.2714775154500826 202 209 215 0.32
2 0.18618426002465344 -0.3929306240259376 1.1959321810271164 106 106 102 0.18
3 0.1629722690233333 -0.38839868231191743 1.211798355070502 125 118 107 0.27
4 0.15339440881560368 -0.3837258257793232 1.2100153876002606 133 132 132 0.34
5 0.08172863737509209 -0.38095322051641867 1.2221464385273422 102 96 87 0.31
6 0.18633217767466412 -0.36961768094572595 1.1949382316473338 116 114 112 0.41
7 0.07368844354999214 -0.36494170273538346 1.219254447951581 122 122 126 0.24
8 0.08243315036857954 -0.36482676753737714 1.22004266087067 120 115 104 0.54
9 0.1774167181677793 -0.3616874868847171 1.2097169064821214 98 94 89 0.25
10 0.13025929371719866 -0.33739639067393223 1.1371191060843806 71 73 69 0.36
11 0.0993206298988949 -0.3618404268406135 1.2255442601847073 74 73 71 0.25
12 0.21484474299567533 -0.36426055598268803 1.2529837122201455 118 124 125 0.27
13 0.12426411527051312 -0.32600785384745545 1.1320265246931591 137 132 127 0.36
14 0.1155740905158127 -0.32571608774732863 1.1365063172437146 145 139 132 0.29
15 0.24085890913788624 -0.35603715792487944 1.242789614678014 197 203 212 0.32
16 0.16333397456981955 -0.34144611038952866 1.1970557309573335 118 114 106 0.18
17 0.11346225146380896 -0.3236470240140451 1.1391216641881758 97 90 77 0.14
18 0.156493373047882 -0.340037977230254 1.196707882864763 72 68 61 0.17
19 0.2512938578758424 -0.3534667377182949 1.2434673841398423 142 149 152 0.52
20 0.10245468878668981 -0.3340510365546869 1.2153233382956148 112 107 95 0.2
21 0.100110130128434 -0.32485171196274143 1.2124641251728205 90 86 76 0.44
22 0.05147961565276175 -0.3376428535030847 1.2860763085755913 221 229 234 0.27
23 0.08876417389620547 -0.31541735764613527 1.2131703026222866 110 105 98 0.26
24 0.2368513598413419 -0.31641271514540803 1.2129430650112702 119 119 115 0.25
25 0.05222768852186014 -0.33323146066580994 1.285857917012274 118 122 120 0.16
26 0.0962919388126088 -0.3064049238793205 1.2085350546998406 122 116 103 0.05
27 -0.307846324369792 -0.2078490502183347 0.825051719622995 59 59 62 0.76
28 0.11215791994703991 -0.2795565015767768 1.1071040044028522 69 70 70 0.16
29 0.18088321749755085 -0.29025256907350777 1.1580302803685654 88 84 81 0.26
30 -0.3027749412588353 -0.2011294124096572 0.8251634518193804 108 103 96 0.87
31 0.0710233120097286 -0.2858340817833872 1.1794260077954897 158 154 144 0.72
32 0.08594846868484392 -0.28603201062927675 1.1821598301640601 132 128 120 0.84
33 -0.29827829536827877 -0.1980281740500214 0.8229472917689904 112 109 105 0.54
34 0.11232341233546009 -0.2663156124755013 1.1010293586492086 156 157 157 0.25
35 0.10095656679089703 -0.2870693938657991 1.2019215866314796 78 78 72 0.29
36 0.08254800454695622 -0.2798359575658088 1.179513170697417 90 87 83 0.39
37 0.23211117332536624 -0.2874675445221601 1.2139634380847408 122 122 117 0.27
38 0.18973906595009069 -0.2713897333966205 1.1483571881661931 68 69 67 0.22
39 0.230078958269389 -0.28002357866365907 1.214739017215042 91 91 94 0.32
40 0.12586682029209922 -0.2509243664139495 1.1000100312310295 68 66 60 0.29
41 0.2338822361217571 -0.2755592792916893 1.2140936986171265 105 109 114 0.21
42 0.12608664037609124 -0.2468901565109601 1.097512022607003 100 95 86 0.27
43 0.11595379335021744 -0.24613146187186136 1.0999644115654574 134 130 124 0.2
44 0.22991753856748112 -0.2709790908134051 1.213709844140426 104 114 135 0.23
45 0.04963531566026767 -0.2776315064185031 1.2526519616111624 145 138 133 0.23
46 0.05291259320347677 -0.2758504057836465 1.2525690405496557 74 67 54 0.21
47 0.1216313887457128 -0.24224976087857109 1.1005129207724471 128 120 105 0.34
48 0.2349259500465037 -0.26422928114873123 1.2086542349275275 87 91 100 0.29
49 0.10711775765242874 -0.2558330231119821 1.1836036113872013 49 45 39 0.43
50 0.10056343150785634 -0.24606843328388123 1.1818952589137177 97 88 77 0.28
51 0.18288983220911564 -0.23217389656760837 1.1401020578521177 134 131 120 0.32
52 0.10064918927300665 -0.2392372314818405 1.1793955996074064 106 98 80 0.08
53 0.2366303745603567 -0.237516657800241 1.1789520496556891 129 128 124 0.33
54 0.18151714781896386 -0.21853637898602568 1.1447467540793668 91 89 84 0.68
55 0.17977302927637864 -0.21583302577649377 1.1490242940482926 114 110 104 0.37
56 0.2346319865201971 -0.22207917085503198 1.1826620147625775 89 83 72 0.31
57 0.23985434870709377 -0.2168198036672738 1.1736426958801986 124 119 111 0.33
58 0.23859501886757953 -0.2149871151273021 1.1796737860830502 73 66 56 0.4
59 0.10143109205174296 -0.21191215757186904 1.1726450671607296 98 95 89 0.28
60 0.2515923213436904 -0.2130021967194938 1.17581191433162 160 157 146 0.52
61 0.18523498671078334 -0.18813875046893047 1.1093557166068433 176 169 155 0.25
62 0.04519013053618236 -0.2039508236256159 1.2194533601211794 134 132 130 0.55
63 0.041254023433569154 -0.19711172361049256 1.2174283346735972 167 165 167 0.22
64 0.1255144241212036 -0.16485547006814202 1.0560971518864317 90 86 75 0.39
65 0.13044155477079228 -0.16476094461217416 1.0561182999294592 98 94 87 0.21
66 0.11997552213937814 -0.16427050893743658 1.0578638714615427 96 92 88 0.16
67 0.19804030581560453 -0.17153311405638258 1.1033179196357332 147 139 128 0.11
68 0.13416357505483012 -0.16356680361266515 1.0581252159339958 103 100 92 0.32
69 0.14023872775492277 -0.1628300212985497 1.0634922448163218 80 77 68 0.35
70 0.11231380535190147 -0.16060131028469643 1.0592701148651649 61 53 40 0.07
71 -0.28273817594106326 -0.11635465162781031 0.7813559690433147 58 54 50 0.37
72 -0.28876770037929234 -0.11556585583597725 0.7783678274364928 98 90 75 0.73
73 0.19440071659404182 -0.16301898907915943 1.0964876176941623 85 83 80 0.21
74 0.23618469716978574 -0.16928245543823467 1.149276870205511 113 114 110 0.53
75 -0.28287714717507995 -0.1142229164176863 0.7825246526430192 110 100 90 0.51
76 0.20221772368253474 -0.16236269372064285 1.1047808232115264 77 76 71 0.26
77 0.08869501455183203 -0.16269994121952322 1.1242889698117962 143 143 145 0.22
78 0.11634220303203031 -0.15180223729022851 1.0606307281925509 74 68 61 0.37
79 0.14552568466792792 -0.1549132256065316 1.07923868112369 66 61 47 0.16
80 0.2191343793067741 -0.16209880308785135 1.133740553187395 226 225 225 0.38
81 0.22660367623426633 -0.1603153553583928 1.1376770588805465 204 203 208 0.11
82 -0.2792589776948468 -0.1064574056855069 0.7831166310034453 70 64 53 0.43
83 0.05006006117489591 -0.16264549262674716 1.2020552356986103 159 156 150 0.28
84 0.07570901260480717 -0.1510440446969584 1.1213368724715935 85 83 81 0.49
85 0.18312015488836467 -0.14683800629692725 1.0981329632753771 65 58 45 0.23
86 0.19806223196050635 -0.1473156362009155 1.1063667682895977 59 55 45 0.66
87 0.11863377803290202 -0.13550541672497238 1.05351204338659 116 111 103 0.32
88 0.18685229832466121 -0.13729446480767257 1.0979365384431718 120 112 101 0.11
89 0.1932484483805989 -0.13654285843060782 1.0966111587749465 127 121 110 0.28
90 -0.1842930045356092 -0.12021571845870457 1.021034261250935 82 79 82 0.25
91 0.08441599315124193 -0.13295293145610299 1.1232285453566564 71 64 52 0.26
92 0.06145410341125586 -0.13541136571150622 1.165542161758482 211 209 209 0.25
93 0.18108330103381207 -0.12027963943070967 1.0914076710164635 109 102 92 0.36
94 0.23109225305038672 -0.12194571197902834 1.1238093933027031 104 101 95 0.31
95 0.08399509293198729 -0.12151660929420299 1.1260754275376026 119 112 97 0.56
96 0.5352574100810721 -0.14454365474148825 1.394634832319442 165 170 174 0.3
97 -0.11504854729189806 -0.10016547610290184 1.0538748375115374 59 59 63 0.36
98 0.04433060618575188 -0.11268970482643961 1.1818616755712779 48 43 33 0.52
99 0.05198842046866587 -0.10993335774015194 1.1753205862950067 120 117 111 0.21
100 0.04186366115403224 -0.10978471741166176 1.1777081326813872 85 82 76 1.22
101 0.1175225931107808 -0.0941421975156663 1.0376808017524815 150 148 146 0.3
102 0.04854646439930387 -0.10646746482947202 1.1799537519337904 85 82 74 0.27
103 0.03372320990467382 -0.1057801155636694 1.1996303182938706 84 87 93 0.5
104 0.10091536387877982 -0.09487267053983559 1.08034549783608 131 130 122 0.31
105 0.030634171223818486 -0.1044629632014012 1.2052862913326001 215 222 224 0.26
106 0.1899034292641107 -0.08873817223776925 1.0756253747759104 139 132 117 0.2
107 0.04025174365068841 -0.09644546022259157 1.188481139125087 82 78 85 0.37
108 0.09471713512921305 -0.08752603990238828 1.0893111489158536 181 181 170 0.36
109 -0.28600646951347747 -0.058239592935075475 0.7403388770316252 71 74 72 0.49
110 0.015704764913536198 -0.0896806261702554 1.158624765091103 93 101 106 0.21
111 0.04683992840921098 -0.09133838726897939 1.1788211646169318 132 122 109 0.42
112 0.19439770467253228 -0.08167097943366015 1.0728218556570073 112 99 84 0.22
113 -0.03526767991028512 -0.08198009848597494 1.0968089070238898 90 98 109 0.18
114 0.1052340533878458 -0.07758992550725871 1.0697154766799388 169 170 162 0.29
115 0.1048936857396759 -0.07351348208950645 1.0664226193031734 118 114 99 0.21
116 0.05102546930847458 -0.07685656950456068 1.1642645738178163 136 136 124 0.29
117 0.13282939475633534 -0.06518595451993384 1.0274340594470457 148 144 136 0.27
118 0.10278593330334018 -0.06735898762331935 1.0673225635320822 109 108 101 0.17
119 0.24349922120110606 -0.0710986692070817 1.1125163451348214 153 150 139 0.34
120 -0.2772165678304702 -0.04587420949104269 0.7411562977998445 122 120 114 0.7
121 0.5368255212701638 -0.08545239051569947 1.3721572239769924 155 158 158 0.43
122 0.2418220564192416 -0.06747240585352349 1.1131790912184916 113 111 108 0.25
123 0.24919219018774963 -0.06612432776611973 1.1104913805144616 167 162 151 0.36
124 0.1045554703348692 -0.05879876607011309 1.0613179186494268 106 100 82 0.21
125 -0.11519955726910285 -0.05278587618817175 0.9740214309769706 69 69 67 0.48
126 0.10180458943446755 -0.054631478914995986 1.0652220474023848 109 110 103 0.13
127 0.1456555136887751 -0.05372875350627618 1.0330839463231167 151 147 140 0.37
128 -0.1850162721564416 -0.04270694950566401 0.8893911671128063 93 99 103 0.46
129 0.14233869076644576 -0.0413080782318462 1.0288054004227987 73 72 69 0.36
130 0.1533006468224425 -0.04190301334773145 1.037370797503823 161 152 141 0.18
131 -0.2970170687675962 -0.02775595216015216 0.7308105327953933 81 75 67 0.64
132 0.11041871588395667 -0.0384264730454846 1.0320088850320457 134 128 113 0.61
133 0.12089461280793014 -0.035582252249795755 1.012809133647633 126 122 112 0.38
134 0.5321583925388228 -0.039876332403485266 1.3452036701416832 148 146 135 0.48
135 0.11777657251588637 -0.026655210680172733 1.0097316603428248 166 158 147 0.18
136 0.54321027770677 -0.03498306887938099 1.3369391629777039 134 134 130 0.4
137 -0.2972256212932682 -0.01676027045037757 0.7326479945207043 62 56 42 0.27
138 0.20401815310373156 -0.025589997430162475 1.0643804104112904 93 90 86 0.4
139 -0.2998856843263115 -0.014794418429090017 0.7345639271292735 107 99 84 0.44
140 0.11795886904285686 -0.020680125496023126 1.0080346469288877 175 166 152 0.16
141 -0.28928197003184064 -0.01377100935184177 0.7311990043668687 79 70 53 0.53
142 0.5374248175736509 -0.02586661434853702 1.3336934327778933 95 94 89 0.5
143 0.23885880576842744 -0.018159942652643278 1.0879390164561833 87 76 60 0.17
144 0.120069539803267 -0.014520361638809895 1.0031701647412172 122 111 94 0.1
145 0.2504465680904656 -0.015782605549667972 1.0893369877121761 132 125 111 0.31
146 0.16623926658234875 -0.014294149995968314 1.040990949464187 41 37 26 0.16
147 0.23628779294205315 -0.015508386171112285 1.0825728346835937 117 109 96 0.22
148 0.17798432810604864 -0.013538833881016007 1.049110953656508 131 120 108 0.12
149 -0.269044736594337 -0.006733700155896411 0.7402113682277136 96 90 75 0.1
150 -0.2003231395578536 -0.004205777521952935 0.821244377344566 136 126 112 0.66
151 0.3640455606039597 -0.007253311514887424 1.350600620289383 91 96 96 0.36
152 -0.2736025377539202 -0.002674960916324805 0.7395084629836568 125 121 110 0.59
153 -0.22882419253049702 -0.002848725759089336 0.799880651440379 61 58 50 0.7
154 0.12073180045800452 -0.003637106488800272 0.9993584820415472 125 122 113 0.51
155 -0.22885365145110587 -0.0008261978592579978 0.7984688033905907 124 120 107 0.28
156 0.1752035381633607 0.006314279794381407 1.046078125004811 109 95 81 0.14
157 0.5319212214795417 0.0085050944567574 1.3153154299171455 114 112 105 0.39
158 0.5256237603396182 0.009341300069719987 1.3155425516969528 114 114 110 0.18
159 0.49062414224353607 0.011956820629154517 1.4514889773466897 124 124 117 0.41
160 0.5230353035107426 0.013250034524974252 1.3175191758221172 64 61 52 0.49
161 0.538986595128502 0.01460389674924349 1.3107952485166126 141 146 143 0.34
162 0.5188341367960101 0.015429538860557979 1.3573874635441556 210 216 219 0.67
163 0.525123147426121 0.0164147040697494 1.3141834376745507 122 125 124 0.3
164 0.11931053539317048 0.012463573225146081 0.9994411119597743 149 146 142 0.5
165 0.5226152151302571 0.01710535264165188 1.3554283738468866 72 74 82 0.53
166 -0.18067831233043852 0.015466445413183955 0.8312428967377606 81 74 61 0.31
167 -0.12497219819519395 0.015480940918781317 0.864067614156117 123 117 112 0.19
168 0.11858449831875813 0.018709492366313932 0.9936536994872478 154 152 145 0.24
169 0.5231096688373951 0.02874942794976627 1.3201793871602954 121 121 113 0.45
170 0.1513709903878677 0.02575149391318957 1.0099784030873489 102 97 87 0.33
171 0.5254031824251656 0.03420746049026728 1.3124430295217853 146 145 140 0.35
172 0.4628532965999342 0.040782240781806076 1.3642904667388231 88 91 97 0.19
173 0.03258344524761443 0.030119598262768506 0.9663587548263564 111 106 99 0.14
174 -0.11807783086793378 0.030474132840689474 0.8609282312636032 93 90 81 0.31
175 0.12284875537004626 0.03423278860685722 0.9825646521062703 124 119 103 0.11
