# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 86
34 RADIAL 607 819 837.1049902712057 303.5 409.5 -0.03373257057783853 0.12696183036832495
226 RADIAL 689 1047 1122.758722697555 344.5 523.5 -0.016212332827025902 0.04700501985847512
166 RADIAL 756 1009 1069.76704016284 378.0 504.5 0.07257742319369571 -0.29812409940181306
7 RADIAL 1030 760 1027.3071392518143 515.0 380.0 -0.07834158680257514 0.24816135394843036
140 RADIAL 1047 688 1338.5009273448618 523.5 344.0 -0.0316716606431523 0.13720010131291008
46 RADIAL 760 1015 1014.3063870534497 380.0 507.5 -0.017291197116637846 0.05165884187542706
177 RADIAL 1030 760 1063.57567997031 515.0 380.0 -0.022512339964517063 0.07768061579384086
116 RADIAL 760 1014 1063.3553860725265 380.0 507.0 -0.030258317067829273 0.12830342607586173
149 RADIAL 719 1052 998.0058711524927 359.5 526.0 -0.047493019961227505 0.11645087722996723
150 RADIAL 1034 760 1076.8579142081649 517.0 380.0 -0.021982646527495497 0.0798342687068322
180 RADIAL 1025 760 1110.676156861286 512.5 380.0 0.006196775696781681 -0.01631070122901883
117 RADIAL 760 1027 1113.8650859410811 380.0 513.5 0.09974627584806389 -0.28549348713569644
218 RADIAL 760 1033 1058.6636705806268 380.0 516.5 -0.0224080620740076 0.09019922488066653
125 RADIAL 1014 760 1043.1906923756335 507.0 380.0 0.043099463438264006 -0.1653970682562159
94 RADIAL 760 1019 1255.5710494362968 380.0 509.5 -0.03305069008684715 0.11699755712309068
225 RADIAL 760 760 686.9964546571412 380.0 380.0 -0.09802038208407833 -0.08336154585844514
154 RADIAL 1030 760 1094.3944031218937 515.0 380.0 0.0002903064935487523 0.008695713291494949
106 RADIAL 1022 760 1101.734000969308 511.0 380.0 -0.03615237794813061 0.10926010958309514
173 RADIAL 760 1028 1075.2763360116587 380.0 514.0 0.008808337018186587 -0.038875309735114875
18 RADIAL 760 1018 975.4926366007523 380.0 509.0 0.09953045062932278 -0.3196642005996738
23 RADIAL 1027 760 1120.913932694021 513.5 380.0 -0.048766915865450663 0.19675605117152342
24 RADIAL 1027 683 795.0541085416752 513.5 341.5 -0.036959648473910034 0.096260758737756
131 RADIAL 606 816 862.8838350542005 303.0 408.0 -0.01440167109959933 0.05062438814446143
8 RADIAL 1015 760 816.2322482109382 507.5 380.0 0.02421900701831067 -0.05092547870088053
139 RADIAL 1015 760 869.1550526740614 507.5 380.0 0.10474166673475478 -0.3189464976193714
144 RADIAL 760 1037 805.63548419381 380.0 518.5 -0.03611693017946308 0.13395005770090737
151 RADIAL 760 1028 1033.0694516610445 380.0 514.0 -0.022932121882451514 0.06947091533764134
45 RADIAL 696 1074 838.1892673068209 348.0 537.0 -0.02183978153691634 0.04783857138485101
174 RADIAL 760 1024 1025.0058160977633 380.0 512.0 -0.04867269519507434 0.1965866455339493
178 RADIAL 610 822 710.9909894097756 305.0 411.0 -0.018152976626290313 0.05926789652417043
57 RADIAL 1016 760 818.3471905807512 508.0 380.0 0.0038591659033805213 -0.007156442547633442
186 RADIAL 689 1047 916.0630416965116 344.5 523.5 -0.015753091749089832 0.024694669281902146
59 RADIAL 695 1061 803.4301520664176 347.5 530.5 0.006245869008642974 -0.003924887425382471
