# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 12283, mean track length: 10.1
0 -0.021990324987792107 -0.15082390036823629 0.9096629565398656 139 138 131 0.54
1 -0.01886259723215083 -0.156547774816871 0.9084406867019844 91 95 99 0.5
2 -0.07890731115408643 -0.4839185080303908 1.1782522016275412 79 77 74 0.5
3 -0.08073447682272236 -0.5962788937617765 1.2368457514073659 108 111 111 0.37
4 -0.07308138763902708 -0.597016105134475 1.2417199571068158 43 39 29 0.61
5 -0.06483770867763652 -0.610798524434284 1.20928545170728 51 46 34 0.82
6 -0.08292053537688862 -0.588685110643922 1.2096968491357494 132 128 116 0.76
7 -0.05546229721905435 -0.6067132345071771 1.196835121658468 89 81 67 0.38
8 -0.06354685619701973 -0.5941280793919671 1.2024481051945124 91 92 92 0.64
9 -0.07702230148584172 -0.5672731319638402 1.245561157347068 88 88 83 0.39
10 -0.06320400940125019 -0.5971975030609268 1.1836248277492725 127 122 104 0.46
11 -0.04255635696370231 -0.5529531726357849 1.2805357496012308 126 128 139 0.32
12 -0.08379847137665429 -0.49433797912658856 1.1648146529071879 102 100 96 0.56
13 -0.07946138461342783 -0.49121223904580874 1.179494346889664 120 114 102 0.9
14 -0.04407794351217034 -0.5003713932480375 1.2479980756919444 82 83 84 0.35
15 -0.0854582140770795 -0.485466486373024 1.1721093750379714 65 62 58 0.37
16 -0.08354310685349522 -0.48153148206700136 1.1812872412243567 73 73 69 0.61
17 -0.0848846057843644 -0.47613441416201585 1.187539702779644 63 58 47 0.3
18 -0.07840036593441636 -0.47864514230115696 1.192880692725639 72 73 73 0.75
19 -0.05761801484194213 -0.5107411999275813 1.1370248434371808 60 60 55 0.69
20 -0.060781783948470114 -0.4971731975729509 1.137646072666532 110 106 101 0.27
21 -0.08019843082689808 -0.46661901790395244 1.177670745784767 77 76 72 0.45
22 -0.08567930543916287 -0.45386304241299463 1.174662670028764 74 74 68 0.5
23 -0.06812998808932096 -0.45976286056346377 1.20142881205718 94 95 95 1.02
24 -0.07863626393023217 -0.464558945985308 1.1466968884339641 83 81 64 0.79
25 -0.06137196541543251 -0.4822045034423942 1.127356232454606 97 95 88 0.23
26 -0.07919784251108254 -0.4459984076846146 1.185312987926361 86 85 80 0.5
27 -0.06393905048528074 -0.4711447352293266 1.1372161014773 83 78 67 1.02
28 -0.08017360939768782 -0.44106560371968595 1.185958405389654 93 92 84 0.26
29 -0.07455461330400608 -0.41708856938447747 1.0722631746471722 89 92 87 0.27
30 -0.520073914893335 0.02069261395508609 1.1749820585359843 99 93 84 1.06
31 -0.1001720970909553 -0.305155461973009 1.1319239962273553 103 99 90 0.31
32 -0.09067633775394462 -0.317685415146887 1.1103823877582633 124 124 118 0.13
33 -0.08848139233381624 -0.3147430632918497 1.118538078657911 119 113 101 0.53
34 -0.09137473974117533 -0.31122354684465176 1.1070595485389763 100 102 97 0.18
35 -0.44574307478850034 0.012818045223028098 1.2867330839011397 79 84 81 0.6
36 -0.4897814494037957 0.005908274544385817 1.1592981002734004 224 230 239 0.54
37 -0.14272841021529667 -0.2850486790928185 1.0493673147111315 147 144 138 0.24
38 -0.0972476906309229 -0.29099189041726975 1.126529884469681 109 108 104 0.33
39 -0.07861252535445043 -0.3337782977670443 1.0390507739530739 67 65 58 0.29
40 -0.14205374548148783 -0.2792651920191335 1.0506699581556773 84 77 62 0.07
41 -0.4884907610006935 0.009987842296647563 1.1586499335474147 213 217 228 0.41
42 -0.08473234668075955 -0.3013846963107775 1.1055119528373123 112 111 103 0.47
43 -0.08383045645306775 -0.29950810300380615 1.1095202132780277 111 110 105 0.31
44 -0.08543555339378579 -0.2943185951025418 1.1158118042754048 74 73 71 0.28
45 -0.08243914393237974 -0.2856578932025257 1.119056038600238 89 87 84 0.24
46 -0.1358288650501555 -0.25826229760290687 1.0513914612616835 148 142 132 0.41
47 -0.005656281322041879 -0.3549076564088087 1.0239512123390804 149 159 169 0.33
48 -0.08606995577038663 -0.2672551023850144 1.1085144007802386 140 137 126 0.46
49 -0.06855571152608281 -0.2962205340323451 1.0474761897550848 152 145 130 0.32
50 -0.08195407181508665 -0.26865016380818185 1.0999503315250405 69 69 64 0.36
51 -0.0870825840745353 -0.26117784490863255 1.0997102483092402 81 77 65 0.44
52 -0.3928912113368448 0.04108057909942905 1.360354352824298 158 165 176 0.63
53 -0.08100724457687815 -0.26414481035416687 1.095775822026304 59 56 56 0.1
54 -0.08676029477925612 -0.25037896730085063 1.106888146891965 88 87 74 0.35
55 -0.08432497021114102 -0.25326672411251855 1.0935272620071423 87 85 77 0.6
56 -0.0643546729508849 -0.23572394000517893 1.1737996283619057 83 83 75 0.3
57 -0.08778088973553383 -0.24424642621867773 1.1004587432622368 120 118 111 0.4
58 -0.06375353354697492 -0.28064168003417095 1.0392088499168084 75 69 51 0.24
59 -0.10302812752879885 -0.22649822747098522 1.0963164296466825 145 143 130 0.54
60 -0.10296209576025127 -0.21439623742334787 1.0888774331586022 87 85 76 0.4
61 -0.06554305674025482 -0.2148480866346787 1.1511062999028423 121 119 115 0.32
62 -0.08483949988954013 -0.25384310081593664 0.9996943986736355 102 99 90 0.36
63 -0.10246593009461834 -0.21309488562087667 1.084822078148704 136 135 128 0.4
64 -0.14661550066990672 -0.20642559931526583 1.021964950231303 110 106 92 0.23
65 -0.5355346507689197 0.0882774008585088 1.1339195687429078 86 83 77 0.21
66 -0.5328904824048435 0.08504053911486055 1.127440620211066 102 100 94 0.22
67 -0.08463702494522506 -0.2491591188425799 1.001532338385063 118 118 104 0.26
68 -0.05982332507445874 -0.21036078690348442 1.1460781851840298 88 82 67 0.22
69 -0.018936266824968406 -0.2886549070571862 0.9916335593883169 118 116 109 0.43
70 -0.0176269243989053 -0.2904363810625911 0.9874277063257558 120 115 103 0.27
71 -0.020812356816519193 -0.27848638950130244 0.9915805239680181 83 86 81 0.18
72 -0.12871822757952278 -0.19475178134288362 1.020199478330702 70 66 57 0.96
73 -0.015485964534326917 -0.2731547923235948 0.9970152200193236 123 122 117 0.26
74 -0.08238242895874721 -0.20294530743827716 1.0751367974400088 105 99 86 0.52
75 -0.5144450309145792 0.08205936650794836 1.114667334540271 29 27 23 0.27
76 -0.05170686225725859 -0.19824626526523853 1.1368798896723968 98 103 105 0.39
77 -0.1379084430535194 -0.19040639540637683 1.008106582300596 111 106 95 0.23
78 -0.5194891279995417 0.0913096076510535 1.1220445125989151 54 49 44 0.43
79 -0.08212436585405249 -0.19703738286103226 1.0728644069444382 98 94 80 0.45
80 -0.5202034569430344 0.0935631482338854 1.1223852722316814 120 116 105 0.49
81 -0.052148251027370765 -0.19083887537280617 1.130391196006364 220 229 235 0.3
82 -0.513921312352703 0.09018365053750538 1.1184389372117574 67 60 44 0.39
83 -0.05348061470546438 -0.18725019861492215 1.1325716401624595 131 137 143 0.38
84 -0.5060802201482543 0.08713336804820469 1.1184794217287024 100 98 89 0.56
85 -0.5145989995551101 0.09231713136213811 1.1195569587060417 121 118 112 0.53
86 -0.4092098907219083 0.11466698355420492 1.344676752495019 189 200 205 0.81
87 -0.08273710751487978 -0.18656893827351234 1.0674336469675054 103 97 80 0.49
88 -0.4125320766494256 0.118388771159445 1.3421661126400686 86 100 111 0.38
89 -0.137667523112494 -0.17157662886552963 1.001330642624121 121 120 105 0.26
90 -0.4047201448745078 0.10698846664306642 1.3136272991282045 71 68 55 0.32
91 -0.08242437462564377 -0.1793395506120247 1.0642434969035384 92 86 69 0.34
92 -0.009285847245197666 -0.24852201017550093 0.9837726307140988 94 98 96 0.4
93 -0.08282517280140882 -0.1732690942879599 1.0620411399192013 108 104 84 0.34
94 -0.07331435095941756 -0.153573859235584 1.1232530267027898 119 117 104 0.12
