# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 16241, mean track length: 10.34
0 -0.08252552427380871 -0.25177775594720675 1.0719874378818148 110 110 108 0.43
1 -0.023872362873668368 -0.3005554200241724 0.9916415670237332 124 126 129 0.38
2 -0.015491210788264246 -0.29955770713676855 0.999936801805411 206 208 217 0.25
3 -0.10588218695342155 -0.21751028041229734 1.0763672227172207 144 140 134 0.46
4 -0.08699031209948162 -0.22404253325700282 1.0806907779537969 79 78 73 0.35
5 -0.05454062122426516 -0.21495448955926968 1.1322020978341305 188 192 193 0.43
6 -0.03465130249374081 -0.22081515319475656 1.1363185732343972 102 105 103 0.24
7 -0.13640030504024647 -0.21569089398921096 1.0287712415316852 179 177 175 0.84
8 -0.08193492135680258 -0.25410617858179935 1.002460698818006 103 105 111 0.3
9 -0.08331292471021272 -0.25890422291615145 0.9896377071137854 143 144 141 0.23
10 -0.1450290103849761 -0.20984699480527677 1.0231602584303314 91 90 81 0.34
11 -0.0837462084162837 -0.24957069129815534 0.9998659826378843 138 138 135 0.45
12 -0.15427907163295448 -0.20625775090701529 1.0159914005225323 182 181 180 0.36
13 -0.1029186238914108 -0.20327443412672364 1.0732365656984648 64 69 72 0.41
14 -0.08209641917860847 -0.2139666901171187 1.0703545335423323 95 91 80 0.51
15 -0.14453436685779641 -0.21387930660294696 1.0044525567216278 140 138 133 0.49
16 -0.05250772387916889 -0.20237122964271673 1.1253378408026176 115 117 121 0.46
17 -0.08500743463611175 -0.24718095166610846 0.9916147414251045 130 130 128 0.22
18 -0.14526543028073455 -0.20568486407588954 1.012658031845708 106 105 97 0.45
19 -0.14125007328797695 -0.208827544184594 1.0075773303395361 97 98 92 0.36
20 -0.016407564900596028 -0.2784371743449711 0.9840320367485003 75 74 70 0.31
21 -0.14107660879533343 -0.20483300028244875 1.0095183447919536 122 130 138 0.16
22 -0.07708571465385207 -0.24473969644423565 0.9862579523979675 97 97 91 0.36
23 -0.08184880357793006 -0.20156924268417742 1.0652844319610169 112 104 89 0.44
24 -0.05447455702087588 -0.2394282156085021 1.0027954424708128 64 65 62 0.58
25 -0.014265711549968526 -0.2704654145606009 0.98011625825079 96 98 91 0.55
26 -0.08217407675161173 -0.19551384846623365 1.0628779976362022 96 92 78 0.4
27 -0.0739691537100794 -0.22176118082928106 1.008590957744243 62 63 61 0.23
28 -0.13588532949933832 -0.18647336133285025 1.0163555578014134 128 127 125 0.33
29 -0.1370747699682505 -0.19010728810869443 1.0082805327011362 70 69 67 0.51
30 -0.0827865230962944 -0.18514119352234928 1.057429621464113 106 100 81 0.43
31 -0.07499749292108239 -0.16321078560019348 1.1098227972810288 143 140 135 0.3
32 -0.011437593153369447 -0.25203125953560584 0.9785106398993207 91 95 104 0.32
33 -0.13689728661185796 -0.18083596562013893 1.0061685829569869 140 136 131 0.39
34 -0.137139029750321 -0.18277450321237765 0.9951044129844826 140 139 133 0.21
35 -0.05667114908346614 -0.16559721589526338 1.109106947371426 203 206 207 0.54
36 -0.07066762873803215 -0.1497404730350955 1.1287221704078207 117 118 115 0.49
37 -0.06673392604714037 -0.160951108277806 1.1075524184268557 98 99 101 0.42
38 -0.08240377653569284 -0.1781616192393178 1.0541724656563467 100 95 80 0.32
39 -0.07290011846901673 -0.15534828027459482 1.107207653120753 131 130 127 0.28
40 -0.06860217149821078 -0.21046014431978347 0.9893678540825996 111 111 106 0.45
41 -0.02668180133550732 -0.24185087416753837 0.9603784917365376 127 128 125 0.62
42 -0.13946252767038372 -0.17257929417582232 0.9983861517839533 126 124 114 0.36
43 -0.13876160772332866 -0.16962991542775094 0.991109390074501 125 124 114 0.21
44 -0.08333204699407021 -0.16059430979903647 1.046100629668299 105 103 92 0.42
45 -0.09337404712105096 -0.1407440869690407 1.0445109592933572 119 116 109 0.08
46 -0.068594668467223 -0.1766627096885752 0.9885053923266853 78 80 80 0.29
47 -0.022690831421086643 -0.2094160266054456 0.947583185854406 121 119 113 0.3
48 -0.00407139943423975 -0.22104004532668398 0.9371269195969011 211 220 228 0.28
49 -0.018582069780546967 -0.211768312324377 0.9443272704231943 100 102 102 0.57
50 -0.14195610367381734 -0.13967221970028154 0.9856528814500185 166 166 158 0.37
51 -0.1512886968641525 -0.13136278687195022 0.9854559496598799 71 68 57 0.52
52 -0.0913482680798292 -0.12925975993795433 1.0370652777023694 126 125 116 0.44
53 -0.10268981982579159 -0.12325886069320878 1.035362213814173 85 86 77 0.34
54 -0.10332972094055809 -0.12050784437525276 1.0372385998869322 153 153 146 0.4
55 -0.14426730928898296 -0.11664316338946538 0.9966868800445362 103 97 84 0.53
56 -0.06961081487740362 -0.16243924002842794 0.9666232754247536 125 124 115 0.58
57 -0.34194421164733796 0.043025689662194465 1.1601736718474183 48 53 59 0.46
58 -0.08232091643658597 -0.12323118418082503 1.0363162483505888 106 103 98 0.73
59 -0.07466355863411007 -0.15670367166366952 0.9651179293431332 80 81 76 0.5
60 -0.1101689866922834 -0.10625897890081651 1.0415402827889468 92 92 86 0.61
61 -0.11313688637345393 -0.10865991805663747 1.0341684058453526 83 82 74 0.34
62 -0.07721168492713075 -0.15492920470865326 0.9569530186224676 70 69 61 0.4
63 -0.06956908571380684 -0.09126927948648078 1.0959725442323471 171 173 170 0.23
64 -0.08009050372082377 -0.15518349392355812 0.9483294454722583 143 143 135 0.67
65 -0.11093435563693003 -0.1382679779986595 0.955640390423736 110 110 108 0.17
66 -0.08657369673119575 -0.09778560555997107 1.0628194035998795 199 209 209 0.5
67 -0.09110329300294288 -0.14557189129914913 0.9525226614254709 74 72 72 0.2
68 -0.07631153712143422 -0.09714784744989054 1.0712336588395972 219 227 230 0.61
69 -0.10448473774176004 -0.13941450750414308 0.9517297744382774 118 117 113 0.21
70 -0.07913646590734012 -0.08720749053315079 1.086568496452461 177 173 164 0.35
71 -0.08156611967805734 -0.09215096622207802 1.0616512621539225 211 214 213 0.26
72 -0.14790078648168722 -0.10757590229143214 0.971037064056358 62 60 56 0.56
73 -0.13913403047695308 -0.11765280129381679 0.9573118197468089 85 84 78 0.31
74 -0.14341289824496042 -0.11242308771580481 0.9626281575420631 69 63 52 0.64
75 -0.08700238547820553 -0.07897660915501312 1.0792180119414747 174 172 163 0.17
76 -0.12699252242800668 -0.10054773413743347 0.9914593791377894 96 93 81 0.22
77 -0.02992896162748334 -0.16522345978452038 0.9279878177312185 109 110 109 0.56
78 -0.0856022916972834 -0.13730607434467137 0.9417637426767281 78 77 76 0.18
79 -0.02428302075126676 -0.17052965641485004 0.9215724050769744 128 134 132 0.53
80 -0.13657040880107021 -0.09999317691972426 0.9784043130930783 128 120 109 0.44
81 -0.08746692023358625 -0.13828939338453938 0.9360397955920986 79 78 70 0.49
82 -0.11473549278446547 -0.09331060854541844 1.0029234457193905 122 120 112 0.26
83 -0.07641307906010628 -0.07778599466453562 1.07005472065569 148 148 140 0.76
84 -0.06664951313460642 -0.06696068020333268 1.0953807007830572 125 126 124 0.47
85 -0.13952547350963454 -0.0937443630788278 0.9671687696180633 133 127 120 0.34
86 -0.231308404413626 0.009467730854410916 1.1141183215371169 62 70 86 0.09
87 -0.028910119890493042 -0.15998285388820332 0.9141287480616306 63 64 64 0.13
88 -0.28873870539936064 0.0402111241960023 1.131758223304743 92 98 105 0.24
89 -0.0527494582196935 -0.14149403324901727 0.9250721528801981 216 218 221 0.13
90 -0.08433528012132488 -0.1260542259692725 0.929293455184765 65 60 52 0.49
91 -0.11334391630360469 -0.10528481210702048 0.9495657671802086 93 89 82 0.29
92 -0.07147459941268121 -0.12874390759136894 0.9257607769332118 67 62 55 0.48
93 -0.38769507546711945 0.08277852924657036 1.126071988674058 88 94 102 0.42
94 -0.07892127925373692 -0.12413075094542553 0.9272212305649923 110 105 97 0.45
95 -0.13626430031384343 -0.08881144343444719 0.9485347298616961 141 135 119 0.37
96 -0.1154975180378202 -0.09574142778735248 0.9466019003193461 141 138 129 0.31
