# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 91
37 RADIAL 760 1027 1067.1612020718305 380.0 513.5 -0.04975087598767168 0.20649738340909998
139 RADIAL 1015 760 868.4889535114904 507.5 380.0 0.13958264764718736 -0.43101082863362156
46 RADIAL 760 1015 1014.5653489273667 380.0 507.5 -0.018457872077033824 0.06540583436259005
177 RADIAL 1030 760 1063.8891418041226 515.0 380.0 -0.02676503279419491 0.09518702455313353
211 RADIAL 756 1012 982.0705998711647 378.0 506.0 0.07403210810179278 -0.3148802686984139
116 RADIAL 760 1014 1064.1969434047453 380.0 507.0 -0.036121234787861396 0.16122946700734267
86 RADIAL 1023 760 1047.2013438445229 511.5 380.0 -0.07331318757634353 0.20648140359669054
151 RADIAL 760 1028 1033.7518776385698 380.0 514.0 -0.0233349335390651 0.071545940206494
57 RADIAL 1016 760 817.9460849629717 508.0 380.0 0.007843877271422032 -0.027656429940885782
186 RADIAL 689 1047 916.9518016208747 344.5 523.5 -0.012009007780996684 0.021329848510668
193 RADIAL 1047 689 1327.7082537493493 523.5 344.5 -0.016576899365531274 0.10412111408055189
34 RADIAL 607 819 838.4149634918581 303.5 409.5 -0.053973028750558795 0.22489053130321549
233 RADIAL 1026 760 1064.1634975188313 513.0 380.0 -0.07089063912866662 0.23089660831919026
45 RADIAL 696 1074 841.2388246727711 348.0 537.0 -0.038886045856624155 0.12649740443697677
205 RADIAL 760 1024 1043.1360076392211 380.0 512.0 -0.0188102125808345 0.07681106949933722
153 RADIAL 1025 760 1080.3892855199622 512.5 380.0 -0.07072226318777934 0.19877415483277938
90 RADIAL 760 1039 1015.4975712407826 380.0 519.5 -0.05330523523653176 0.1571045307568781
226 RADIAL 689 1047 1123.711888099862 344.5 523.5 -0.01921719856719336 0.06327462965427744
228 RADIAL 1028 760 1109.5220911159272 514.0 380.0 -0.007970179046246126 0.03706561435788442
99 RADIAL 1013 571 1107.22111134359 506.5 285.5 0.13479026122132023 -0.5773898258005463
7 RADIAL 1030 760 1029.404329728309 515.0 380.0 -0.08089612303118678 0.2639215315001785
140 RADIAL 1047 688 1338.5591590212186 523.5 344.0 -0.047242482317586154 0.22793896333945518
173 RADIAL 760 1028 1074.769497230101 380.0 514.0 0.01881313837945181 -0.08788584442783608
143 RADIAL 760 1027 895.7459576713186 380.0 513.5 0.017492485412026467 -0.09973655004065084
210 RADIAL 760 1022 847.0411129969388 380.0 511.0 -0.027505173668198067 0.04675963386522066
18 RADIAL 760 1018 975.9855203262597 380.0 509.0 0.1084352129902808 -0.3450096509857092
180 RADIAL 1025 760 1111.0480517995031 512.5 380.0 0.0010329376798564036 0.017311118718692068
122 RADIAL 760 1029 788.9040174218009 380.0 514.5 -0.08341058152618927 0.14638742467992194
125 RADIAL 1014 760 1044.1361590993808 507.0 380.0 0.0455941765692289 -0.1776594879812028
203 RADIAL 1021 543 1734.0304069233275 510.5 271.5 -0.012940334052511807 -0.00023267954346883023
149 RADIAL 719 1052 1000.1639697993985 359.5 526.0 -0.049209973229072335 0.12581621113465738
216 RADIAL 1029 760 1018.2692492355036 514.5 380.0 -0.018817548548754063 0.026792346820841986
51 RADIAL 815 605 874.6574524620744 407.5 302.5 -0.027761647187183026 0.0997003004131462
58 RADIAL 1013 760 1060.671043054347 506.5 380.0 -0.0021694644010616542 0.028724635715362375
8 RADIAL 1015 760 816.4454636214274 507.5 380.0 0.023017608470643297 -0.04997534990520654
137 RADIAL 692 1068 795.5092202185016 346.0 534.0 0.020009928796451845 -0.11246033273622419
145 RADIAL 1022 760 1151.7985252221997 511.0 380.0 0.03235082363094745 -0.14558182513341233
150 RADIAL 1034 760 1078.8316327903954 517.0 380.0 -0.022428253855940473 0.08835713643465816
23 RADIAL 1027 760 1120.0836964585073 513.5 380.0 -0.0545214872936747 0.20887943561759068
24 RADIAL 1027 683 795.451264479193 513.5 341.5 -0.03505261209282654 0.09313061407208469
154 RADIAL 1030 760 1095.3693154523355 515.0 380.0 0.0009078309419651622 0.0016967083054846275
30 RADIAL 1018 760 1017.3909032152162 509.0 380.0 0.10082563580635175 -0.3755562831813605
161 RADIAL 1025 760 1030.4479928030069 512.5 380.0 0.018913508612140965 -0.0834567135155666
166 RADIAL 756 1009 1067.9251648433415 378.0 504.5 0.08445205868830769 -0.35652768887131614
55 RADIAL 1046 688 847.3982038555571 523.0 344.0 -0.016031406904922267 0.025607959130623803
183 RADIAL 760 1022 1141.5893973858904 380.0 511.0 0.024375038675015875 -0.16576227990548562
192 RADIAL 698 1070 851.4703116324027 349.0 535.0 -0.012967347077581627 -0.008430978319220545
72 RADIAL 1049 689 1118.868049821711 524.5 344.5 -0.04366641112260298 0.15620238469276043
212 RADIAL 696 1078 853.7501794436724 348.0 539.0 -0.03785889286738386 0.19352608642695426
215 RADIAL 644 1094 957.4999882580496 322.0 547.0 -0.034461365566092854 -0.0035026661188733784
218 RADIAL 760 1033 1059.8556454400223 380.0 516.5 -0.02964407695352399 0.12526399223273035
94 RADIAL 760 1019 1257.0520813402009 380.0 509.5 -0.03551485923671218 0.12722507812368442
102 RADIAL 1013 674 766.4433084486878 506.5 337.0 -0.039636775760855225 0.07250457344670377
230 RADIAL 760 760 817.0748906752419 380.0 380.0 -0.01724273694982175 0.015078296383996964
