# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 51
169 RADIAL 1062 690 782.645029365007 531.0 345.0 -0.0027002570691280095 -0.006960181150830952
75 RADIAL 760 1031 1106.2036672400313 380.0 515.5 -0.026430140034387855 0.007981983984223118
6 RADIAL 691 1056 1104.900345559546 345.5 528.0 -0.026765512901826754 0.04742356912001096
70 RADIAL 1026 760 1049.718092673452 513.0 380.0 -0.02535843412059131 0.09575859196359597
101 RADIAL 1024 760 1104.7636445633862 512.0 380.0 0.015708331890738232 -0.08418332617975574
22 RADIAL 1066 691 792.8489418770779 533.0 345.5 -0.03754186452876963 0.05206175373467704
108 RADIAL 760 1031 1070.1457567006491 380.0 515.5 -0.04358419620122684 0.026919343216125127
54 RADIAL 1030 760 1091.8407526518286 515.0 380.0 -0.009975040933184473 0.005176248688725617
83 RADIAL 760 1030 1005.4941845493424 380.0 515.0 -0.04826443507489019 0.07879749868485694
195 RADIAL 692 1060 966.4449208168747 346.0 530.0 -0.002053926184702962 0.009502152536581227
84 RADIAL 1027 760 801.6018153685691 513.5 380.0 -0.05694441998825309 0.07007212979779907
66 RADIAL 1021 760 1104.134009224869 510.5 380.0 0.01153490309775333 -0.11909267152941345
147 RADIAL 1027 760 1023.2403277483754 513.5 380.0 -0.03016234241404056 0.0546812785211924
192 RADIAL 698 1070 853.5209893385854 349.0 535.0 0.00993768327379098 -0.03523593523097079
10 RADIAL 760 1025 1117.0620434345672 380.0 512.5 -0.0609595098749495 -0.008035137500515144
87 RADIAL 1012 759 934.1412547601509 506.0 379.5 0.01959121894382287 0.02455892620990516
89 RADIAL 1032 760 819.0608105332606 516.0 380.0 -0.028252876949348475 0.08677613713360485
100 RADIAL 1028 760 694.3774075563219 514.0 380.0 -0.04628124931030636 0.0466009660053351
130 RADIAL 506 377 547.1809140250166 253.0 188.5 -0.003990343858488962 -0.047954844017255256
69 RADIAL 1056 689 808.0328704612028 528.0 344.5 -0.01823351749252845 0.0049843712160567094
141 RADIAL 1065 651 929.5671961403224 532.5 325.5 0.00239716211547793 0.033818157186954786
14 RADIAL 1028 760 1029.9205764198423 514.0 380.0 -0.01822102298493191 -0.00358905585054727
120 RADIAL 1022 760 1106.5181239826964 511.0 380.0 0.027000071909071745 -0.17006241645546527
152 RADIAL 1021 677 1026.1990515313091 510.5 338.5 -0.0036957359356839647 0.018367795254121584
232 RADIAL 1057 691 1099.9995630585895 528.5 345.5 -0.01773222035140757 0.0013380501631457167
67 RADIAL 1022 760 1059.0319489197552 511.0 380.0 -0.022146126285873955 0.009248538336631987
35 RADIAL 986 660 1416.5998601030417 493.0 330.0 -0.023622477139372666 0.028856625610261744
134 RADIAL 1009 760 1078.6370446675385 504.5 380.0 0.0073281128418077575 -0.03351040320253384
105 RADIAL 1029 683 1396.7129756021022 514.5 341.5 -0.011953291571583072 0.0009581618471474507
111 RADIAL 1043 690 1175.1897499974777 521.5 345.0 -0.011927234000564122 -0.00757246554170714
123 RADIAL 1030 693 1433.043909932865 515.0 346.5 0.09189020768541399 0.003556477444054112
82 RADIAL 1026 676 1576.682099633657 513.0 338.0 -0.007107033870849031 -0.0010690965562829076
182 RADIAL 1007 756 976.3596267705526 503.5 378.0 0.07193097842092198 -0.17709354482369086
74 RADIAL 1057 580 1066.720048584193 528.5 290.0 -0.00373242022383015 0.033597113065391614
165 RADIAL 1028 760 1046.1978528241777 514.0 380.0 -0.01014984897534974 -0.0029881788155699455
222 RADIAL 1023 760 1031.2361013926463 511.5 380.0 0.004586087233700519 0.010798026465716547
235 RADIAL 1028 760 1043.5765163738408 514.0 380.0 -0.009855458858578074 0.006084860083108699
184 RADIAL 1021 760 1270.8332565029614 510.5 380.0 0.007331991001776188 -0.009310468521272106
62 RADIAL 1015 760 1422.3911926313556 507.5 380.0 0.00016286272811411541 0.02783015434641017
138 RADIAL 1057 689 777.2616510588513 528.5 344.5 -0.007942119961911926 -0.021387738393863133
197 RADIAL 1029 760 1069.045228154146 514.5 380.0 0.01058205962111032 0.13080500742514584
190 RADIAL 1030 760 1014.1363003096192 515.0 380.0 -0.03193040510986561 0.004798372761925797
71 RADIAL 1033 760 1076.1052263776587 516.5 380.0 0.006497210159654355 0.0024075292041991934
129 RADIAL 1032 684 726.1020701279895 516.0 342.0 0.006650592570742696 -0.0274676379783653
170 RADIAL 1030 760 1154.6720573162918 515.0 380.0 0.002719033816993967 0.0001651380296003826
81 RADIAL 1026 760 699.3793107869886 513.0 380.0 -0.0007509881623160414 -0.0054144002133805985
163 RADIAL 1031 760 1048.3256643564346 515.5 380.0 -0.039394579422625725 0.10362120780315057
64 RADIAL 1058 689 774.7239445130401 529.0 344.5 0.00045199994572479597 -0.011150991466559679
104 RADIAL 1030 684 1236.0 515.0 342.0 0.0 0.0
49 RADIAL 1062 709 875.5202859228359 531.0 354.5 0.0 0.0
162 RADIAL 1033 760 1036.9899667275383 516.5 380.0 0.0 0.0
