# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 70
161 RADIAL 1025 760 1038.7037824453212 512.5 380.0 -0.0039014305513040684 0.006271063636371321
193 RADIAL 1047 689 1324.8263086187355 523.5 344.5 -0.002541764086336046 0.022530129174964608
131 RADIAL 606 816 861.0476179514977 303.0 408.0 -0.01038522536251076 0.030348041358609853
68 RADIAL 521 382 621.9590002208043 260.5 191.0 -0.03698023519253548 0.11286676152707512
228 RADIAL 1028 760 1111.914148048017 514.0 380.0 -0.013481200579512465 0.05037893310445178
218 RADIAL 760 1033 1055.124944513552 380.0 516.5 -0.004708223552376997 0.027403824604570453
233 RADIAL 1026 760 1069.6877090620599 513.0 380.0 -0.05099310673810368 0.14780604831599584
205 RADIAL 760 1024 1042.669035242416 380.0 512.0 0.010787946259464151 -0.0017027868084481107
143 RADIAL 760 1027 896.8538072507915 380.0 513.5 -0.007491874738917586 -0.015333397329475057
47 RADIAL 760 1045 1212.824605275436 380.0 522.5 -0.8978233146195425 3.273601808089039
144 RADIAL 760 1037 804.7534398961269 380.0 518.5 -0.007907542543314893 0.037502975410411636
177 RADIAL 1030 760 1061.792356223161 515.0 380.0 -0.007576170301449477 0.01227695635097993
210 RADIAL 760 1022 844.6494782481519 380.0 511.0 0.004957437858174498 0.0012175883824787849
149 RADIAL 719 1052 994.0632016841697 359.5 526.0 -0.01752224823902918 0.04556853544880486
150 RADIAL 1034 760 1075.5055697030814 517.0 380.0 -0.028510337036201195 0.043893723781130205
55 RADIAL 1046 688 849.2007209029547 523.0 344.0 -0.00023455655263907618 0.009471881440967935
151 RADIAL 760 1028 1031.656327609107 380.0 514.0 -0.015583323628168593 0.055195743611730776
215 RADIAL 644 1094 950.6734440760225 322.0 547.0 -0.004708285705781107 0.0007570984642498815
137 RADIAL 692 1068 792.5496036560545 346.0 534.0 -0.009127739730562976 0.0053087212309220035
140 RADIAL 1047 688 1340.274554869749 523.5 344.0 -0.009888501910497869 0.0359703829852674
7 RADIAL 1030 760 1028.2593329025622 515.0 380.0 -0.01739880897543016 0.08416865547932867
139 RADIAL 1015 760 886.0425108184975 507.5 380.0 0.031382272792120865 -0.12539008403375435
23 RADIAL 1027 760 1118.506923352567 513.5 380.0 -0.017881041566029793 0.03533613250745268
154 RADIAL 1030 760 1096.751704230723 515.0 380.0 -0.008611469275635577 0.019956062040220927
30 RADIAL 1018 760 1023.6446044624078 509.0 380.0 0.09274733383851022 -0.03645586824960759
31 RADIAL 814 605 834.28658567816 407.0 302.5 -0.02323085237702983 0.03720867545297309
34 RADIAL 607 819 835.7051907374681 303.5 409.5 0.003041282185848628 0.049640154642945904
37 RADIAL 760 1027 1060.9228552318198 380.0 513.5 0.0026860273155880575 0.029281572407703554
46 RADIAL 760 1015 1011.3983563888415 380.0 507.5 0.0008617589176180796 -0.002871382687002636
183 RADIAL 760 1022 1140.15013101574 380.0 511.0 0.010566078582403332 -0.00500591049752701
57 RADIAL 1016 760 818.3236303786638 508.0 380.0 -0.014057136711876587 0.04305802154519567
191 RADIAL 1065 696 805.4384167978947 532.5 348.0 -0.06590597261606078 0.1259322485450158
94 RADIAL 760 1019 1256.3923208594776 380.0 509.5 -0.0032817832738824284 0.018454634074485762
132 RADIAL 760 879 876.7381968502332 380.0 439.5 -0.12291735599986205 -0.013959990559152593
166 RADIAL 756 1009 1075.0613734858143 378.0 504.5 0.011771260013179394 -0.05167053248912047
45 RADIAL 696 1074 837.9837338771722 348.0 537.0 -0.010766596479078695 -0.005327683569043164
173 RADIAL 760 1028 1077.159791740165 380.0 514.0 0.011212983526907413 0.0006649352962369423
180 RADIAL 1025 760 1109.1116730352423 512.5 380.0 0.021195666567176183 0.022832513429901263
59 RADIAL 695 1061 801.571367594714 347.5 530.5 0.012575481485543546 -0.016680711170269317
72 RADIAL 1049 689 1116.9885139516173 524.5 344.5 -0.020593364705311562 0.048991538609709985
202 RADIAL 760 1015 842.2563172541126 380.0 507.5 0.035952847018817735 -0.010042367723789742
211 RADIAL 756 1012 983.6431094339342 378.0 506.0 0.018365026112880326 -0.0652875924412833
216 RADIAL 1029 760 1024.486259119634 514.5 380.0 -0.041389185060076016 0.08223060996059509
90 RADIAL 760 1039 1012.1336265260387 380.0 519.5 0.022456863787797984 0.010201325660493607
226 RADIAL 689 1047 1122.4121242433112 344.5 523.5 -0.0012774753509240315 0.006719343460884961
99 RADIAL 1013 571 1112.3884793545687 506.5 285.5 0.041313555892252996 -0.12217882155689977
102 RADIAL 1013 674 763.8678669455564 506.5 337.0 -0.022446169844728206 0.03285230402982751
106 RADIAL 1022 760 1100.2879970419185 511.0 380.0 -0.023963584139381832 0.0506557299123925
116 RADIAL 760 1014 1066.019509984113 380.0 507.0 0.002076318936992946 0.0051329690967580974
119 RADIAL 760 1029 800.4625802987242 380.0 514.5 -0.01463353697111643 0.02029093851822421
