# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 65
161 RADIAL 1025 760 1038.6019898066559 512.5 380.0 -0.0046869589121078855 0.007347294772013035
193 RADIAL 1047 689 1327.1834684330213 523.5 344.5 0.00416527393100289 0.012478561424307394
131 RADIAL 606 816 863.8834745262818 303.0 408.0 -0.0009353880658209323 0.01160734082216105
68 RADIAL 521 382 620.2043571299877 260.5 191.0 -0.03317319431706683 0.06647816930985294
228 RADIAL 1028 760 1116.5427722696656 514.0 380.0 -0.007251947528327456 0.02371325207729446
218 RADIAL 760 1033 1058.2940673954797 380.0 516.5 0.005951428660252842 0.006126463874856954
233 RADIAL 1026 760 1076.6819394881213 513.0 380.0 -0.037483082999842834 0.07508378263173178
205 RADIAL 760 1024 1041.526083797305 380.0 512.0 0.012256171599936612 -0.00014108154517051917
143 RADIAL 760 1027 899.8077840597605 380.0 513.5 -0.011674580658662686 -0.009575284493850466
47 RADIAL 760 1045 1212.9762620483627 380.0 522.5 -0.8784634920533565 3.277207486398591
144 RADIAL 760 1037 806.7352441429855 380.0 518.5 0.005452539198982584 0.009474106258097208
177 RADIAL 1030 760 1058.5779829273458 515.0 380.0 -0.027386740776632567 -0.00031091140051029553
210 RADIAL 760 1022 843.9207124892356 380.0 511.0 0.0029030346683660752 0.00041549264539777613
149 RADIAL 719 1052 994.7097917718239 359.5 526.0 -0.009557735570344672 0.024991713112890543
150 RADIAL 1034 760 1079.397384685821 517.0 380.0 -0.002704585006490598 -0.00473764340084276
55 RADIAL 1046 688 848.5258036734037 523.0 344.0 0.003610085082279784 0.004593201138340844
151 RADIAL 760 1028 1035.1269987669355 380.0 514.0 0.0005804837338552322 0.027659655437997394
215 RADIAL 644 1094 946.4732438470237 322.0 547.0 -0.009123506504453538 -0.014449685560455332
137 RADIAL 692 1068 792.9678608270897 346.0 534.0 -0.010992135012532123 0.0049612303798611925
140 RADIAL 1047 688 1342.0405041965573 523.5 344.0 -0.018371164378907803 -0.00160650316089437
7 RADIAL 1030 760 1030.274790647607 515.0 380.0 -0.00956632798635511 0.05230066388633358
139 RADIAL 1015 760 886.2182320990115 507.5 380.0 0.01727580797746075 -0.07611875720783613
23 RADIAL 1027 760 1119.7166941407406 513.5 380.0 -0.026212615262168674 -0.0018136617209873742
154 RADIAL 1030 760 1100.3100161249688 515.0 380.0 -0.0011033985986331183 0.008158091005270676
30 RADIAL 1018 760 1012.3477198282183 509.0 380.0 0.024935268753218894 0.004176795758332269
31 RADIAL 814 605 833.7040618024938 407.0 302.5 -0.014003844820214292 0.0077552884344469055
34 RADIAL 607 819 836.6775930135144 303.5 409.5 0.017153439937289416 0.02953528761354947
37 RADIAL 760 1027 1062.0379559924954 380.0 513.5 0.014219206041599205 0.01175204624588439
46 RADIAL 760 1015 1011.9649215491139 380.0 507.5 0.009169185256540256 -0.004053632841098432
183 RADIAL 760 1022 1140.2160343359208 380.0 511.0 0.011341318375014899 -0.0011140405253030675
