# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1700, mean track length: 9.11
0 -0.5518786758780312 -0.5181653152799871 0.9011270879428127 84 83 75 0.36
1 -0.4971246964259973 -0.5385917213326512 0.9945635293221889 223 232 237 0.44
2 -0.49884221365395837 -0.4367317711456288 0.862811690865395 168 166 156 0.84
3 -0.49405426185506435 -0.4728069736608554 0.933417015330031 126 123 115 0.19
4 -0.4746059966123475 -0.4627615861669129 0.9222337573661024 79 77 66 0.2
5 -0.5387206655790228 -0.4437850634241087 0.8907195641358038 124 118 106 0.82
6 -0.528598708424488 -0.4203241788085853 0.8410848824710173 126 124 121 1.0
7 -0.5445957878048194 -0.4380697104989639 0.9018563060065135 115 110 96 0.56
8 -0.4820066589868968 -0.44396605754842083 0.9254363607667605 131 130 122 0.49
9 -0.5954328406008277 -0.4351229029925541 0.9090682918870744 71 75 76 0.23
10 -0.48453767356574373 -0.4374020344536143 0.981702088215233 189 197 207 0.39
11 -0.485288084313318 -0.43102210873980856 0.977204161047219 60 65 70 0.2
12 -0.4853228273916883 -0.34686334110555644 0.889985109321668 126 125 117 0.34
13 -0.4802453836156912 -0.35148654176916755 0.9085929266289697 120 119 114 0.48
14 -0.4707711362508997 -0.3605569983241353 0.9302155238415927 88 91 90 0.44
15 -0.4870104401554215 -0.33177455920023785 0.8999996661184214 70 67 59 0.25
16 -0.46679403774960865 -0.35525265947066237 0.961698849912523 74 75 74 0.31
17 -0.47272675620272603 -0.3426286073354154 0.9643353889346806 128 128 124 0.49
18 -0.47943787210139394 -0.3290644776704135 0.9423228405300301 68 65 58 0.28
19 -0.48819641614729803 -0.31012370063580985 0.9100667720703433 111 109 107 0.57
20 -0.4821636151480755 -0.3136239898570629 0.9408392488520466 43 40 33 0.32
21 -0.4987007117311898 -0.277044383719528 0.8466098483254555 131 129 113 0.11
22 -0.534722574891704 -0.2735324615922122 0.8658643903058848 150 148 137 0.5
23 -0.5009798452449259 -0.2673608281433781 0.8528297848952393 82 78 62 0.28
24 -0.48693930923094975 -0.265631373139613 0.8563719932052861 84 83 75 0.22
25 -0.4745754417402682 -0.2946768465691207 0.9562966848625898 137 136 128 0.3
26 -0.4737221649038586 -0.28409228683740934 0.953767471784401 144 143 134 0.35
27 -0.4351193778240982 -0.06615257125339385 1.377318421975014 68 63 56 0.26
28 -0.48706843025402885 -0.24338461785734658 0.8556161777703437 90 89 83 0.18
29 -0.4858374927479778 -0.2523497814513356 0.8936703959316382 55 53 45 0.29
30 -0.4940043976166138 -0.23745977767749352 0.8480068600643854 106 102 83 0.3
31 -0.48006532294061954 -0.24981261908447047 0.9380628318141137 49 48 41 0.26
32 -0.4884164536189054 -0.23040801962512789 0.8871177962401942 123 120 111 0.57
33 -0.48904566005062 -0.21190347497525505 0.8825607957755675 47 44 35 0.26
34 -0.5539566513249642 -0.15611297169660965 0.6753208742038529 108 107 103 0.29
35 -0.49041555270864207 -0.21224860307446583 0.8967698726235571 41 36 28 0.25
36 -0.47732725158510825 -0.21137055928852885 0.9421491779946204 79 73 61 0.47
37 -0.5367738728083552 -0.08613770161514757 0.7337682514677384 50 50 47 0.41
38 -0.46858886729147076 -0.12050984535613629 1.106354850463482 57 59 57 0.27
39 -0.46754280685108157 -0.12024624588178533 1.1040639054767991 57 59 58 0.28
40 -0.48591225852416225 -0.10760701646497157 1.0322437772816768 91 92 87 0.26
41 -0.4752880878434572 -0.07576314886724062 1.073709808836468 21 22 16 0.15
42 -0.3541451584751304 -0.0638207028143864 1.3589412421026372 178 166 146 0.21
43 -0.37723542781777025 -0.06337251970228432 1.3673861108592116 125 119 112 0.33
44 -0.06086016925199715 -0.05807301156468223 1.3028874150211625 149 147 132 0.41
45 -0.4419632872340724 -0.04449038199396296 1.216038521900811 57 54 48 0.36
46 -0.4427071962156344 -0.04464584621164633 1.2177773471624354 58 56 51 0.33
47 -0.42562557182995725 -0.03674872917443608 1.2270385366416097 57 56 49 0.41
48 -0.43716744928746026 -0.010580815026476061 1.2181329983756202 92 91 83 0.33
49 -0.4713097538923816 0.007096525517712224 1.0999744736011563 26 25 19 0.29
50 -0.4538981583732214 0.02674447886209574 1.1837323605459988 100 101 97 0.08
51 -0.43223726489721886 0.027957112280042985 1.225144930138457 76 79 87 0.58
52 -0.4323060615506389 0.028039913555614533 1.2251387509077587 74 80 91 0.67
53 -0.3511380364710864 0.05654810511673055 1.345799982686434 77 78 74 0.58
54 -0.5990593316270519 -0.5393930245440817 0.9342020733706483 104 106 105 0.29
55 -0.5555370232552078 -0.5085417217130227 0.9054645313787659 84 82 72 0.22
56 -0.4915433747419475 -0.516896812798331 0.9388003312651199 82 80 74 0.37
57 -0.4917871781555068 -0.5042013266860788 0.9380434964664457 92 91 86 0.3
58 -0.5617719687809746 -0.4673833664987238 0.8790127016716452 106 106 101 0.19
59 -0.4901907258059772 -0.4779519142678622 0.933558660702754 67 66 60 0.29
60 -0.48224675970995773 -0.4717973580495659 0.9301526994987087 143 142 135 0.39
61 -0.5530463429746929 -0.4432946756048538 0.8824253074358104 80 79 73 0.26
62 -0.47968886730962484 -0.44034384401363663 0.9269733193653461 81 80 74 0.42
63 -0.48612712845028355 -0.459120843662444 0.9690312519403741 213 223 231 0.7
64 -0.48711474158385104 -0.46379662346162503 0.9827126875170676 92 96 100 0.35
65 -0.4857969110726397 -0.41406167850500536 0.979118331499193 51 52 57 0.49
66 -0.5056116480420327 -0.34677277015654806 0.8530039069981078 70 66 54 0.82
67 -0.47253051854494205 -0.3283289158985426 0.9565893129866733 129 125 116 0.36
68 -0.49066618459048084 -0.30823791975894455 0.9064944264672214 49 46 39 0.26
69 -0.49906400399124834 -0.245310510601785 0.8455594390862131 88 86 75 0.42
70 -0.46889171510097494 -0.2363144855703554 0.9607450023920281 89 85 74 0.34
71 -0.5452164726615784 -0.15385464613568386 0.7284706329997903 58 60 57 0.31
