# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 75
193 RADIAL 1047 689 1324.9459507978556 523.5 344.5 -0.013344111833094948 0.07504628586423596
166 RADIAL 756 1009 1059.3234230087112 378.0 504.5 0.03648301193927254 -0.15197967344787994
202 RADIAL 760 1015 843.8414636931376 380.0 507.5 0.04031982790253712 -0.06030137717888981
173 RADIAL 760 1028 1073.912258361946 380.0 514.0 0.0008564806066667287 0.019639508584714874
143 RADIAL 760 1027 900.924427615275 380.0 513.5 -0.00453676634300278 -0.029927630357063542
18 RADIAL 760 1018 976.5733935481294 380.0 509.0 0.055221099381123205 -0.19751916058892569
191 RADIAL 1065 696 809.201874109666 532.5 348.0 -0.07808003735669526 0.1468182723319406
226 RADIAL 689 1047 1122.8779427108327 344.5 523.5 -0.011760668531713408 0.031311803993120176
102 RADIAL 1013 674 769.0799465771383 506.5 337.0 -0.04128917067217056 0.06875386163619039
37 RADIAL 760 1027 1063.3382209082051 380.0 513.5 -0.013205900128302665 0.07099580582939145
122 RADIAL 760 1029 792.7777936908806 380.0 514.5 -0.057530137996237185 0.11468573173320375
186 RADIAL 689 1047 922.093782732293 344.5 523.5 0.002581467396550287 -0.0011811408082680376
47 RADIAL 760 1045 1304.9593675721687 380.0 522.5 -0.2364654987616771 -0.014671036241129889
212 RADIAL 696 1078 847.2662008744823 348.0 539.0 -0.014327870160142643 0.08449360245808354
149 RADIAL 719 1052 1003.0911230944322 359.5 526.0 -0.03726790209937216 0.09753023483987683
86 RADIAL 1023 760 1039.2522018938396 511.5 380.0 -0.06313467506390905 0.17750278034721206
216 RADIAL 1029 760 1021.815833405334 514.5 380.0 -0.027119282843592375 0.03664400323084903
90 RADIAL 760 1039 1022.5026667602698 380.0 519.5 -0.022887419880615524 0.023799440392405165
125 RADIAL 1014 760 1048.492900951858 507.0 380.0 0.0207992398291571 -0.10882792943822457
94 RADIAL 760 1019 1260.3130118980912 380.0 509.5 -0.01775441822736114 0.06380956953006328
131 RADIAL 606 816 862.0748525911348 303.0 408.0 -0.01979181055037425 0.06741352810215688
116 RADIAL 760 1014 1062.1605541683134 380.0 507.0 -0.011860298980676327 0.06329285304270872
205 RADIAL 760 1024 1043.316121477908 380.0 512.0 -0.013850939898781259 0.0423844302687393
55 RADIAL 1046 688 849.9023038986862 523.0 344.0 -0.01593415054813701 0.03404412564278881
34 RADIAL 607 819 836.9420661146175 303.5 409.5 -0.027228435231643533 0.10538469440453187
7 RADIAL 1030 760 1023.1287431527111 515.0 380.0 -0.031501148593202466 0.136396086802916
183 RADIAL 760 1022 1140.4737624625584 380.0 511.0 0.011094938304544485 -0.04750931193095014
139 RADIAL 1015 760 882.7631231785723 507.5 380.0 0.09775456487300972 -0.32211670522009966
171 RADIAL 1075 694 797.0387892482862 537.5 347.0 -0.04703189702625026 0.11859530915305866
177 RADIAL 1030 760 1063.0194327279694 515.0 380.0 -0.025772789472283654 0.09168638340619241
151 RADIAL 760 1028 1031.371157373563 380.0 514.0 -0.028323948122665275 0.09168587493792525
218 RADIAL 760 1033 1058.9255162368702 380.0 516.5 -0.01787245066179541 0.09598381288016383
59 RADIAL 695 1061 799.3299070565074 347.5 530.5 0.009129254894981467 -0.004953558948095614
46 RADIAL 760 1015 1012.2904308773329 380.0 507.5 -0.004171549778115133 0.015709457834292874
161 RADIAL 1025 760 1037.1655958301847 512.5 380.0 0.0009308051586233485 -0.024765803381490224
145 RADIAL 1022 760 1154.4386162903133 511.0 380.0 0.014953331082459172 -0.06591803421748899
154 RADIAL 1030 760 1096.753305056083 515.0 380.0 -0.007608793891275481 0.029523765270054732
210 RADIAL 760 1022 847.2183941780821 380.0 511.0 -0.020677272540002983 0.040298862293681896
23 RADIAL 1027 760 1120.5197143308767 513.5 380.0 -0.04923536659578549 0.20972886277034994
189 RADIAL 1032 684 741.0111163781926 516.0 342.0 -0.019313170431225272 0.036262370078909416
137 RADIAL 692 1068 798.4297591424379 346.0 534.0 -0.0011825372117341224 -0.02383777049757743
57 RADIAL 1016 760 818.7097926278699 508.0 380.0 -0.00028987290940113035 0.018239089901767418
72 RADIAL 1049 689 1117.6711586453628 524.5 344.5 -0.029819835529440793 0.07515952352659702
144 RADIAL 760 1037 803.7114358850813 380.0 518.5 -0.034729208540269695 0.12169912589525995
119 RADIAL 760 1029 796.1304123997214 380.0 514.5 -0.005410584360316925 -0.008963231515411988
8 RADIAL 1015 760 811.8662679057312 507.5 380.0 0.035362051746921155 -0.06535281803197211
24 RADIAL 1027 683 789.3794787475848 513.5 341.5 -0.05514312644886325 0.08434914560068253
215 RADIAL 644 1094 1086.5537692088278 322.0 547.0 -0.2021690217479551 0.5122902758144775
225 RADIAL 760 760 730.689883230856 380.0 380.0 0.5174736068131371 -1.5559475034373715
45 RADIAL 696 1074 839.9989883023661 348.0 537.0 -0.006561280114495388 0.020493601275501636
180 RADIAL 1025 760 1108.527710959685 512.5 380.0 0.005927083836949764 0.08202760934311941
211 RADIAL 756 1012 978.8058076416863 378.0 506.0 0.05260525441278558 -0.16884761275295018
58 RADIAL 1013 760 1060.6450550035731 506.5 380.0 0.0072576471720583804 0.011117806516838455
117 RADIAL 760 1027 1115.711037088761 380.0 513.5 0.08186668167894642 -0.2317604205339884
106 RADIAL 1022 760 1101.6957685452635 511.0 380.0 -0.032629376437098505 0.1035321597641088
132 RADIAL 760 879 895.1834527099106 380.0 439.5 -0.04595340259781669 -0.024955681581470074
174 RADIAL 760 1024 1028.8758547765585 380.0 512.0 -0.038675732639499624 0.14848213225650048
140 RADIAL 1047 688 1339.555413340755 523.5 344.0 -0.02331171988196258 0.10628377155835321
150 RADIAL 1034 760 1073.1050369842765 517.0 380.0 -0.025304212588526668 0.07173359260446135
178 RADIAL 610 822 713.8714799398712 305.0 411.0 -0.020565343773187736 0.06956414662253833
30 RADIAL 1018 760 1042.9642189754231 509.0 380.0 0.2195043813001623 -0.6637638838208831
115 RADIAL 857 760 719.3504306989764 428.49999999999994 380.0 -0.5838236933550035 1.4854349699158644
31 RADIAL 814 605 834.7379031580851 407.0 302.5 -0.06252892104592735 0.1683479648925966
228 RADIAL 1028 760 1111.9591757198768 514.0 380.0 -0.013822668253211125 0.05653715521258109
68 RADIAL 521 382 622.2225711587654 260.5 191.0 -0.045239969709192716 0.15454234914438852
233 RADIAL 1026 760 1067.6403935967146 513.0 380.0 -0.06216161073805862 0.18043076894274576
167 RADIAL 1023 760 1053.7738531570067 511.5 380.0 0.016391855522155725 0.016402873044380744
99 RADIAL 1013 571 1112.0572985226268 506.5 285.5 0.0625092879227853 -0.21207752902153595
168 RADIAL 513 380 550.5583595342608 256.5 190.0 0.004852876129598867 -0.03309410675201739
121 RADIAL 1020 680 803.2911752741828 510.0 340.0 -0.0046726125363856 0.011710992847510995
78 RADIAL 1013 757 861.4843653162197 506.5 378.5 0.10603899827880464 -0.28074409973232883
133 RADIAL 374 501 426.4470402758394 187.0 250.5 -0.0033890727239719288 0.007680263590560428
153 RADIAL 1025 760 1095.3550049613732 512.5 380.0 -0.01895549780313957 -0.002350345482508849
80 RADIAL 944 760 996.859373973224 472.0 380.0 0.053634825191562215 0.004435146039358311
79 RADIAL 1029 760 1153.2158335666672 514.5 380.0 0.008121263379325241 0.05025113480461008
