# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1808, mean track length: 8.52
0 0.09801022391468005 0.034491305207733074 0.8700715363484989 140 141 138 0.36
1 -0.06551181585833009 0.03850413913824549 0.7848357938497426 168 162 153 0.17
2 -0.07087234903097124 0.038958319488126114 0.7793820560066618 93 85 75 0.31
3 0.10384478578717427 0.047448188815566006 0.8600045654638255 186 182 170 0.1
4 0.10354960088350669 0.04743263730828308 0.8589401757414779 185 178 166 0.17
5 -0.11664413385239403 0.04792665422592217 0.7451272544856516 83 71 58 0.4
6 -0.12315478368644761 0.04889200599535955 0.7487472267295586 86 73 57 0.35
7 0.10328345904323169 0.05595873845574024 0.8549881213023373 159 155 149 0.34
8 0.10567160810960749 0.0566849012878925 0.855954576985546 138 133 124 0.29
9 0.11857511908258259 0.05741303122470251 0.8565727022455996 148 144 137 0.11
10 -0.10531515842454622 0.0500889126138764 0.7412889584551076 153 149 142 0.28
11 -0.15710583142012796 0.051556926312067715 0.7211443480600063 99 90 79 0.5
12 -0.1183019731302779 0.05715239131295419 0.7454551526917416 115 105 93 0.28
13 0.01332890085336372 0.06773021656022762 0.8266514204757659 132 128 120 0.29
14 -0.060277189568233684 0.06558486839661407 0.7825547086907993 150 143 127 0.3
15 0.15882477950839696 0.07453045002655359 0.8860278742096132 84 81 71 0.12
16 -0.16999271920909625 0.059315390424370236 0.6875674044335741 143 138 125 0.45
17 0.0189096097759002 0.07166188609208071 0.8287420467192899 85 80 69 0.22
18 0.1969038162270905 0.08217743468655031 0.9126965178467571 160 159 150 0.26
19 0.10520667881197751 0.07798127876282449 0.8458131927599932 100 96 86 0.35
20 -0.13534540322783695 0.06622252184610997 0.7174507819962951 53 49 39 0.2
21 0.07264488432524187 0.07992349638346727 0.8656400165518513 133 132 127 0.18
22 0.05178297919577659 0.07949746922631243 0.8501195348191649 116 114 106 0.23
23 0.053643406750455265 0.083241949852652 0.849288018595186 159 157 149 0.3
24 -0.16721664851092663 0.06790617315708646 0.6886933323816351 173 171 162 0.16
25 0.21674927410861605 0.09100650678767687 0.9162634832247992 88 84 71 0.26
26 -0.13580742091528522 0.08007445711053443 0.7119713486125862 158 153 146 0.06
27 0.19577728931324428 0.10201530094221987 0.9018110491360795 172 171 165 0.25
28 -0.10569320860972983 0.08237399541039803 0.726060838949069 141 128 111 0.19
29 -0.03423273032856867 0.09074268273036462 0.7732657120352069 106 103 91 0.18
30 0.1696377904942839 0.10272373725820048 0.8698787571858201 117 110 97 0.27
31 0.1696377904942839 0.10272373725820048 0.8698787571858201 117 110 97 0.27
32 0.07491784148416343 0.10218250172735513 0.8671156630857266 109 102 94 0.18
33 0.14774388348754272 0.10385576782128507 0.8734347887131793 148 136 124 0.42
34 0.2017879401836951 0.10854456595471283 0.9010558691250556 75 71 63 0.27
35 0.20220850577224578 0.11237071736440359 0.9005276624944202 89 86 76 0.39
