# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 708, mean track length: 6.43
0 -0.023652895078193525 -0.2669971235098225 0.7011788160187578 101 95 91 0.31
1 -0.004943085762446358 -0.2513314943231006 0.7104650488423381 71 69 65 0.25
2 0.09519734319600957 -0.07522377592894652 0.6474987641421922 112 111 104 0.16
3 0.011432098107465802 -0.044157040056756316 0.6358112057209538 74 76 74 0.17
4 0.32201683788150737 -0.04340046798836578 0.6654368220414775 54 51 46 0.24
5 -0.14164420241642656 -0.03304171077661074 0.6649612466569556 130 128 123 0.18
6 -0.05087712789395889 -0.006606789294746521 0.6614509277784165 86 79 70 0.68
7 -0.07817684147228689 0.040428456682347826 0.6383970381486546 128 125 120 0.3
8 0.31584557510363687 0.044139194812041545 0.641532839089675 91 85 76 0.39
9 -0.03342861379328747 0.04046100669942057 0.596936708393956 107 102 94 0.34
10 0.09835534748965664 0.04460033477979249 0.5981200272195323 134 132 133 0.32
11 -0.03350155570324978 0.044511014487103734 0.5950224776614069 113 109 102 0.23
12 -0.03350155570324978 0.044511014487103734 0.5950224776614069 113 109 102 0.23
13 0.096083449948032 0.05813631278121513 0.5946582280942198 72 69 60 0.22
14 -0.17683179615244518 0.06775597986180049 0.623620269093017 77 77 82 0.29
15 -0.13027898222050033 0.06814219044545872 0.6252795898157426 53 49 40 0.13
16 -0.12128861188227491 0.07580291750397912 0.616786692549774 128 125 119 0.29
17 -0.037562019752434485 0.07355508433857255 0.584916395225698 36 32 23 0.08
18 -0.03752130734185321 0.07352317207773204 0.5850783808750526 41 36 25 0.14
19 0.08010313890362113 0.07854599336664318 0.5892857994551861 68 66 69 0.3
20 -0.13266072300632192 0.08692667269190868 0.6199593128661819 100 98 94 0.28
21 -0.028215447782885733 0.0854525755032305 0.5796663753374981 24 22 16 0.22
22 -0.08188717246443661 0.09300540716085728 0.6178720781695017 122 118 113 0.32
23 -0.03581390870959209 0.0897118102690234 0.5845414974834166 61 58 50 0.13
24 -0.011630784002259146 0.09616455205387157 0.5816890785919668 40 34 25 0.18
25 0.0758179275149545 0.1020355513397422 0.5841366181560641 103 98 91 0.09
26 0.08077360562478296 0.10480926503800408 0.579002387318567 127 121 112 0.21
27 0.09001468980363904 0.12052740399766657 0.5781630566114626 117 113 113 0.12
28 -0.02208639470865615 0.1270499407528901 0.5692679117575786 55 52 46 0.24
29 0.2083416050675051 0.143012814116469 0.6055842070602535 79 79 79 0.24
30 0.2111782024502423 0.1423367532567426 0.568629516543934 38 38 37 0.45
31 0.06288083269242789 0.14191660862754055 0.5695852591403253 112 109 111 0.19
32 0.10404691188664238 0.14278626626218072 0.5690186774798881 52 51 56 0.23
33 0.03849907661440741 -0.2658925741226036 0.7079417893732113 43 42 40 0.91
34 0.031232654260103507 -0.23717056998370786 0.7034650785493025 125 124 122 0.16
35 0.4551144665451955 -0.22494107308906303 0.8737180381595302 107 108 110 0.3
36 -0.27545632063655356 -0.17397179570760687 0.8081082462188605 18 21 23 0.34
37 0.06702152159545617 -0.1324350366439892 0.6728132386370134 91 86 78 0.32
