# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 91
193 RADIAL 1047 689 1329.2756111110127 523.5 344.5 -0.020423839080043756 0.121841082757677
90 RADIAL 760 1039 1015.8874846861303 380.0 519.5 -0.05802728689504858 0.19261997774185666
7 RADIAL 1030 760 1025.2919358593383 515.0 380.0 -0.0670883270071803 0.23493701380025936
210 RADIAL 760 1022 845.90831557875 380.0 511.0 -0.022676200452826836 0.03936407542597838
149 RADIAL 719 1052 1000.2367143040084 359.5 526.0 -0.05298722109570767 0.13246602745907915
22 RADIAL 1066 691 796.2043342328639 533.0 345.5 -0.0679568875370724 0.13523980350973908
122 RADIAL 760 1029 789.1971029601184 380.0 514.5 -0.07968532545633601 0.14531119911094087
140 RADIAL 1047 688 1339.7893105044964 523.5 344.0 -0.04508043998892935 0.2185593443478278
154 RADIAL 1030 760 1096.330956997508 515.0 380.0 -0.0038241696892391632 0.022972153373243324
161 RADIAL 1025 760 1032.2992385013008 512.5 380.0 0.013457618584848511 -0.06465598313351474
99 RADIAL 1013 571 1107.683909875829 506.5 285.5 0.14207343640203896 -0.6051804942436924
216 RADIAL 1029 760 1019.8801316107805 514.5 380.0 -0.0253240198256665 0.0614255697831582
94 RADIAL 760 1019 1258.9670720715212 380.0 509.5 -0.02967447334180179 0.10332668087139897
108 RADIAL 760 1031 1071.077496485014 380.0 515.5 -0.041313962237023175 -0.006626233413604879
233 RADIAL 1026 760 1067.527795302713 513.0 380.0 -0.09052879420641635 0.31697005033292075
203 RADIAL 1021 543 1735.8971537741618 510.5 271.5 -0.01982189077015724 0.04808573690414078
226 RADIAL 689 1047 1124.6919968241511 344.5 523.5 -0.024386525812967724 0.08400009929546796
143 RADIAL 760 1027 897.0758134257973 380.0 513.5 0.0170378254535876 -0.08696628685229313
55 RADIAL 1046 688 848.077267758106 523.0 344.0 -0.01604985704449148 0.02548904707912609
86 RADIAL 1023 760 1048.0415943945102 511.5 380.0 -0.07069656789142419 0.19602907083587634
31 RADIAL 814 605 835.6776314391471 407.0 302.5 -0.0646956521183066 0.17937739155823199
125 RADIAL 1014 760 1045.6750288574206 507.0 380.0 0.0454587484413363 -0.17985762796187024
18 RADIAL 760 1018 975.8428108283395 380.0 509.0 0.10285727683447224 -0.31378790883709434
70 RADIAL 1026 760 1052.8001903775487 513.0 380.0 -0.03540820264011754 0.0021490096078853656
171 RADIAL 1075 694 799.4383363828529 537.5 347.0 -0.07297245704370936 0.16212939097168177
218 RADIAL 760 1033 1060.9982498606082 380.0 516.5 -0.03303231556414271 0.15085109335868643
166 RADIAL 756 1009 1066.9783201444748 378.0 504.5 0.08011791235138034 -0.3500137523074613
228 RADIAL 1028 760 1110.3440770640996 514.0 380.0 -0.009888053334864895 0.04708647412943076
37 RADIAL 760 1027 1068.227793562884 380.0 513.5 -0.05130052609967183 0.21820292411072045
186 RADIAL 689 1047 918.158828090062 344.5 523.5 -0.008924332641269633 0.012137287443411374
46 RADIAL 760 1015 1015.477416009864 380.0 507.5 -0.016636909128334907 0.061726471264968746
116 RADIAL 760 1014 1064.216723932992 380.0 507.0 -0.03186512774736092 0.1339763093447257
180 RADIAL 1025 760 1111.826561971128 512.5 380.0 -0.00033995488147552853 0.026261772681262646
167 RADIAL 1023 760 1046.7761989841606 511.5 380.0 -0.061809344080580135 0.18797259675392142
153 RADIAL 1025 760 1082.5397024393587 512.5 380.0 -0.06944961652476717 0.19641194531121367
151 RADIAL 760 1028 1034.73195319042 380.0 514.0 -0.022103792207306062 0.07258237455640648
45 RADIAL 696 1074 841.6707928004649 348.0 537.0 -0.04347613888953108 0.1484185943060303
47 RADIAL 760 1045 1797.2905759753032 380.0 522.5 0.19164195276387858 -9.555494401549598
183 RADIAL 760 1022 1141.407676977161 380.0 511.0 0.0314878399581187 -0.20778806146288825
205 RADIAL 760 1024 1043.350068932742 380.0 512.0 -0.018151220255926085 0.07238912029037226
106 RADIAL 1022 760 1103.4421509156145 511.0 380.0 -0.02867669738312079 0.0992747783050582
145 RADIAL 1022 760 1152.914198117192 511.0 380.0 0.03389968640086082 -0.16237376901154052
173 RADIAL 760 1028 1076.087003387502 380.0 514.0 0.004045901074983272 0.010592014596653708
177 RADIAL 1030 760 1064.7140308148453 515.0 380.0 -0.02758398747918871 0.10103639130934335
57 RADIAL 1016 760 818.5065343175511 508.0 380.0 0.00846435969250525 -0.028976129831451532
72 RADIAL 1049 689 1119.3308583117278 524.5 344.5 -0.04282823311725514 0.15048645932077462
23 RADIAL 1027 760 1120.7696976555148 513.5 380.0 -0.05409179881586607 0.20830084672407362
30 RADIAL 1018 760 1017.3499125208565 509.0 380.0 0.09767286166080325 -0.37143918757820144
34 RADIAL 607 819 838.7715545243495 303.5 409.5 -0.056047220501779106 0.23111753334154708
102 RADIAL 1013 674 767.0711022890459 506.5 337.0 -0.03986316618670134 0.07332139705721862
230 RADIAL 760 760 813.0190509667003 380.0 380.0 -0.005576101537594178 -0.002230871206049158
58 RADIAL 1013 760 1062.4883150734386 506.5 380.0 -0.003173668561077376 0.03293171499237969
69 RADIAL 1056 689 809.7841724557651 528.0 344.5 -0.05058758792994098 0.050165665095184525
