# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 230
81 RADIAL 1026 760 708.8915109268985 513.0 380.0 0.00018540615184768538 -0.006664416088902245
1 RADIAL 1059 695 805.4105631678055 529.5 347.5 -0.09557780091054488 0.15855128062984863
25 RADIAL 1025 760 1139.6276593581272 512.5 380.0 -0.024106688390524707 0.01778139535084224
71 RADIAL 1033 760 1077.9704377916087 516.5 380.0 -0.04322449181117682 0.11879465949699677
64 RADIAL 1058 689 786.6608384904315 529.0 344.5 -0.024392450970097113 0.02702313466076415
65 RADIAL 1041 760 1003.0461737459065 520.5 380.0 0.005375437615351017 -0.11386253120604946
103 RADIAL 1026 760 1126.155007273827 513.0 380.0 0.0011786149500500854 -0.025904870487567785
232 RADIAL 1057 691 1108.0517826779096 528.5 345.5 -0.04851485698302401 0.18419557158861027
43 RADIAL 1026 760 1031.9880945634748 513.0 380.0 0.03058131641032995 -0.12998215519151476
12 RADIAL 1023 760 1226.7944964611515 511.5 380.0 -0.068672740079548 0.3258732652150467
53 RADIAL 1023 760 1091.861018564052 511.5 380.0 -0.0649999799605057 0.2991567976988475
118 RADIAL 1032 760 1124.9843409450707 516.0 380.0 -0.116604206279067 0.5083547795900055
73 RADIAL 1067 697 802.2950690424723 533.5 348.5 -0.0717719481669675 0.11421486883187514
181 RADIAL 1010 760 1064.0560737682968 505.0 380.0 0.054093518026740756 -0.30893064892260724
88 RADIAL 1024 760 703.3701630493214 512.0 380.0 0.009451633955473694 -0.02719236198815623
26 RADIAL 1027 760 1064.3602913695868 513.5 380.0 -0.06683291351042843 0.18716665676004568
126 RADIAL 1037 760 1145.6949575094745 518.5 380.0 -0.03312022410315286 0.20408684064564567
63 RADIAL 1023 760 1026.9954693912296 511.5 380.0 -0.04283105078894116 0.09905267936177384
76 RADIAL 1023 760 689.811102948314 511.5 380.0 0.027320753624718766 -0.02499546579073516
129 RADIAL 1032 684 742.2870125545852 516.0 342.0 -0.007516661238422482 -0.00703882893059014
128 RADIAL 1025 760 1032.7039452119363 512.5 380.0 -0.05601018616882318 0.18666764732475014
3 RADIAL 687 1042 1095.6956129822354 343.5 521.0 -0.00754863534720585 -0.01959363831906324
4 RADIAL 995 666 1715.0002535304402 497.5 333.0 -0.030154134133742135 0.36846449410677945
14 RADIAL 1028 760 1027.7714956789644 514.0 380.0 -0.05178775146352696 0.12749451905700485
15 RADIAL 1024 760 1074.670528433516 512.0 380.0 -0.054094396461977626 -0.0336167291383177
17 RADIAL 1019 760 1141.465445596562 509.5 380.0 -0.030707355037824766 0.10901324340082243
158 RADIAL 1013 757 1037.4486825401711 506.5 378.5 0.038640430287443524 -0.1855833779293821
163 RADIAL 1031 760 1049.7926866580685 515.5 380.0 -0.05376203743473151 0.18414812952513152
165 RADIAL 1028 760 1034.7224075699364 514.0 380.0 -0.05435284013070825 0.16232408570011736
54 RADIAL 1030 760 1100.9537444733992 515.0 380.0 -0.016343309269163594 0.014176313678849757
182 RADIAL 1007 756 964.7034919316011 503.5 378.0 0.09877176917272222 -0.28840521637710187
56 RADIAL 1028 683 696.3037625031869 514.0 341.5 0.012947751283783353 -0.017899744171171527
190 RADIAL 1030 760 1039.4879195094616 515.0 380.0 -0.03930268346466153 0.12016777140257438
67 RADIAL 1022 760 1080.9773531304052 511.0 380.0 -0.08470279840003452 0.3162093462448937
