# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 44818, mean track length: 10.42
0 0.02408486937840627 0.03575312886853249 0.9097755645581099 240 242 245 0.49
1 0.020763758399663254 0.037712607302105676 0.9100190416842797 102 110 123 0.64
2 0.021167607198156434 0.042546725394517204 0.9065104110960109 86 90 97 0.64
3 0.09165991484976928 0.056972351652977406 1.1258354856072852 78 92 107 0.55
4 0.08775270186309181 0.05862087734479665 1.124876870947981 221 230 233 0.93
5 0.040861318346450015 0.062212516236492904 0.9702838966248442 185 195 207 0.54
6 0.05815713616109699 0.0675024902555446 1.0003067408606545 152 164 186 0.52
7 0.059559407317472134 0.07028433424830002 0.990823494702664 71 78 98 0.72
8 0.05488128162844587 0.07855219131980518 0.9918142251803175 136 134 134 0.65
9 0.807263703160431 0.11035890522809473 1.271180072206115 131 128 123 0.43
10 0.04642705925089521 0.08373829334222388 0.9636392605944403 148 150 157 0.26
11 0.06288800453196236 0.09554426759218873 1.0000542040850908 45 44 44 0.3
12 0.8153497581486999 0.13034745867350495 1.2593448435008616 108 111 112 0.23
13 0.7997351709759781 0.1357942146744158 1.2619564748752676 161 164 161 0.46
14 0.7734407227277669 0.13992793007326862 1.2760847344386188 99 100 107 0.29
15 0.4633053627024414 0.16338978352870834 1.370208252546175 83 83 81 0.4
16 0.5228412475709256 0.1719752983424646 1.4025964234137138 103 105 110 0.57
17 0.6939749332425895 0.15973121477382515 1.2879245159558932 173 170 157 0.27
18 0.5228690010882888 0.1679238501064195 1.3470596596790672 196 202 212 0.3
19 0.6980667753165533 0.16366139336357075 1.2798053841798789 100 107 115 0.23
20 0.5228094791016475 0.1826040400890239 1.4042364506177407 112 113 114 0.87
21 0.6034337879011471 0.17421010476076026 1.3026099465676035 82 81 75 0.36
22 0.7209008889016314 0.1710469817561444 1.2727688183224548 143 148 148 0.56
23 0.45975447770549766 0.1825576184076804 1.3669760619821383 114 122 125 0.19
24 0.8042744445763175 0.17289900079710158 1.243586193896366 150 153 155 0.38
25 0.5576589771413947 0.18692769687521915 1.321944379752938 155 152 140 0.76
26 0.40102144155095 0.19613337351643576 1.385791311574759 130 127 122 0.73
27 0.6334390842225253 0.1961231961761577 1.2922478284919616 151 148 141 0.92
28 0.803436689376827 0.18965338342630844 1.2384456850178625 137 133 119 0.39
29 0.7926257180290708 0.19129813922526234 1.2407804480959939 148 144 132 0.42
30 0.5768100609361901 0.20250221350096265 1.3088609019251995 140 131 112 0.56
31 0.7460118919136296 0.1989361890081336 1.2535495600696802 131 128 116 0.48
32 0.4293986223205782 0.2140314656537093 1.3688174004767526 115 121 125 0.5
33 0.7331165371951247 0.20089792070322932 1.2575674033436663 128 124 110 0.37
34 0.7281237729949515 0.2019524033893768 1.2584796752968854 135 130 116 0.34
35 0.40864386933546437 0.21814395631377861 1.374080951460644 168 168 166 0.39
36 0.5480167754188179 0.21022418567646112 1.3173581970571884 169 163 151 0.48
37 0.647399220289588 0.20551147223474572 1.28241957854941 152 152 147 0.59
38 0.5849837594278673 0.2121674960492863 1.3027087032433047 194 182 154 0.43
39 0.6620334543351633 0.20828617690355697 1.274454405497035 74 69 60 0.47
40 0.6033289349792211 0.21316604124333421 1.2969339716564892 175 172 164 0.65
41 0.2812646585514673 0.23507501153333066 1.4327781329800682 40 42 49 0.45
42 0.2965816800072438 0.23507089853193044 1.4253383136606177 147 148 149 0.36
43 0.73622425212107 0.21360833252863945 1.2510798236279799 126 117 91 0.29
44 0.5035211754099912 0.22421477218261757 1.325629661764023 164 160 154 0.52
45 0.2818592915748617 0.24093745720693088 1.4268493841993382 80 85 88 0.16
46 0.3220042002209047 0.238299238860665 1.413906447504642 119 123 123 0.4
47 0.5117120931502905 0.22710258190146093 1.322416254753738 172 168 155 0.46
48 0.5436622643095125 0.2265453242509068 1.3111235204937897 167 163 152 0.84
49 0.549072071701974 0.2257354422368458 1.3095597505152041 173 169 158 0.65
50 0.7919150407645402 0.2136998122741861 1.2371766599783238 128 115 84 0.41
51 0.4590209024443145 0.23026839378094077 1.3325144442803603 89 86 78 0.34
52 0.5066284916864932 0.22998230939155043 1.3226685812597552 167 164 156 0.57
53 0.4779242249324196 0.2327929258605646 1.3322176059395592 158 153 143 0.39
54 0.6672667325568576 0.22367311529503092 1.266700851941584 132 116 87 0.4
55 0.3190352415451303 0.24271595531548423 1.4100164157722237 66 68 69 0.7
56 0.3052617879966626 0.246524770242643 1.4193393161653265 43 46 51 0.43
57 0.48342540772042103 0.234995522508026 1.329400637015344 144 135 120 0.24
58 0.4965574477367261 0.23533473858460444 1.32397799051009 156 149 134 0.39
59 0.6388680927493473 0.22913703771911112 1.2757172050634282 41 40 38 0.54
60 0.6640679742666344 0.22855473722666855 1.2708334010378546 117 92 41 0.13
61 0.6054757403148576 0.23461049841701728 1.2857632438159032 42 42 40 0.45
62 0.5720579956588069 0.2402332656959858 1.2962040988131605 43 42 40 0.47
63 0.3058338853279484 0.2623995030402684 1.4139294043843083 65 66 69 0.49
64 0.535729899075352 0.2448391441163601 1.3048190627089078 146 129 98 0.44
65 0.2589127546800674 0.2666255940265576 1.4368588146991477 71 71 73 0.42
66 0.556588359169987 0.24688096662502793 1.3038321542435687 84 70 46 0.47
67 0.5307780036082692 0.24974675748159134 1.307896520112144 137 107 60 0.41
68 0.2899559602455657 0.26951903814551653 1.4066800240463209 80 78 72 0.53
69 0.5886959445485853 0.25245806179651 1.2900131061548938 71 70 70 0.3
70 0.4674768392641325 0.25979522178330033 1.325417617389754 133 102 61 0.33
71 0.4347036850029801 0.2640495854644166 1.3411847405136523 127 110 80 0.35
72 0.6234387911834155 0.25993513209604074 1.276096270338696 75 75 78 0.25
73 0.6017685681306625 0.26265560167752333 1.278786500913262 155 149 139 0.82
74 0.5038310537398814 0.26755463000860336 1.308584913912692 105 100 97 0.12
75 0.5240834644420921 0.26931722924432316 1.3034446937321498 72 73 78 0.45
76 0.35053518208130957 0.28246841363869507 1.3748888120377298 145 123 84 0.32
77 0.34616844502855965 0.28425360621945883 1.377660948702722 39 35 30 0.31
78 0.23558807405560495 0.2970583003285195 1.4372002761557652 64 68 83 0.7
79 0.21678263539457765 0.3000677151980949 1.4403793252809423 62 62 57 0.47
80 0.18015534399146385 0.2712384148834051 1.2941424389595941 30 30 30 0.33
81 0.2934321947865496 0.29547433537520046 1.4000987762114347 135 120 88 0.33
82 0.21401582517059436 0.3045629409618168 1.4392599486269109 142 141 135 0.55
83 0.626574594379817 0.2763136828160262 1.2624373867817857 161 163 157 0.49
84 0.22463197470614146 0.31163620869057024 1.4336804592069174 127 130 129 0.52
85 0.2546976919139426 0.30865096930730707 1.415175667386431 99 70 29 0.53
86 0.5366673255755894 0.29381094483470155 1.2871861137738592 165 159 146 0.49
87 0.49397872772097556 0.30004262681559846 1.2995594340252066 98 87 66 0.72
88 0.526127087424427 0.30478264887073636 1.2904251503442874 49 46 43 0.25
89 0.5105394714677454 0.3073525361226566 1.2944132363481313 44 43 40 0.35
90 0.5953911618536598 0.3073148803510281 1.2636532585035467 178 158 118 0.85
91 0.0727473147563236 0.23129051026080463 0.9533468518730155 90 89 78 0.45
