# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 231
0 RADIAL 1067 697 815.2089254324189 533.5 348.5 -0.08634856930375723 0.1850469934727608
128 RADIAL 1025 760 1034.8739507797 512.5 380.0 -0.054390205349527015 0.19104445111888804
232 RADIAL 1057 691 1112.0100979030017 528.5 345.5 -0.042635024184094525 0.1708756139157039
73 RADIAL 1067 697 800.2180544340955 533.5 348.5 -0.07216261071988986 0.1159123895359333
17 RADIAL 1019 760 1144.892801464906 509.5 380.0 -0.03061876135723427 0.11683902757884236
53 RADIAL 1023 760 1095.1217918682685 511.5 380.0 -0.06469331855656413 0.2924269720297371
118 RADIAL 1032 760 1128.8150368811548 516.0 380.0 -0.11875177041500912 0.5370402559818173
126 RADIAL 1037 760 1149.958226820744 518.5 380.0 -0.0396221636759336 0.24369439330756154
63 RADIAL 1023 760 1030.3320977335638 511.5 380.0 -0.04463109694607295 0.10195267497883059
221 RADIAL 1029 686 1035.5617156184405 514.5 343.0 -0.07891787229804635 0.2616038245705752
61 RADIAL 1039 686 1194.3852244346645 519.5 343.0 0.022049587984937186 -0.12021561007349459
172 RADIAL 1020 760 996.6301424514506 510.0 380.0 0.04262864595974049 -0.22757368638650777
2 RADIAL 1024 575 1176.3641533320956 512.0 287.5 -0.007566176495259098 0.03014500406701779
227 RADIAL 1020 683 1046.129170283254 510.0 341.5 -0.0712377146806514 0.2339886166792409
142 RADIAL 689 1050 852.2005158338873 344.5 525.0 -0.04713357578992809 0.09851849315859869
25 RADIAL 1025 760 1140.6693246654327 512.5 380.0 -0.03260099447457081 0.0875169114054535
66 RADIAL 1021 760 1135.6100808657475 510.5 380.0 0.03289806582003006 -0.16173039677019002
14 RADIAL 1028 760 1029.7380551645201 514.0 380.0 -0.05401805427887849 0.13737691373306263
182 RADIAL 1007 756 966.5306659313493 503.5 378.0 0.09708515856975347 -0.2715660770312255
120 RADIAL 1022 760 1136.8149191722089 511.0 380.0 0.03002475570252226 -0.11939860560274362
123 RADIAL 1030 693 1577.8094739464898 515.0 346.5 -0.19358573913843524 1.314483534606863
3 RADIAL 687 1042 1099.4962958656824 343.5 521.0 -0.0045897390300588484 -0.025474713622496207
220 RADIAL 971 643 1334.7995951254593 485.5 321.5 -0.02620570006476476 0.22430079246594942
127 RADIAL 1014 758 1996.2654069989085 507.0 379.0 -0.008882060634460965 0.007015544104656755
82 RADIAL 1026 676 1578.9354645275657 513.0 338.0 -0.006716630447048022 -0.008323187417959066
69 RADIAL 1056 689 808.4981968592872 528.0 344.5 -0.012951744308959323 0.010725375913375544
97 RADIAL 1024 760 1086.0761229106974 512.0 380.0 -0.017991166588631046 0.08287964541058783
100 RADIAL 1028 760 701.2486417332512 514.0 380.0 -0.0274544657638107 0.03206345711920703
67 RADIAL 1022 760 1085.5276419965655 511.0 380.0 -0.11453184828597152 0.411251141147487
197 RADIAL 1029 760 1060.0887812653498 514.5 380.0 -0.12480926183348307 0.42901197905616895
105 RADIAL 1029 683 1386.3314669045824 514.5 341.5 -0.040047427630776976 0.1742612683691055
170 RADIAL 1030 760 1163.5075758730165 515.0 380.0 -0.028514021925300143 0.1014027942983885
111 RADIAL 1043 690 1198.7852754315147 521.5 345.0 -0.012952628031174926 0.08851268613507464
81 RADIAL 1026 760 711.0546174351324 513.0 380.0 -0.0003067744829102561 -0.003064630530249171
89 RADIAL 1032 760 819.3062348726891 516.0 380.0 -0.07465854117378606 0.15382832142978003
222 RADIAL 1023 760 1037.7222149169822 511.5 380.0 -0.03488167302179018 0.08581009275754814
190 RADIAL 1030 760 1045.3679386805 515.0 380.0 -0.04136869739453868 0.1608760486370258
12 RADIAL 1023 760 1234.300090165224 511.5 380.0 -0.060312687550793755 0.302706201451939
162 RADIAL 1033 760 1011.8151114086759 516.5 380.0 -0.000705288853338804 -0.0013232959784409332
164 RADIAL 1033 760 1083.9113440277 516.5 380.0 0.008768571038755694 -0.047094193388210116
204 RADIAL 1021 760 1164.1786890265244 510.5 380.0 0.016248215519340515 -0.1510811526840567
148 RADIAL 1015 760 1585.2002001649496 507.5 380.0 -0.03178207884478234 0.2690540150620235
157 RADIAL 1018 760 1559.125779977573 509.0 380.0 -0.03425322174112198 0.24710135589658752
71 RADIAL 1033 760 1082.624828210305 516.5 380.0 -0.0418205044364602 0.12037366891518517
77 RADIAL 1066 693 826.2540069122745 533.0 346.5 -0.04161844071130524 0.10491471637151761
60 RADIAL 1015 760 1805.2637164134353 507.5 380.0 -0.0003628826950870804 -0.03686106128272291
4 RADIAL 995 666 1716.006660180839 497.5 333.0 -0.029029456664771934 0.3909461670497805
103 RADIAL 1026 760 1128.6483590072714 513.0 380.0 0.005209612909900275 -0.044727679496835156
41 RADIAL 1022 679 1671.259442030925 511.0 339.5 0.0015476322099508217 -0.040151215710932234
179 RADIAL 1026 680 1378.3771003167724 513.0 340.0 -0.013432943402897189 0.05144011611644626
152 RADIAL 1021 677 1041.2525237078837 510.5 338.5 -0.03644285004143187 0.11476499667237104
160 RADIAL 680 1032 988.8474824979546 340.0 516.0 -0.07171470707577896 0.18311947320295044
11 RADIAL 1014 760 1883.7636499704695 507.0 380.0 0.009475942051501417 -0.25773959792678725
213 RADIAL 1024 628 1999.0757883125054 512.0 314.0 0.007587920214594872 -0.018670092411083042
165 RADIAL 1028 760 1035.2629475611898 514.0 380.0 -0.05730646523496546 0.17432182596213536
74 RADIAL 1057 580 1053.644769314086 528.5 290.0 -0.03412178153472462 0.0934795666258713
235 RADIAL 1028 760 1035.4635498480113 514.0 380.0 -0.05717328757375969 0.17616093171965128
141 RADIAL 1065 651 923.2857221910521 532.5 325.5 -0.03463000998192696 0.073576165244227
