# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 68
81 RADIAL 1026 760 703.1960198465414 513.0 380.0 -0.00866283708992849 -0.003701280925088796
1 RADIAL 1059 695 793.1180198225209 529.5 347.5 -0.08920407835871821 0.13694457590045156
25 RADIAL 1025 760 1120.27762338608 512.5 380.0 -0.010431605395773178 -0.0006498718819754237
71 RADIAL 1033 760 1072.8819908811583 516.5 380.0 -0.02226846122722654 0.041324016476973056
64 RADIAL 1058 689 779.838650326284 529.0 344.5 -0.03168967969890338 0.024627710868923822
65 RADIAL 1041 760 996.9924245635398 520.5 380.0 -0.010532677177139325 -0.05323639887364177
103 RADIAL 1026 760 1128.2948227293011 513.0 380.0 -0.007130986025821844 0.012338587354507253
232 RADIAL 1057 691 1103.002159461589 528.5 345.5 -0.05188478555737037 0.18436628941984345
73 RADIAL 1067 697 804.06873886342 533.5 348.5 -0.0657763408395123 0.10995607346208398
181 RADIAL 1010 760 1053.000518367454 505.0 380.0 0.0013003876585777595 -0.18752525134280953
88 RADIAL 1024 760 688.0364684748745 512.0 380.0 0.013777644932883831 -0.04614985597886503
76 RADIAL 1023 760 677.0984909653545 511.5 380.0 -0.011862240884549121 -0.023522677577656748
129 RADIAL 1032 684 727.9940698231297 516.0 342.0 -0.034445497778694566 0.007021180425401339
67 RADIAL 1022 760 1074.1115834427242 511.0 380.0 -0.11948951756690937 0.39870343454771046
163 RADIAL 1031 760 1048.0353918708581 515.5 380.0 -0.05354344506351714 0.16017954884737287
165 RADIAL 1028 760 1037.9602939204158 514.0 380.0 -0.048800413198840625 0.14729706028398643
105 RADIAL 1029 683 1388.5621651024633 514.5 341.5 -0.03390960650574385 0.06738188215672594
235 RADIAL 1028 760 1038.1897737622548 514.0 380.0 -0.048495767711562394 0.1476251170699026
14 RADIAL 1028 760 1028.1531965997226 514.0 380.0 -0.037267470126476604 0.09765791362895689
111 RADIAL 1043 690 1179.0171835446538 521.5 345.0 -0.03365062837916212 0.05427248774821614
54 RADIAL 1030 760 1094.288188384946 515.0 380.0 -0.02243792365640552 0.020619801832086327
182 RADIAL 1007 756 964.6032548801854 503.5 378.0 0.0983622334184649 -0.2753381812280065
89 RADIAL 1032 760 814.1134427895245 516.0 380.0 -0.06730379541956222 0.12884661494281202
190 RADIAL 1030 760 1022.8742701265431 515.0 380.0 -0.049099224558258804 0.08456464878928936
97 RADIAL 1024 760 1062.8144817399914 512.0 380.0 -0.013211998966526485 -0.009576663654475327
198 RADIAL 613 454 644.1216382396251 306.5 227.0 -0.018386413373708846 0.027751893283770555
222 RADIAL 1023 760 1029.4057589201957 511.5 380.0 -0.030583539769246198 0.06328676816911709
141 RADIAL 1065 651 928.0644221993808 532.5 325.5 -0.03570209149551725 0.09471216236399033
147 RADIAL 1027 760 1026.1301084224258 513.5 380.0 -0.05574688661023801 0.11522494375315585
152 RADIAL 1021 677 1028.0938936045877 510.5 338.5 -0.024998314678489623 0.062286652652261285
162 RADIAL 1033 760 1001.9770828163115 516.5 380.0 0.003970354776289284 -0.03732899344000536
35 RADIAL 986 660 1404.6077457313913 493.0 330.0 -0.11918214777008496 0.7327809159254083
184 RADIAL 1021 760 1264.1625111836713 510.5 380.0 -0.024804341129829457 0.07095632279990755
61 RADIAL 1039 686 1201.8549482708288 519.5 343.0 -0.0066815991928777015 0.0006532389669956986
62 RADIAL 1015 760 1418.6105959830377 507.5 380.0 -0.027975743172640597 0.11404319896866187
69 RADIAL 1056 689 806.7389294455727 528.0 344.5 -0.00979387277644293 0.004943469628440183
197 RADIAL 1029 760 1058.3888072540137 514.5 380.0 -0.1261525118367479 0.4595528261086894
208 RADIAL 1070 698 771.4577344084656 535.0 349.0 -0.047305118925580175 0.0433239946875981
227 RADIAL 1020 683 1029.882132535706 510.0 341.5 -0.06238187392139801 0.17927300260838933
138 RADIAL 1057 689 783.055566645232 528.5 344.5 -0.01813319484498178 0.013507357498040688
219 RADIAL 1024 760 1145.2130485502082 512.0 380.0 0.011562647993353607 -0.06173889667190902
217 RADIAL 975 563 978.4678591900608 487.5 281.5 -0.04321999973297569 -0.047678762236445286
199 RADIAL 612 454 645.8434308853566 306.0 227.0 -0.02313902359825176 0.031852503767027106
91 RADIAL 1024 760 1118.1281741227974 512.0 380.0 0.043817657341048186 -0.11812992916089302
87 RADIAL 1012 759 932.7300462611323 506.0 379.5 0.043633263828390244 -0.1387156078832985
100 RADIAL 1028 760 697.0590629368397 514.0 380.0 -0.02677850657675509 0.025614176044382927
134 RADIAL 1009 760 1076.9526867291922 504.5 380.0 0.019892845303593153 -0.10473473122922726
120 RADIAL 1022 760 1116.364642417364 511.0 380.0 0.029657496895370422 -0.14259385785374973
83 RADIAL 760 1030 1010.1300898618163 380.0 515.0 -0.0296710885316054 0.09103644091951864
75 RADIAL 760 1031 1112.1071401673764 380.0 515.5 -0.0010494370440641868 -0.0032735614748924404
6 RADIAL 691 1056 1103.4316538109395 345.5 528.0 -0.032769967549090936 0.11791320900443947
84 RADIAL 1027 760 801.1443761231016 513.5 380.0 -0.03814371739591889 0.050625920681034296
195 RADIAL 692 1060 961.3551970322599 346.0 530.0 -0.023751561589704775 0.021869968005869062
108 RADIAL 760 1031 1065.2841961790439 380.0 515.5 -0.047179031891320895 0.13925049449721216
192 RADIAL 698 1070 849.4737882919486 349.0 535.0 0.002211219560897765 -0.02976857169346386
70 RADIAL 1026 760 1055.856823504489 513.0 380.0 -0.041104805977045265 0.17428230842479236
22 RADIAL 1066 691 796.0266598508961 533.0 345.5 -0.04976872464147941 0.08908750318434656
66 RADIAL 1021 760 1114.9348789875653 510.5 380.0 0.020119490148018712 -0.14412055760204223
170 RADIAL 1030 760 1154.9388169812783 515.0 380.0 -0.0110704620908749 0.03013532370818008
74 RADIAL 1057 580 1063.282445001673 528.5 290.0 -0.03504851462233229 0.10217077699232995
82 RADIAL 1026 676 1576.4162367090478 513.0 338.0 -0.002746211765570258 -0.006759360792605718
123 RADIAL 1030 693 1530.9549124533348 515.0 346.5 -0.17218502964462912 1.5754499534576187
58 RADIAL 1013 760 1062.2858909816744 506.5 380.0 -0.04972497153255997 0.032015953276719876
48 RADIAL 818 606 825.9280181374955 409.0 303.0 -0.0211923393806519 0.0037164416046311416
153 RADIAL 1025 760 1095.5387073781048 512.5 380.0 -0.0016648266680372179 -0.003336731579476434
51 RADIAL 815 605 878.0178883912295 407.5 302.5 -0.01177550715016089 -0.00010058646048372261
104 RADIAL 1030 684 1236.0 515.0 342.0 0.0 0.0
207 RADIAL 1033 683 1239.6 516.5 341.5 0.0 0.0
