# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 40
0 RADIAL 518 350 360.8811340332031 259.0 175.0 0.0 0.0
1 RADIAL 518 350 358.6614074707031 259.0 175.0 0.0 0.0
2 RADIAL 518 350 358.2480773925781 259.0 175.0 0.0 0.0
3 RADIAL 518 350 359.3882293701172 259.0 175.0 0.0 0.0
4 RADIAL 518 350 361.63999938964844 259.0 175.0 0.0 0.0
5 RADIAL 518 350 358.41102600097656 259.0 175.0 0.0 0.0
6 RADIAL 518 350 358.40234375 259.0 175.0 0.0 0.0
7 RADIAL 518 350 357.5949249267578 259.0 175.0 0.0 0.0
8 RADIAL 518 350 355.8427429199219 259.0 175.0 0.0 0.0
9 RADIAL 518 350 355.3604736328125 259.0 175.0 0.0 0.0
10 RADIAL 518 350 354.8476104736328 259.0 175.0 0.0 0.0
11 RADIAL 518 350 354.3726501464844 259.0 175.0 0.0 0.0
12 RADIAL 518 350 354.657470703125 259.0 175.0 0.0 0.0
13 RADIAL 518 350 354.0247039794922 259.0 175.0 0.0 0.0
14 RADIAL 518 350 354.8202209472656 259.0 175.0 0.0 0.0
15 RADIAL 518 350 355.3183288574219 259.0 175.0 0.0 0.0
16 RADIAL 518 350 356.18463134765625 259.0 175.0 0.0 0.0
17 RADIAL 518 350 356.5449523925781 259.0 175.0 0.0 0.0
18 RADIAL 518 350 356.10540771484375 259.0 175.0 0.0 0.0
19 RADIAL 518 350 355.15257263183594 259.0 175.0 0.0 0.0
20 RADIAL 518 350 350.138671875 259.0 175.0 0.0 0.0
21 RADIAL 518 350 350.4856414794922 259.0 175.0 0.0 0.0
22 RADIAL 518 350 350.5282287597656 259.0 175.0 0.0 0.0
23 RADIAL 518 350 351.6932830810547 259.0 175.0 0.0 0.0
26 RADIAL 518 350 350.7734832763672 259.0 175.0 0.0 0.0
35 RADIAL 518 350 349.436279296875 259.0 175.0 0.0 0.0
36 RADIAL 518 350 354.3871612548828 259.0 175.0 0.0 0.0
37 RADIAL 518 350 352.239013671875 259.0 175.0 0.0 0.0
38 RADIAL 518 350 355.2509002685547 259.0 175.0 0.0 0.0
39 RADIAL 518 350 354.11927795410156 259.0 175.0 0.0 0.0
40 RADIAL 518 350 355.1387939453125 259.0 175.0 0.0 0.0
41 RADIAL 518 350 356.2205505371094 259.0 175.0 0.0 0.0
42 RADIAL 518 350 361.6282043457031 259.0 175.0 0.0 0.0
43 RADIAL 518 350 359.1772155761719 259.0 175.0 0.0 0.0
46 RADIAL 518 350 361.4558563232422 259.0 175.0 0.0 0.0
47 RADIAL 518 350 360.6172332763672 259.0 175.0 0.0 0.0
48 RADIAL 518 350 363.79974365234375 259.0 175.0 0.0 0.0
49 RADIAL 518 350 365.1331787109375 259.0 175.0 0.0 0.0
98 RADIAL 518 350 363.1183319091797 259.0 175.0 0.0 0.0
99 RADIAL 518 350 363.82139587402344 259.0 175.0 0.0 0.0
