# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 41
18 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
19 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
20 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
21 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
22 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
23 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
24 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
26 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
39 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
40 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
36 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
37 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
38 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
42 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
43 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
4 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
5 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
6 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
7 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
8 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
9 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
10 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
11 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
12 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
13 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
14 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
15 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
16 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
17 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
48 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
35 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
3 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
41 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
46 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
47 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
49 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
0 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
1 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
2 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
98 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
99 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
