# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 16
38 RADIAL 518 350 360.2342834472656 259.0 175.0 0.0 0.0
39 RADIAL 518 350 360.37034606933594 259.0 175.0 0.0 0.0
40 RADIAL 518 350 361.2027893066406 259.0 175.0 0.0 0.0
18 RADIAL 518 350 362.41094970703125 259.0 175.0 0.0 0.0
19 RADIAL 518 350 362.40704345703125 259.0 175.0 0.0 0.0
20 RADIAL 518 350 360.6785888671875 259.0 175.0 0.0 0.0
21 RADIAL 518 350 359.8852844238281 259.0 175.0 0.0 0.0
22 RADIAL 518 350 359.4082794189453 259.0 175.0 0.0 0.0
23 RADIAL 518 350 358.8239288330078 259.0 175.0 0.0 0.0
24 RADIAL 518 350 357.1356964111328 259.0 175.0 0.0 0.0
26 RADIAL 518 350 357.67803955078125 259.0 175.0 0.0 0.0
36 RADIAL 518 350 357.1852722167969 259.0 175.0 0.0 0.0
37 RADIAL 518 350 359.44715881347656 259.0 175.0 0.0 0.0
42 RADIAL 518 350 364.96070861816406 259.0 175.0 0.0 0.0
43 RADIAL 518 350 363.8163299560547 259.0 175.0 0.0 0.0
35 RADIAL 518 350 355.4244689941406 259.0 175.0 0.0 0.0
