# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 28
21 RADIAL 518 350 365.7552795410156 259.0 175.0 0.0 0.0
22 RADIAL 518 350 366.34637451171875 259.0 175.0 0.0 0.0
23 RADIAL 518 350 365.72894287109375 259.0 175.0 0.0 0.0
24 RADIAL 518 350 362.86358642578125 259.0 175.0 0.0 0.0
25 RADIAL 518 350 362.85560607910156 259.0 175.0 0.0 0.0
26 RADIAL 518 350 363.0056610107422 259.0 175.0 0.0 0.0
27 RADIAL 518 350 362.36891174316406 259.0 175.0 0.0 0.0
28 RADIAL 518 350 362.9231719970703 259.0 175.0 0.0 0.0
29 RADIAL 518 350 361.68711853027344 259.0 175.0 0.0 0.0
30 RADIAL 518 350 363.9888153076172 259.0 175.0 0.0 0.0
31 RADIAL 518 350 362.7089538574219 259.0 175.0 0.0 0.0
32 RADIAL 518 350 363.34129333496094 259.0 175.0 0.0 0.0
33 RADIAL 518 350 360.55796813964844 259.0 175.0 0.0 0.0
34 RADIAL 518 350 363.8182678222656 259.0 175.0 0.0 0.0
35 RADIAL 518 350 360.2729034423828 259.0 175.0 0.0 0.0
36 RADIAL 518 350 361.3577880859375 259.0 175.0 0.0 0.0
37 RADIAL 518 350 362.8052520751953 259.0 175.0 0.0 0.0
38 RADIAL 518 350 363.7180633544922 259.0 175.0 0.0 0.0
39 RADIAL 518 350 363.3490905761719 259.0 175.0 0.0 0.0
40 RADIAL 518 350 364.90431213378906 259.0 175.0 0.0 0.0
41 RADIAL 518 350 365.96258544921875 259.0 175.0 0.0 0.0
42 RADIAL 518 350 365.5524139404297 259.0 175.0 0.0 0.0
43 RADIAL 518 350 364.7047576904297 259.0 175.0 0.0 0.0
44 RADIAL 518 350 363.4618377685547 259.0 175.0 0.0 0.0
45 RADIAL 518 350 364.5684814453125 259.0 175.0 0.0 0.0
46 RADIAL 518 350 363.0194396972656 259.0 175.0 0.0 0.0
47 RADIAL 518 350 363.2344512939453 259.0 175.0 0.0 0.0
48 RADIAL 518 350 364.71214294433594 259.0 175.0 0.0 0.0
