# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 35
46 RADIAL 518 350 363.07298278808594 259.0 175.0 0.0 0.0
47 RADIAL 518 350 362.76194763183594 259.0 175.0 0.0 0.0
48 RADIAL 518 350 361.8672180175781 259.0 175.0 0.0 0.0
49 RADIAL 518 350 360.7815246582031 259.0 175.0 0.0 0.0
50 RADIAL 518 350 360.3520050048828 259.0 175.0 0.0 0.0
51 RADIAL 518 350 359.09791564941406 259.0 175.0 0.0 0.0
52 RADIAL 518 350 360.3554229736328 259.0 175.0 0.0 0.0
53 RADIAL 518 350 361.23394775390625 259.0 175.0 0.0 0.0
54 RADIAL 518 350 354.6815643310547 259.0 175.0 0.0 0.0
58 RADIAL 518 350 359.3309631347656 259.0 175.0 0.0 0.0
60 RADIAL 518 350 377.8435974121094 259.0 175.0 0.0 0.0
62 RADIAL 518 350 365.1059265136719 259.0 175.0 0.0 0.0
63 RADIAL 518 350 364.5847625732422 259.0 175.0 0.0 0.0
57 RADIAL 518 350 357.93467712402344 259.0 175.0 0.0 0.0
59 RADIAL 518 350 357.51707458496094 259.0 175.0 0.0 0.0
61 RADIAL 518 350 379.1900939941406 259.0 175.0 0.0 0.0
64 RADIAL 518 350 364.84588623046875 259.0 175.0 0.0 0.0
65 RADIAL 518 350 362.6463623046875 259.0 175.0 0.0 0.0
66 RADIAL 518 350 361.3778991699219 259.0 175.0 0.0 0.0
67 RADIAL 518 350 362.58497619628906 259.0 175.0 0.0 0.0
68 RADIAL 518 350 360.94480895996094 259.0 175.0 0.0 0.0
69 RADIAL 518 350 359.8943328857422 259.0 175.0 0.0 0.0
70 RADIAL 518 350 360.7772521972656 259.0 175.0 0.0 0.0
71 RADIAL 518 350 360.35145568847656 259.0 175.0 0.0 0.0
72 RADIAL 518 350 364.0146789550781 259.0 175.0 0.0 0.0
73 RADIAL 518 350 365.15171813964844 259.0 175.0 0.0 0.0
74 RADIAL 518 350 362.24696350097656 259.0 175.0 0.0 0.0
75 RADIAL 518 350 359.8884582519531 259.0 175.0 0.0 0.0
76 RADIAL 518 350 361.7601318359375 259.0 175.0 0.0 0.0
77 RADIAL 518 350 359.58534240722656 259.0 175.0 0.0 0.0
78 RADIAL 518 350 364.3164520263672 259.0 175.0 0.0 0.0
79 RADIAL 518 350 363.35675048828125 259.0 175.0 0.0 0.0
81 RADIAL 518 350 363.0410461425781 259.0 175.0 0.0 0.0
80 RADIAL 518 350 367.9294738769531 259.0 175.0 0.0 0.0
84 RADIAL 518 350 366.75274658203125 259.0 175.0 0.0 0.0
