# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 98
37 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
38 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
39 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
40 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
41 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
42 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
43 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
46 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
47 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
49 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
19 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
20 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
21 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
22 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
23 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
24 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
26 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
25 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
27 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
28 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
35 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
36 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
48 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
99 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
44 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
45 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
32 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
34 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
30 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
6 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
7 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
8 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
9 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
10 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
11 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
12 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
13 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
14 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
15 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
16 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
0 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
3 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
4 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
5 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
98 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
18 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
17 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
29 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
31 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
33 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
57 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
58 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
60 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
62 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
50 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
51 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
52 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
53 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
1 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
2 RADIAL 518 350 359.06761436225287 259.0 175.0 -0.03427428789721374 0.0029133207420726915
