# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 28
21 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
22 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
23 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
24 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
25 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
26 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
27 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
30 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
31 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
32 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
33 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
34 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
36 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
37 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
38 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
39 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
40 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
41 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
42 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
43 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
44 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
45 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
46 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
47 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
48 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
28 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
29 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
35 RADIAL 518 350 363.9772216375328 259.0 175.0 -0.022576548902450526 -0.008668322930626873
