# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1088, mean track length: 17.53
0 0.13850957472906172 -0.1384933005880431 0.7188093569320115 65 63 64 0.57
1 -0.13681992854223798 -0.009625243099304756 0.7499309417634863 123 112 102 0.94
2 0.07442825973511631 0.13778242626388199 0.7992433622405783 109 99 88 0.98
3 -0.1679051941118584 -0.11105015920035093 0.7813616319648085 63 72 76 1.22
4 -0.1719388252954491 -0.04302861632309267 0.7577179047924657 170 182 194 1.12
5 0.11587064598675219 0.06588847149818453 0.8404224294799766 51 35 29 0.96
6 -0.3362544259803381 -0.06130044001016475 0.6973834084871343 44 45 49 1.38
7 -0.3420111614941386 0.03344227067074997 0.6666707138152034 18 18 17 0.93
8 0.01573521545303809 0.14295172912568893 0.5736379643360691 76 72 71 1.18
9 0.4076445453510664 0.22300493994241527 0.7100563566526932 48 37 43 0.83
10 -0.3185707918346509 0.17223674610031725 0.46374874801023774 44 38 37 1.36
11 -0.31593047661959367 0.055345211717032404 0.6708967557684246 117 117 124 0.94
12 -0.1356723604702458 0.01690260896602574 0.7388793093850612 124 111 101 0.95
13 0.6367393523571954 -0.028936043888184916 1.142308316843849 148 146 151 1.14
14 0.4271047645188777 0.029234006958287408 0.8590512999963275 98 97 97 1.28
15 -0.3575714656435849 -0.051249074499281386 0.670271689026919 107 102 104 1.15
16 0.30780443041483535 -0.14524926165645094 0.8004842174157681 55 51 49 0.74
17 -0.08897242976748518 0.061339611146714615 0.734014616030679 126 110 97 0.93
18 0.4779588830703531 0.02188463932251833 1.0382149733337518 44 36 34 0.8
19 -0.3248726771027602 0.06419698514283495 0.6632681137672525 6 7 7 1.09
20 0.12784954036364768 -0.13948700800862737 0.7135917904950576 57 54 54 0.64
21 -0.2021102904860495 -0.13782802163825392 0.765805076541935 95 95 103 1.29
22 -0.40037282829493265 0.16497353921001243 0.593994961465025 97 78 72 1.39
23 0.0152920321746379 -0.14129202028822818 0.8565413242470576 10 6 5 1.23
24 0.4598636354143489 0.05838947307704715 0.8246755719874179 123 118 119 1.49
25 0.2819309378200911 0.2013794286595653 0.6766351613184395 59 56 60 1.08
26 0.426441942991133 0.06519184938381105 0.8338278651582152 95 90 89 0.84
27 -0.116328450337471 -0.02604634874289694 0.760159750623788 41 38 44 0.86
28 -0.2946801105474577 -0.1734564932527902 0.7248888413688191 111 100 93 0.82
29 0.2722075416567882 0.14630595573933672 0.9032834395896858 71 73 77 1.07
30 -0.1283332435201608 -0.028537362359784903 0.7582752743440108 99 96 93 0.67
31 -0.36653610935164416 0.1179617789869839 0.6178943900178827 126 113 108 0.84
32 0.040162613482280965 0.1973445203720168 0.5442668469781724 101 93 95 1.69
33 -0.0313506233041039 0.16969897056401417 0.5555146503065731 166 167 166 1.49
34 0.22749456086456823 0.1947199303295811 0.557739639300307 22 24 30 0.9
35 -0.18639182131399915 -0.11265311683396655 0.7744838229084852 48 51 55 1.36
36 -0.0421363044545541 -0.1166787385152975 0.6595485735775704 67 58 55 0.89
37 -0.42820027844904807 -0.20764735426623634 0.675158546822368 59 47 42 1.17
38 -0.011233551288115862 -0.22589094912040872 0.6695655220773673 58 62 48 0.72
39 0.14565916258911285 0.17840982533091465 0.618094209200577 134 136 138 1.0
40 -0.16617361200322556 -0.15782261842792702 0.7912011457526401 36 26 24 1.06
41 -0.13774469164269243 0.12814784117772116 0.4955487193691855 65 73 56 0.76
42 0.3189407559096943 -0.12198715214093507 0.8021445360185058 43 34 31 0.98
43 -0.27212278342281415 -0.008250719407780537 0.6872123908465744 124 111 101 1.03
44 0.11329371065325804 -0.01977489596550987 0.8673156567255286 36 30 25 0.86
45 -0.13089602661416813 0.11481568442965719 0.7234617581726552 101 96 101 0.98
46 -0.4252619420151905 0.08726983156374366 0.603381784715271 69 51 36 1.22
47 -0.16892902392487985 -0.15377863817950022 0.7928084436533238 50 53 53 1.1
48 0.3181686128554784 0.15065078210878483 0.9348331973484347 50 52 57 1.12
49 0.25947257336805035 0.052052359511525065 0.9166666795793638 72 61 54 0.72
50 0.4565904140225872 -0.16590406822714784 0.8866614931374721 109 124 136 0.87
51 -0.15412896128503584 0.040600598784154895 0.7276141872079812 16 11 8 0.97
52 0.21857122012986505 0.19079818224273226 0.5742185677976677 68 60 64 0.34
53 -0.3751440713752375 0.015929900374090842 0.6477416456574832 152 140 131 1.33
54 -0.31197545908445934 0.07732346677121169 0.663937791455508 126 143 155 0.86
55 -0.024906525604617223 -0.252879322053993 0.6528058772841543 154 177 191 0.88
56 -0.14591500025513823 0.07986230532829237 0.7378133975992308 93 111 117 0.89
57 0.06351409372387105 0.15931475427172867 0.5071293853731138 41 39 44 1.25
58 -0.34924765258707435 0.02770533299621205 0.6532073256738543 13 9 7 0.87
