# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1017, mean track length: 15.58
0 0.03612349413117668 0.1412737525708778 0.49495510067424864 105 96 94 0.46
1 0.0594746556336928 -0.038899267267996564 0.5224186835280096 111 102 101 0.65
2 0.17533668739841562 0.12019163981800136 0.4776442001358261 23 30 22 0.93
3 0.31921774831045807 0.12502304534565586 0.7272678691808664 91 89 85 0.88
4 0.004863069407976417 0.09664776046139345 0.5415497913957757 94 98 103 0.33
5 -0.14158337903149618 0.12002473888648967 0.7106336968709795 97 114 131 0.27
6 0.09949179995122469 -0.044270356340741446 0.5679499905812581 110 104 99 0.74
7 0.2890137883072419 0.06847310979323148 0.7160519405438263 42 38 40 0.57
8 -0.12640396027987108 0.1867221679883817 0.4297730560239543 48 47 49 0.32
9 -0.4920291200225558 -0.2216126366373899 0.8902929975411491 90 93 96 0.5
10 0.023618107612225304 0.1311581399176281 0.2774089997982614 47 39 40 0.92
11 0.11311006496526299 -0.06989810365340324 0.58870267263314 128 122 115 0.74
12 0.04912849002598896 -0.03188927533110342 0.5196538562030256 115 114 113 0.62
13 -0.030224477490924873 0.10903095465763096 0.5934899658592607 91 98 111 0.28
14 0.0517982486274162 0.06562317459703584 0.4954622920869693 109 104 101 0.57
15 0.3758362443203384 -0.11044475231395479 0.8595559532572683 122 120 118 0.65
16 0.04724110022888433 0.11017384922122678 0.49062322523543034 85 78 78 0.47
17 -0.668710626701052 -0.05044987743749349 1.0772044638976312 196 211 215 1.6
18 -0.40118398219534035 -0.018900086818125862 0.7667258676991456 118 126 136 0.35
19 0.0283462569146269 0.06856901179780761 0.5212853531041345 111 104 102 0.22
20 0.028720940342130456 0.12123860534710332 0.5096025974322873 119 119 119 0.28
21 0.19254453730349277 0.12376441176514741 0.3106853372035934 13 13 17 1.27
22 -0.27011098578751985 0.1098209597934305 0.8358766025581431 39 36 34 0.4
23 0.4567341867258485 -0.040015011118866906 0.9199969162771677 104 103 100 0.81
24 -0.14775499446086085 0.19460033044324598 0.4543750558943313 44 41 43 0.44
25 -0.16230058254808163 0.19254019173592427 0.5446703912634033 27 29 30 0.19
26 0.06344892092528731 -0.23086087881386527 0.5626943106684253 171 194 209 0.83
27 0.05140520891368641 -0.046593702874911096 0.5219961463836563 99 85 86 0.56
28 -0.0066211678816420795 -0.17282395161961517 0.611593591879594 81 76 81 0.3
29 0.156049738219396 0.14335609624616424 0.3489560653758306 34 30 38 1.3
30 0.14469264302467402 -0.11447447963641805 0.6324459887730173 139 133 127 0.68
31 0.14286239980316273 0.14819322181797845 0.364231152102145 69 60 67 1.69
32 0.29693956445123226 -0.17955874979538075 0.8043900850280339 135 129 122 0.8
33 0.04294158914609004 -0.020602696691219807 0.5250458501797437 45 47 50 0.59
34 0.4360290167717231 0.06801444886677799 0.8692678807073019 94 82 79 0.55
35 -0.6964326738535509 0.08485783731020234 1.0943025263966646 124 129 137 1.36
36 -0.45400437055326726 -0.04586935687845888 0.8260233460754367 129 129 130 0.4
37 0.1749770835890247 0.14020272015946916 0.3392036903562849 30 27 34 1.54
38 0.04244187848696028 0.10077053908666889 0.49726680180129745 116 114 112 0.36
39 -0.05598886626988988 0.14875578013251683 0.42754521924995403 24 26 26 0.71
40 -0.003251239791851528 -0.12965078213144104 0.600179256245999 132 143 154 0.39
41 0.02306591090086764 0.16195192691818028 0.48912345061811346 13 12 14 0.16
42 0.12798299774944963 0.03198553037344924 0.5684793419287928 130 130 130 0.9
43 0.08515577511973867 -0.22136556659881554 0.5885655219922185 70 70 77 0.97
44 0.00903961143068348 -0.06986923128063201 0.570630009835586 136 135 136 0.18
45 0.13703443587262792 -0.06323068680657579 0.6101115882878255 135 130 126 0.72
46 0.07083667815995741 0.09718997676602317 0.4920438973867747 102 90 87 0.43
47 -0.15367478442978327 0.20451301462845614 0.4387946847293005 42 52 29 0.51
48 0.3397407036810009 -0.16438532276077875 0.8397350612614468 138 133 129 0.57
49 -0.13884933897474672 -0.013581246442552259 0.7343518376032735 22 25 27 0.21
50 0.34248341130113197 -0.332530780777378 0.8748541054119997 21 19 30 1.38
51 -0.028635813734253304 0.15674208188277702 0.579092565509413 101 100 105 0.37
52 -0.18534209306143903 0.22538508907746446 0.7122240935277957 55 48 48 0.65
53 0.05623580720280855 -0.19634593795386837 0.5713809337914618 136 125 116 0.88
54 0.5987896902110484 0.1140253603618637 1.0194410552846107 94 85 79 1.51
55 0.041707440311390606 0.08722475621310427 0.501603714168827 119 117 113 0.4
56 0.6323072373686119 -0.11152245159613451 1.102706610540241 149 162 168 0.73
57 0.04195220583114122 -0.12920476383666207 0.5490235247350065 138 138 136 0.73
58 0.006332200662220589 -0.10859456936808498 0.5822549279564706 132 132 135 0.17
59 -0.6983010902806303 0.05463228884509631 1.1036825088045292 131 135 136 1.77
60 -0.22325158626738528 0.1669685138923761 0.7730142660284153 72 75 82 0.18
61 -0.4357838623375132 -0.055897459837511126 0.8048584735440293 55 56 60 0.3
62 -0.6129433680448079 0.01981781377083687 1.024692830540797 80 63 57 1.61
63 0.3325879713482144 -0.23057028264156604 0.8547002047856153 141 145 145 1.15
64 0.007115917558129283 -0.17726953923606634 0.5988330965879803 108 112 113 0.27
65 -0.03079484792090174 -0.09777563204427386 0.6366717850035827 211 231 238 0.37
66 0.45824903294399383 0.28804654517683337 0.8086669711615512 84 98 112 0.96
67 0.7517655419537543 -0.018116092184624826 1.1851008802423788 56 69 38 1.39
68 0.06375233104912732 -0.024190344638918303 0.5202977298017452 126 121 115 0.66
