# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 21
79 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
80 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
81 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
82 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
83 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
84 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
85 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
96 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
88 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
89 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
90 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
91 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
92 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
93 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
94 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
95 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
86 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
87 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
97 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
99 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
98 RADIAL 518 350 360.64179428041336 259.0 175.0 -0.036673662699865946 -0.004573328905341456
