# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 52
74 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
75 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
76 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
77 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
78 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
79 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
80 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
81 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
84 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
85 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
86 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
87 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
88 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
89 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
90 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
91 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
92 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
93 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
94 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
95 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
96 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
67 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
68 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
70 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
72 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
73 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
82 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
83 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
66 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
69 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
71 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
97 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
99 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
46 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
47 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
48 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
49 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
50 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
51 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
52 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
53 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
54 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
57 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
58 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
60 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
62 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
63 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
64 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
65 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
59 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
61 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
98 RADIAL 518 350 358.268299840149 259.0 175.0 -0.03963790046813771 0.008527513886231457
