# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 2291, mean track length: 12.29
0 0.6595557247118713 -0.12724276831405457 1.0467390949338722 183 193 222 1.02
1 0.26660702931506597 -0.038603771199170744 0.450531879500035 79 95 33 1.0
2 -0.16563484976374693 0.04308143117586209 0.5496261991131708 35 26 29 0.71
3 0.22716070896739937 0.038063478821519656 0.3462952932457378 36 47 15 0.32
4 0.4929139718463118 -0.21581134291761306 0.9574395346349284 30 24 27 0.67
5 0.11843885587667684 -0.011486333901273042 0.6932943235010058 59 55 37 0.58
6 -0.029295008234729757 -0.14475940294093767 0.6607486017679185 123 139 166 0.4
7 0.27429924080124957 -0.23103700820546524 0.8303929464019146 46 35 37 0.53
8 0.21075519114411892 -0.08866122709303213 0.44101293649325723 107 138 76 1.37
9 -0.048264703125975965 -0.14609045186610925 0.6492587514767679 148 166 185 0.36
10 -0.23096062491402247 -0.03780470892094157 0.5126014361877295 130 124 126 0.99
11 -0.0645559364287587 -0.11574115484329611 0.6197304278361278 110 116 133 0.57
12 0.14651596816709217 0.10751939081933852 0.4333455297559153 80 87 43 0.47
13 0.1426496046097162 0.06404918718895772 0.3993569660497487 115 115 95 0.43
14 0.27077593992219917 0.15118822332798385 0.4185599608016637 176 192 174 0.47
15 0.25039639751295084 0.1596564405727129 0.4385929140653644 108 95 95 0.41
16 0.008120164002459268 0.1268333662310028 0.4038863313094684 73 87 61 0.38
17 0.1244655132179847 -0.09878084839623742 0.46614889474252363 108 132 37 0.6
18 -0.197152027312449 -0.04736044929833944 0.5292670337004648 108 95 94 1.3
19 0.1301184838566713 0.1121856129766119 0.4493866721355145 53 64 27 0.31
20 -0.21077534210355675 0.05251430420899932 0.5281896241082487 100 110 122 1.0
21 0.673771652934192 -0.0576122016997371 1.02958814958896 72 63 60 0.81
22 0.7691497044047901 -0.20627978766025307 1.1176845962174096 69 47 48 0.78
23 0.5022404104947225 -0.25126441769290214 0.9572730520544248 92 91 94 0.59
24 0.31021357419971 0.1581367322357414 0.4343466561560671 151 161 163 0.29
25 0.14229209262294465 -0.18809732153681144 0.7600498398676133 179 195 215 1.09
26 0.26225824342934495 -0.031928908923115694 0.4510328065497745 125 139 40 1.05
27 0.7803414740958386 -0.2024464024610935 1.1265863266713319 42 32 33 0.82
28 -0.00774917880353177 -0.19641281194032775 0.6760933368419603 182 201 224 0.57
29 0.12536624064636398 -0.07131361935383854 0.43581669914565724 114 136 122 0.81
30 -0.0656741684502638 -0.14402175131740508 0.623330274398871 133 135 153 0.82
31 0.21134696104071152 0.09490419010833955 0.41442692202542103 117 144 39 0.69
32 0.131869393646865 0.05436002228438939 0.4013829234254874 153 154 151 0.63
33 0.10342611477931991 0.022558579817465108 0.435477864505654 72 97 38 0.76
34 -0.2435081176208669 -0.027606880971299326 0.5061355799398615 105 99 100 1.1
35 0.1746445762045517 0.015044404684678285 0.35289309193040896 173 170 173 0.71
36 -0.13545090149323985 -0.02038019340465596 0.5589422931330534 135 133 131 0.94
37 0.17027648354746863 -0.2773324212064291 0.7725138073250413 95 107 106 0.62
38 0.01088263863907699 -0.09779916203235359 0.6499523952598244 93 82 73 0.63
39 -0.23249912415851304 -0.0015670256018281696 0.5230439053197744 87 92 96 0.24
40 0.24359046253292874 0.11240707731469407 0.3964503099552672 17 25 22 0.19
41 0.17749536507638014 0.12586638444557902 0.4438213999099071 37 31 27 1.36
42 0.009301931600601387 0.10943405456742479 0.46957597441303917 26 43 7 0.95
43 -0.08104644793160577 0.038870186102757574 0.576931272360797 83 99 95 1.14
44 0.0834996271195996 -0.025189400389943977 0.6765941560270246 102 102 110 0.41
45 0.21564462987550123 0.019698843731466822 0.3332249454984101 215 213 210 1.02
46 0.005441168489253873 -0.09780309520288873 0.6479902010887192 76 57 43 0.69
47 -0.01084347404081447 0.024913081672552025 0.651901863512301 109 118 119 0.33
48 -0.03193886394646829 -0.25261717134974093 0.6693394349537858 33 24 26 0.46
49 -0.06033594535841093 -0.022345346827657923 0.5983044955965742 59 57 62 0.71
50 0.10504253675721323 -0.2097718461110049 0.7284398102144163 122 141 158 0.87
51 0.3043271847543023 -0.25501280854484504 0.8506148282460971 149 137 137 0.54
52 -0.037821419728293705 -0.010662103170639816 0.6311087016540794 171 182 178 0.4
53 0.6012735701302238 -0.2121592621692958 1.0195892593218001 58 39 43 0.96
54 -0.13524075963322937 -0.1295929461732669 0.587982844200123 141 140 139 0.93
55 0.31127766262213113 -0.2670365613277595 0.8570291937888516 96 86 88 0.69
56 0.20712839248365286 -0.031425438743813656 0.4550223412186188 137 133 115 0.89
57 -0.02023967924169842 0.021983188373982932 0.630693962322753 105 118 126 0.7
58 0.14062283984485732 -0.013738700640401221 0.7147283323249203 144 161 92 0.9
59 -0.022286922250982364 -0.005546310034355768 0.6362277055412812 87 91 88 0.79
60 0.6631022911306033 -0.12849386459606094 1.0517645226068353 115 99 118 0.65
61 0.6463132712908041 -0.11127637624215382 1.0442919317560095 44 56 67 0.79
62 0.11331278875708864 0.12557172622490337 0.6729665969026069 120 121 122 1.11
63 0.3119992095971859 0.15899865565882174 0.42824243763778047 31 28 25 0.38
64 -0.2305849157353016 0.00274010980576458 0.5114425248926339 70 61 63 0.81
65 -0.16169464790134955 -0.026961398752540597 0.5435671038893641 26 18 17 0.88
66 -0.010700957602607912 0.023068860605678407 0.6516112647345664 212 219 226 0.27
67 0.3270585236728717 -0.25439216434548134 0.8634375609079947 136 107 105 0.52
68 -0.16475793069748834 -0.07442349006876635 0.5544383801141846 125 125 127 0.87
69 -0.22955940633442362 0.029667862115228826 0.5050400839771816 35 32 39 1.37
70 -0.2412200394330389 -0.031022759950582127 0.5128741063661181 84 77 79 0.93
71 -0.028726071898315685 -0.12232822547512841 0.6548799877118197 150 175 208 0.55
72 0.22073485378636445 0.03238453002168368 0.34250184572070963 133 160 51 0.58
73 -0.23281427880789637 -0.027136815530636977 0.5293659318976552 56 50 41 0.56
74 -0.17062835883321112 -0.022625070858842942 0.5480895739276341 55 50 45 1.01
75 0.26061110380591057 0.038753532650138006 0.3558085403989135 177 175 60 0.68
76 -0.0017418864882991455 0.01377338952840307 0.6445106192479505 88 91 95 0.9
77 -0.06871276499420195 -0.04454722636403279 0.5997255070433887 142 130 133 0.64
78 -0.09384991443381277 0.03424398431634697 0.519374638076465 49 71 16 0.69
79 -0.1358025622371789 -0.12653827184899788 0.5860375862810646 50 53 67 0.76
80 0.221520621981177 0.04582715472511085 0.37542684692349554 97 100 84 0.48
81 0.256310418861591 0.10864699619236962 0.39602299026259785 71 71 59 0.88
82 0.11966675398453401 0.17000244259122904 0.41953385544433697 57 81 59 0.6
83 0.1556924996037378 0.10080687856219901 0.4288397552280153 53 65 26 0.69
84 0.27378562920276023 0.1529772199045086 0.39498097919363145 119 133 77 0.42
85 0.22948409702813333 0.11958022897089382 0.40855871078808176 77 92 28 0.59
86 -0.03711868362171388 -0.02067680333869595 0.6180534870835214 25 20 16 0.6
87 0.00966480580603261 0.05833047984941552 0.626644189334249 65 64 58 1.01
88 -0.1930674738196522 -0.02351151298720944 0.5456072542381922 72 66 58 0.56
89 -0.05975221045683555 0.03342720383784592 0.5918772723066862 128 128 130 0.7
90 -0.013837957702564114 -0.0019295852507382415 0.639191409468296 112 121 115 0.73
91 0.5561514593368415 -0.2508928603031602 0.9870472164885608 105 98 95 0.69
92 0.21286417644427819 0.17052046256880615 0.47044789627787104 119 97 96 0.14
93 0.22158953422563776 -0.0383236747116176 0.4405343443208991 115 145 47 1.63
94 0.1374963763501302 -0.11600933672795924 0.7450592654836277 70 72 71 0.84
95 -0.2105953371928635 -0.05322388440461354 0.5313495070348023 135 124 125 1.13
96 -0.0012905682418753108 0.04045186480717392 0.4593834820172485 79 97 71 0.32
97 0.6568578473249969 -0.07419276128718719 1.036647665121626 157 159 186 0.78
98 -0.23632453445860102 0.040709150528396555 0.48354097392330136 68 61 62 1.08
99 -0.047015060243222176 -0.17125470089472153 0.6518818348255627 87 92 92 0.69
100 0.19840302910388935 0.024490749019780315 0.34135924681587615 207 205 69 0.42
101 0.236411350254875 -0.2497254518760629 0.8101659335295497 171 165 166 0.59
102 0.33398521268227793 -0.23297792416097687 0.8631513195064309 93 84 88 0.36
103 -0.05910105993732955 -0.12981936245451633 0.6366942886593995 108 160 198 0.57
104 0.29121352557493985 0.15529097265576444 0.39892085589695764 172 177 177 0.89
105 0.11363007405575898 0.07109483059854714 0.6749891653169084 119 121 126 0.67
106 0.136749490637163 0.061471442840216176 0.39228222370170873 178 181 191 0.64
107 -0.17380116391158604 -0.10357165398006674 0.5621176832401714 128 118 115 1.08
108 0.14518731824109787 -0.05661355650533588 0.438578483838558 96 122 82 0.49
109 0.16849455814168507 -0.19922854508358326 0.7698735758575878 83 72 88 0.8
110 0.22421928981364667 0.1140356398300939 0.39561820166343004 162 179 42 1.24
111 0.09362358257074324 0.11940005153459204 0.5403780325492779 54 70 30 0.9
112 -0.012455728242610119 -0.1672799660520099 0.6655545609782266 59 61 61 0.47
113 0.13413683908052124 -0.10272361474272101 0.46243673301187105 121 144 59 0.65
114 0.18055066282939128 -0.27684865382051366 0.7788333586508857 110 124 131 0.64
115 0.2767451203494081 0.15135541634301775 0.3897026848787556 32 44 22 0.59
116 0.6615745620828976 -0.21100429011973743 1.0559519403183752 43 33 33 0.5
117 0.1691895062500708 -0.24041951036413406 0.7709895417765366 39 33 34 0.68
118 0.0902025704010523 -0.04317085943380203 0.49081701710302206 107 128 35 0.47
119 0.17130338150768779 0.14411532521832293 0.47385198969361686 17 19 11 0.91
120 0.6016473801680267 -0.06064142260262695 0.9887321815017627 136 115 115 0.89
121 0.7135272876675891 -0.17910788466446553 1.0766666612424753 185 180 183 0.8
122 0.6468860384760962 -0.20279840680053127 1.0535610098836194 75 84 88 0.44
123 -0.013436552926868774 -0.14621338040114973 0.667685893139474 167 210 242 0.62
124 -0.05826543863622342 -0.021837887567065707 0.6017862118744994 25 20 17 0.25
125 0.1383697145224933 -0.23285888375756808 0.7587958927509553 183 119 82 0.79
126 -0.005017433896456657 0.03713895800091036 0.45875535663772893 92 121 81 0.45
127 0.10555080004695301 -0.13388837496998593 0.7141514172591709 186 186 190 1.06
128 0.23829187925726794 0.1571623512121937 0.40457532636998567 112 90 88 0.61
129 0.08783126809935292 -0.1885722782107859 0.7164192783078686 150 150 151 1.01
130 0.4998132322790026 -0.22340897825062134 0.9594297358092291 123 105 114 0.76
131 0.21073648093317948 0.1467959032475519 0.4603659972177711 111 129 54 0.85
132 0.13083235349130107 -0.1368951478605448 0.7456351809249594 101 117 130 1.17
133 0.23952651357250876 -0.2733361253502417 0.8125190660551914 100 113 119 0.75
134 0.23858519576314155 -0.23186711253017317 0.8104995901745194 149 126 128 0.64
135 0.5690872769753192 -0.26994486818831176 0.9813769019851439 42 40 45 0.52
136 0.21361149010205474 0.14817375660958254 0.4595149150320619 147 159 43 0.92
137 -0.17113867873356567 0.001971660306599425 0.5512022724189426 97 100 103 0.55
138 0.10383645002518953 0.03435645676961519 0.4508854147558459 26 41 10 0.71
139 0.20445781586549858 0.04148456721525702 0.38912839379193215 141 155 132 0.76
140 0.1898489581266336 0.0039418176031699855 0.34322042464660385 149 129 103 0.39
141 -0.17384167637639106 -0.1004559546724306 0.562312284739786 98 72 68 1.12
142 -0.2333114822237566 0.022011836494434826 0.5152614102767874 109 115 124 1.73
143 -0.004669576589108899 0.017205830374301102 0.6435803776837393 155 164 171 0.74
144 0.780222552401465 0.03052442612504155 1.0723589010431904 29 26 26 0.46
145 0.29615939256409857 -0.14979571117529242 0.8391054605828869 71 78 84 0.27
146 0.29060541707157855 0.05762081262686697 0.8048110042654841 137 157 174 0.24
147 0.6570856685786126 0.04855683484722475 0.7001310903201564 106 111 94 0.78
148 0.4744240177663335 -0.09031212599112268 0.933188577214643 168 186 207 0.34
149 0.6200174844824732 0.06891133896360432 0.7267913489447138 131 133 134 0.61
150 0.741341267658774 -0.05895866214669545 1.07154577126147 168 167 168 0.26
151 0.590878322286567 -0.2385987525919756 1.0131962067779885 118 107 106 0.27
152 0.4171896993535439 0.13378791628154513 0.6026381459826256 34 36 20 1.12
153 0.6545970966607422 -0.1666560018418224 1.0558907951459575 116 155 183 0.33
154 0.1818494778517074 0.03248916566531419 0.7211356822267785 109 108 106 0.63
155 0.16263269360668914 -0.03932505608077688 0.7420525248513289 148 147 147 0.84
156 0.2752426931387929 0.09207133295692518 0.7826860624710577 138 159 182 0.49
157 0.3583796908867419 0.02220950297338388 0.8269140553528717 91 71 69 0.44
158 0.24172681740401675 0.09679654632034937 0.7470453371655977 122 118 112 0.73
159 0.7075372852445009 0.16071699348837296 0.6862949184246491 62 75 59 1.07
160 0.23402781761639757 -0.14484263320861532 0.7928138241664386 49 48 58 0.49
161 0.48115534780772706 -0.09317626517117514 0.9358098290726443 62 65 60 0.67
162 0.477159777039372 0.04034728405122474 0.9105699633174764 136 146 156 0.32
163 0.8013982360785944 -0.07021088148226816 1.126240713985452 66 88 106 0.34
164 0.6328924605529902 0.06247557820147675 0.7255767160906301 116 117 110 0.54
165 0.14878633556445386 -0.2804969359919044 0.7658854382238101 27 24 25 0.67
166 0.2609832113266141 0.03864594527762569 0.7694019638105271 122 118 116 0.54
167 0.6812371319231579 0.14272049145647261 0.6983590849326836 70 88 70 1.03
168 0.6031856877821246 -0.15237621039977434 1.007398115949222 148 163 180 0.28
169 0.28219042565377167 -0.2572627710155226 0.8367904551883271 95 77 76 0.6
170 0.5753773046573163 0.0501167531059656 0.6819035217124926 115 128 100 0.6
171 0.16655787306696276 -0.1031203353754478 0.7474365425665281 139 153 174 1.01
172 0.42686319946348983 -0.11333999664575324 0.8946820613637488 122 119 126 0.51
173 0.7044712086781282 0.10057669014795219 0.7754992657995282 23 28 26 0.94
174 0.820728479897235 -0.1424505094120394 1.1556385265414093 56 72 84 0.26
175 0.8491905311902496 -0.1252316665358396 1.1511421907472468 94 89 93 0.69
176 0.6683121593683646 -0.09235490394798322 1.0419004521725246 50 42 56 0.44
177 0.5764867728673286 0.04743162778396364 0.6859713480006836 19 25 12 0.81
178 0.7734990493861694 -0.17545706166717692 1.1208233483351753 72 93 118 0.62
179 0.572797237785685 -0.022291047249954423 0.7079758541191791 105 122 98 1.15
180 0.46549986268767407 -0.1381199216070209 0.9357879300273961 60 63 64 0.47
181 0.688321081729719 0.054263582782691416 0.7432142034535425 116 126 112 0.49
182 0.3843659367194322 -0.15679285019308167 0.8786052680413141 158 160 163 0.37
183 0.7766939570845282 -0.13171555700232215 1.1179333010363453 52 56 63 0.41
184 0.6556755588950025 -0.10231085729522195 1.0454022734533295 126 143 161 0.33
185 0.5902422980172037 -0.04246525435075905 0.6834671520726888 50 52 37 1.22
186 0.5010650905189066 -0.0830300592749524 0.9419279183486575 97 101 119 0.43
187 0.5303015658936191 -0.0070620826452612645 0.7327317206587115 132 133 131 0.67
188 0.380071448133007 -0.11948718540367025 0.8692229612928538 172 174 175 0.45
189 0.19162718249704308 -0.25612847048338694 0.7838624438313915 110 98 92 0.74
190 0.28367958056368564 0.0936697019444095 0.7928820733652652 101 118 124 0.5
191 0.4644848343677513 -0.1135616137263776 0.9313302897274913 121 139 155 0.56
192 0.23877946542179376 -0.0663719568841066 0.7756147266456674 111 86 82 0.61
193 0.26276985889798055 -0.2579586880110309 0.824810651814925 90 72 71 0.4
194 0.26227579102492266 -0.10832366646325593 0.797874001293729 149 154 159 0.56
195 0.4228422502768473 -0.2611032337474259 0.9182342608966353 52 54 61 0.5
196 0.7492982064150371 -0.2009655042791014 1.1042784626243534 138 138 139 0.52
197 0.3413368548771908 -0.17710445858299664 0.8582582055165398 160 161 163 0.23
198 0.8850006596736634 0.03277076555786685 1.1332480554639284 60 69 62 0.75
199 0.6649095704704125 -0.1526737839545727 1.0515211428309788 56 48 58 0.6
200 0.7727801400991018 0.11201142587350899 0.7735532781308926 9 11 10 1.12
201 0.5066099253970325 0.15056362483411806 0.901769744799587 54 59 59 0.91
202 0.1251368490758141 -0.16664906170612626 0.746573753154579 45 52 55 0.77
203 0.6180163677254559 0.06776084309338175 0.7270604984816508 26 23 17 0.85
204 0.6538566297958837 -0.09871553359041163 1.0442732324427084 53 68 76 0.3
205 0.20804824182661297 -0.16862026102680444 0.7804643449830208 108 95 99 0.42
206 0.7838075189361293 -0.19452385517153434 1.1331551552790855 104 101 98 0.52
207 0.18783136753761392 -0.12054688564814878 0.7588983369736292 57 53 64 0.86
208 0.8036079951290197 0.002010478186538343 1.0940847738871873 143 138 137 0.42
209 0.8864651814573151 -0.00022117663086733378 1.145883895073654 72 65 74 0.84
210 0.4556966247376705 -0.0906983258172184 0.922894794716276 167 186 209 0.39
211 0.15380307064075882 0.09914863213807641 0.7098562435975262 80 90 94 0.6
212 0.6688196111218466 0.1158065773745584 0.7198238554424001 28 29 23 0.91
213 0.3706233773530414 0.01345872461187854 0.8377152226281019 141 139 136 0.39
214 0.5067720907520574 -0.24319232396954732 0.9649663228655598 105 87 93 0.28
215 0.3407555277549928 -0.15018777580059814 0.8534105522104803 90 87 100 0.39
216 0.3331386547966848 -0.14513982886453947 0.8495583954258582 63 57 55 0.71
217 0.5110590618195952 0.08377689993843687 0.8862651726643814 122 133 150 0.86
218 0.4831271790471954 -0.15919809550749517 0.9512980683499962 112 143 160 0.32
219 0.3169448370334255 -0.14924825453061133 0.8486274598496266 105 136 153 0.34
220 0.4328104861896605 -0.1766816185099251 0.9139419524342745 71 67 85 0.31
221 0.7817328764164564 -0.06503494613436187 1.1052804064260113 139 153 178 0.3
222 0.2695240368451983 -0.1429231139817664 0.820978811156824 181 199 221 0.3
223 0.3269681880214786 -0.1018240353895594 0.8455508514815561 93 105 119 0.36
224 0.13530050926475115 -0.1607462983697271 0.749522585603362 117 137 151 0.89
225 0.4504817422452953 -0.11017883212239037 0.9223320319405929 109 158 186 0.65
226 0.2726927217648751 0.03660074634768201 0.7797915553992045 50 40 43 0.4
227 0.6289244684829514 -0.09331326203044443 1.0289382548752133 131 155 75 0.34
228 0.640664236653323 -0.22930671441115835 1.0445607753394226 127 105 108 0.46
229 0.6187330854111684 -0.18041262338151232 1.0363660070793483 163 179 196 0.3
230 0.596512054181331 -0.039124544477633895 0.6843579896549838 97 113 94 1.29
231 0.8182721240298706 -0.07199816131908975 1.1394462166352493 21 20 24 0.52
232 0.28524031186166215 -0.20145610887254542 0.8449779116005303 166 188 211 0.27
233 0.1411689431337475 -0.11790449137570035 0.7470317387879619 76 98 102 1.0
234 0.7757536663453198 -0.16035351907538825 1.1190900268570372 42 51 57 0.52
235 0.1938769654582123 0.012886956230858964 0.732051865005222 128 123 116 0.31
236 0.49547578351022087 -0.08759002827693187 0.9434251739892522 190 208 229 0.38
237 0.45375236451142187 -0.11379805297096122 0.9238441435316944 150 162 177 0.7
238 0.34227756406669446 0.10435857551327596 0.8116961162571404 31 22 27 0.15
239 0.27461818711586466 0.001616072953806625 0.7901034508964339 20 17 14 0.27
240 0.4593011147186197 -0.1839400076044802 0.9416003594195093 173 213 245 0.23
241 0.6577016403655878 -0.1537740750788775 1.0532578157550585 150 169 188 0.29
242 0.26546064535753106 0.1273458685988796 0.751004934788604 68 80 62 0.7
243 0.276931236009571 0.0818944571018193 0.7874053712889801 115 122 138 0.44
244 0.6720102384375682 -0.010526579334570947 0.7072328690502007 136 148 115 1.1
245 0.7858078692287849 -0.22447702663897104 1.1307293062593475 117 101 100 0.44
246 0.12297645994956283 -0.13462386771952975 0.7387958249961672 77 86 91 1.09
247 0.31560992114224845 -0.021389209823779416 0.8124559478265007 135 132 133 0.25
248 0.7888933870072607 0.07377039103882528 0.8130313740888433 116 116 55 0.69
249 0.4717136756192515 -0.24590978054875737 0.9446811918364632 93 85 87 0.33
250 0.9085862632019281 -0.006914872978589124 1.1635883581877435 149 147 150 0.47
251 0.27830330069505127 -0.12667266655639825 0.8293938880799627 120 135 156 0.41
252 0.6326835232657172 0.13727697901069902 0.7210586491241134 50 50 43 1.05
253 0.17854426371252632 -0.08762236011532631 0.7454380042535281 73 62 62 0.36
254 0.3048812364545669 -0.22286865195835612 0.8567576879174986 97 108 125 0.3
255 0.7294740585515235 0.11944444430182552 0.7557265382199604 9 10 10 0.9
256 0.2860549090175148 -0.1904515622616047 0.8440231666434372 155 184 212 0.29
257 0.8294495177681814 -0.20290132983406514 1.1565343082588047 95 82 86 0.29
258 0.6995851951455867 -0.2156837280550606 1.0746728096093208 147 141 141 0.36
259 0.23559196152768358 0.09195749476937844 0.7444945888039419 139 140 135 0.96
260 0.2905032296399072 0.015396092149073632 0.8100197616570197 95 107 115 0.18
261 0.6035043453865007 -0.12723583124324855 1.0047290804606446 69 65 73 0.53
262 0.854445687964343 -0.053978104068144565 1.141447040984961 119 118 124 0.46
263 0.4899753582226149 -0.09706914278533962 0.9435457791694504 78 109 124 0.4
264 0.7643371244615023 -0.007554377062306691 1.073809826832908 95 92 101 0.33
265 0.27751539180933055 0.09412980545727553 0.7863570603700584 80 98 103 0.48
266 0.43818989530551844 0.15713880945819464 0.6102602361400317 43 53 37 0.36
267 0.46152692686823865 0.09287826312494095 0.8870279130754848 100 112 125 0.57
268 0.25927072539754836 0.003585266301067103 0.7730101471979993 129 130 132 0.43
269 0.32942458754339626 -0.058048494636547515 0.8267345682404111 147 136 133 0.33
270 0.4675204558789905 -0.10146088423492598 0.9325141798787477 161 211 238 0.37
271 0.6820810125761998 -0.18249900291525192 1.0607465205861892 129 137 147 0.67
272 0.15813784549080762 -0.11237548177502357 0.7556807173183545 53 54 47 0.89
273 0.7143823128900996 0.11069989896898097 0.7646513801663414 27 33 27 0.86
