# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 4543, mean track length: 14.02
0 0.24938404063869202 0.1951238037566432 0.5755981744252214 48 38 40 0.4
1 -0.11203933885144911 -0.05732562747955948 0.7159681970828523 14 15 17 0.92
2 -0.11137864590247823 -0.1587541496115386 0.7417743927451996 45 48 50 0.73
3 -0.08121263829755115 -0.15382989592838325 0.7680772943008078 36 37 37 1.08
4 0.16082357799911964 -0.27848511084806993 0.7465055852169401 87 94 98 1.0
5 0.2089088094944943 0.11441951945301186 0.6747074344808739 120 120 119 0.81
6 -0.3042552118392746 -0.17741628695443218 0.594884086282193 139 131 121 0.77
7 -0.2134158537866083 -0.11165097415367482 0.6557052822847896 169 182 195 0.68
8 0.5892785738302634 0.2298403015362935 0.8673323098120705 27 35 40 1.27
9 -0.30552755348033417 0.029464836114885175 0.5366453620325509 132 125 117 0.69
10 0.08645003637693442 -0.10902163332442431 0.6518531039237353 68 66 67 0.83
11 -0.08655672226382642 0.062220395481094586 0.7002031116106732 101 108 114 0.71
12 -0.06933562597147153 0.15388830549994378 0.6867309850787674 167 173 177 1.27
13 0.1939328307027949 -0.29057769445602166 0.7749500175004972 66 75 79 0.82
14 0.43564953325788913 -0.0938634644362221 0.9734185789473876 39 31 28 1.19
15 -0.004022739515016168 -0.04595517679873049 0.7565833825315716 82 71 62 0.97
16 0.21386972052083764 0.19682501069788874 0.8676796016223789 21 17 17 0.99
17 -0.275843224521345 -0.012265993582605984 0.5720817870433578 132 122 113 0.68
18 -0.08563239723493296 0.08453689306005514 0.6953195382030835 127 135 138 1.03
19 0.4837917077438564 -0.024873136250768944 0.9238827803166035 101 99 108 0.83
20 -0.25003809469409266 -0.13901470466911728 0.6416593099702 63 70 78 0.63
21 -0.2876227283878107 0.015298549657879823 0.5556464724878865 67 56 54 0.68
22 0.3515238085022943 0.22159217115405946 0.678816293549571 28 28 35 0.67
23 -0.11154118034276522 0.17339516148933756 0.4166829289973437 48 60 44 0.86
24 0.2267303291027978 0.1976867405891604 0.6316877335622771 46 43 48 1.01
25 -0.32675148953613403 -0.15107620354951776 0.579982074149909 119 125 124 1.02
26 0.005247588595163564 0.15970186174393206 0.7012931527647697 68 70 47 1.18
27 0.34848020457203743 -0.09665526734981635 0.8410950262970623 83 83 90 0.89
28 0.06179273168880375 -0.20441052102740745 0.655072761807508 140 149 156 0.84
29 -0.09685812431059666 0.1707487279439956 0.391192235482411 41 52 40 1.29
30 0.23593517371180434 0.1799910083249898 0.6667653928503458 71 68 71 0.89
31 -0.10579684663806878 0.12744120381930926 0.6741517786529164 86 91 95 0.84
32 -0.21427369849540712 -0.10079629953720684 0.6531790138122706 194 207 217 0.86
33 -0.216689591772386 -0.17515283885228183 0.6666248894307624 42 44 46 0.47
34 -0.268283137439156 -0.22190114794542476 0.6336332105867488 57 59 63 0.47
35 0.3425179097170637 -0.1076418459905168 1.0395137477077854 37 29 26 0.95
36 0.20294758888271638 -0.04743281315624609 0.939204109967305 24 20 18 0.57
37 -0.29684197189753336 0.12512203130075328 0.510948542481329 92 73 68 0.45
38 -0.06835092452946118 -0.012401553765952067 0.7184733809649013 62 62 63 1.03
39 -0.15255662175470244 0.024886798735926564 0.6473066480371784 111 104 98 0.68
40 -0.021779326347873874 0.18723470810661352 0.4074684114330673 65 59 60 1.27
41 -0.011662081892175637 0.1691984808847149 0.439668393044689 17 24 18 0.53
42 -0.2196576656901429 0.09430364728845793 0.597274937530987 58 66 76 0.67
43 -0.11031136099201705 -0.13789008755918386 0.7376660075895021 68 75 80 0.76
44 0.00127385676973041 -0.16860789689313813 0.734755712031368 206 216 221 0.83
45 0.456991163759507 -0.18106987998320206 0.930091457000119 77 84 91 1.05
46 0.22884058814415262 -0.14118814505750546 0.7572709535459974 50 45 41 1.1
47 0.05281510804472588 -0.06851848581365001 0.6542654012772025 97 99 96 0.26
48 -0.10287368452168615 0.10482749082024984 0.6784179677239007 118 124 132 0.71
49 -0.221685867388633 0.08569358364620143 0.5911042247471802 59 60 68 0.49
50 0.03129856210387801 -0.049735730717226596 0.817832114941364 42 43 43 1.15
51 -0.03710583839914519 0.1338036376759838 0.47188620672225573 49 50 35 1.19
52 -0.20820624321019515 0.11008855576186544 0.5972698745271132 40 31 29 0.99
53 -0.2516093282204183 -0.07849907313084893 0.6258509014752155 39 51 58 0.48
54 -0.20757567916810996 0.15753064926425944 0.44032273903145763 111 100 106 0.68
55 -0.30403332174117154 0.17208549219583646 0.49357603975157965 110 86 73 0.5
56 -0.2524405275307696 -0.03979090822965883 0.5940635443546157 91 84 85 0.54
57 -0.30006714046028676 -0.02561182519159496 0.5606601796786137 138 127 117 0.66
58 -0.2397095137743817 0.12639256662540146 0.5722005262276774 146 158 170 0.78
59 -0.07857699408974422 -0.11333255859403842 0.758093776927874 118 125 130 0.69
60 0.35830257937344495 0.03461629705788307 0.8086789627220116 97 94 96 0.86
61 -0.07073919555541543 0.0648455337221914 0.7089174979396827 121 127 130 0.96
62 -0.22436011388433283 0.1063166099307915 0.590182414616667 123 139 151 0.62
63 0.1772440468524875 0.18484272659883497 0.5011599327690878 33 34 39 0.87
64 0.09765976768335527 -0.16405027232189678 0.6578513193920413 57 54 55 0.85
65 -0.14974338036545756 -0.1156160904842694 0.6904040873560461 124 116 104 0.54
66 -0.22042344586055476 -0.09717728499786715 0.6511209703717852 13 13 13 0.82
67 -0.2467791485013077 -0.11741024771360317 0.6379295286409254 164 179 195 0.78
68 0.40881989535472624 0.11082546661155532 1.0370763549181607 79 77 79 0.82
69 0.03050677731703078 -0.09558719736776797 0.829957707033211 33 29 26 0.93
70 -0.1113707404353249 0.17318221786301777 0.4039316283354496 48 58 43 0.74
71 -0.08691226295031615 0.1290795559695773 0.6854640755963551 114 122 128 0.88
72 -0.04252960714125101 0.14573102563071566 0.46648849450370755 35 44 31 1.08
73 0.10409324234817059 0.15868389113099907 0.5667816505700067 74 71 74 1.06
74 -0.11371235583025173 0.16070944492038244 0.6306116250163544 82 78 68 0.45
75 0.34978066917979395 0.0338381684002943 1.017457160092841 51 46 43 1.01
76 -0.24826512192481257 -0.07324705405641645 0.6280011601371128 170 187 199 0.67
77 -0.17533063434494653 0.13194141050518673 0.5985509863039068 117 109 102 0.66
78 0.10473239819499328 -0.14126410203681433 0.6607395755399009 67 56 53 0.86
79 -0.11573946136136498 0.0291244984785232 0.6708269101076436 25 23 23 0.76
80 -0.286873967311368 0.12662633660617018 0.5180666430420322 103 84 83 0.48
81 -0.29751069420073467 0.14185913197916294 0.5065229620108087 111 93 90 0.6
82 0.12466687607339076 0.18325713298469232 0.562985845237819 60 54 54 0.92
83 -0.29917313834331427 0.14531295880424083 0.5024477927450818 111 100 93 0.34
84 0.024197722179470235 0.04945210577846194 0.7640362331560063 28 22 19 0.92
85 0.22643764835081648 0.18429199118706463 0.8827993801363964 86 80 77 1.21
86 -0.16578622486858954 -0.01753610650794398 0.6503531885556473 142 134 122 0.47
87 0.17775101698755655 0.20511113675089931 0.49503803129649765 80 53 50 0.81
88 -0.03897194235495323 0.1628765534760169 0.6722001556682482 38 39 37 1.02
89 0.4614109618052951 -0.10282244424685492 0.9270521880897864 79 78 77 0.87
90 -0.06026232481677392 0.1722141703829007 0.3959623331002572 62 49 38 0.86
91 -0.17388450320639648 0.013555136294161586 0.6359913928113432 100 75 68 0.47
92 -0.0941183426136035 0.17381041410293685 0.6107589378068111 42 32 35 0.74
93 -0.16943984045444135 0.003391524975542085 0.6435125947343342 140 133 125 0.65
94 -0.20284871403872426 0.1329142099858456 0.5898572856433612 179 186 189 0.9
95 0.33938741607886624 -0.10251214109351436 0.8353235023437094 107 110 120 1.13
96 0.021860165088089457 0.12388918262976414 0.4588336241236831 8 10 8 0.64
97 -0.26192829714399735 -0.16016303162937812 0.6306837778235086 134 147 166 0.73
98 0.3891643300297476 0.24130146907353542 0.678625631050178 24 22 26 1.39
99 0.0313970822156192 -0.07261990142724467 0.8227391583761331 34 31 28 1.07
100 -0.2901393784999436 0.061145017809056804 0.5415443089891104 99 84 80 0.61
101 0.4837501162587793 0.24310254798257105 0.779884277585533 49 53 61 1.3
102 -0.25915732224062354 0.07783686938734305 0.567100608834165 22 20 24 1.28
103 0.14113555947981168 -0.27049437825118433 0.7271218206379738 86 94 97 1.07
104 -0.2510867283001687 -0.09400392148112145 0.6314855162955824 33 39 42 0.49
105 0.2141113592555439 0.19478726120499237 0.6174036826547542 29 28 34 0.85
106 0.02582685491729742 0.17003014241446165 0.7428607180435759 68 75 84 1.11
107 -0.04105142864776737 -0.16090970688836798 0.7847765305550598 107 100 90 1.23
108 -0.18191172515985993 -0.16435966084659556 0.6831765756761466 138 128 112 1.01
109 0.1477075739605831 0.1798557936612522 0.572743403582987 72 62 63 0.46
110 -0.07336196046106465 -0.08959215500852263 0.7510315853205052 156 165 175 0.79
111 0.09830228255353855 -0.1557059258760446 0.6572432565637198 121 130 135 0.84
112 0.22815024376649526 0.06836805864358178 0.7034295489954092 57 50 52 1.15
113 0.3815069071469349 0.2183602726418999 0.98803827666387 71 64 62 1.25
114 -0.27572031908922534 0.1336754706728108 0.5286645712143055 113 93 83 0.72
115 -0.3075534671194929 0.0002133191011820948 0.539741787606378 82 74 72 0.57
116 -0.09851176690999759 -0.05416465994295562 0.7302014920701835 11 12 13 0.97
117 0.16388173593953123 -0.22927572903887405 0.7166207299277598 63 76 87 1.03
118 -0.040201792930797536 0.18000904100984258 0.3910837634472106 37 45 24 0.77
119 0.49766948979382136 -0.16432913310601005 0.9611749025301628 59 55 58 0.96
120 0.0991745940398028 -0.16852540463187968 0.6603613790765549 169 187 197 0.71
121 0.06465458767811669 -0.17540966089636995 0.6425846977012724 144 160 169 0.86
122 0.18342843304480982 -0.07021267143360385 0.9338067605661995 27 25 24 0.97
123 -0.3012963615578654 0.16095768503530822 0.495353107639246 109 78 72 0.44
124 -0.20078910795301788 0.13441228551447673 0.5884539397281124 138 139 144 1.01
125 -0.13375660110394363 -0.08206451325653799 0.689918909383147 126 97 80 0.67
126 -0.1361800312335529 0.15698946047824816 0.6161626752845603 105 96 83 0.8
127 -0.0922743417908331 -0.06985890615359497 0.7333820577086264 128 135 145 0.77
128 0.23817648524369786 0.19107617657923162 0.6530311960538113 85 83 86 0.95
129 0.07585258477281595 0.192499762418092 0.4754421027726202 81 71 76 0.73
130 -0.15004585140405344 -0.07735781264174427 0.6799085578666654 144 134 121 0.58
131 -0.06598955324292105 0.15766066821105384 0.6861895838059138 119 117 119 1.24
132 -0.2023700813396565 -0.0036056070512234563 0.6186149895752349 122 107 99 0.51
133 -0.21776303249464096 -0.13369160560887722 0.6583805065096435 68 74 84 0.72
134 -0.1980830700850066 -0.20792388129565914 0.6839427328611707 63 50 43 0.65
135 -0.32890996208437995 -0.2314931454745788 0.5957917780165423 45 40 37 0.99
136 0.07080796714940214 0.05813023818485425 0.8094273450221372 46 36 34 1.32
137 0.3592371720972366 0.057657625105303825 0.7998080476433044 96 98 107 1.02
138 -0.31014953164542697 -0.01244316001656047 0.5389884267348434 89 82 79 0.45
139 0.48826090410061124 -0.15583271391414502 0.9636920173000639 138 153 170 0.96
140 -0.20929968313191927 0.08192361815965672 0.6036626926775529 4 2 2 1.17
141 -0.17596425712759373 0.15315443445721597 0.40124033879805127 35 32 32 0.36
142 -0.2587061063495784 -0.06872735081073689 0.5973135536050443 103 103 105 0.61
143 -0.27143478963565615 -0.1125436956432309 0.6049261777594738 103 91 85 0.63
144 0.06092469622582067 -0.2429883521831614 0.6451886862259809 131 142 151 0.97
145 0.2510570236660046 0.2058582400057195 0.552078158462418 20 19 23 0.79
146 -0.29929917788407945 -0.211897670377994 0.6041547362767246 101 93 88 0.26
147 0.025571250342479077 0.12338702974739273 0.747465493972807 53 51 49 1.0
148 -0.2945161455174402 -0.014902815299534581 0.5591073223479024 132 126 120 0.7
149 0.059340521013345 -0.13894353862137443 0.8572251450202165 9 7 7 1.32
150 -0.27443503351401144 0.17790051835783735 0.5120925574789201 116 98 84 0.56
151 0.17577712533764445 0.17523857917062083 0.5051510312519035 53 46 51 0.97
152 -0.048480899061777605 0.011566603776436271 0.72262155061107 40 35 35 1.05
153 0.00216635816620902 -0.0944742488848145 0.7865918262071935 31 23 20 1.01
154 0.20089181187768193 -0.1469083978723632 0.7354240348847462 57 54 52 1.11
155 -0.11934488301184784 -0.05515133549598097 0.694955443422484 65 65 63 0.65
156 -0.24564580391649085 0.1062521533169398 0.5812284459935426 5 2 2 0.63
157 0.15981033311730922 0.13189351114542305 0.8365369205969053 42 30 31 1.12
158 0.033978318931349866 0.14680583890829885 0.76275882446646 79 85 90 0.7
159 -0.13530823911997691 -0.06560666985571686 0.6882852063395326 143 133 121 0.82
160 -0.2922076285822564 0.15977197607216254 0.5194190204038952 90 73 67 1.57
161 -0.24136707080526096 0.014304223622534298 0.5961175158196297 35 28 25 0.91
162 0.4904583537543153 0.05158293966222725 0.9053692054120409 95 100 89 1.45
163 0.14259722496991134 0.19663525276983146 0.5497386598308948 63 62 69 1.28
164 -0.19903007480096552 0.013347287557726639 0.6157283888603686 71 59 59 0.41
165 0.3439039476955767 0.10007632978752028 0.995890677480351 46 33 32 0.99
166 0.2046737772665002 -0.12568749591666042 0.7362732947682329 105 109 117 0.85
167 -0.1344289614480886 0.16881087902581418 0.42306992213306427 54 45 48 0.49
168 -0.22430330811092195 0.06192263886284255 0.5988662023835789 124 137 147 0.52
169 -0.09149458347447006 -0.045538795567646145 0.7252295015960014 159 172 185 1.05
170 -0.25096473044178813 -0.14281821920639293 0.6432710243817571 17 18 17 0.66
171 -0.15919404476428956 0.15316920706966106 0.5997767290109495 123 104 91 0.69
172 -0.2984297545094394 0.11098822060330966 0.517550274290239 107 84 76 0.58
173 -0.2713101725514067 0.06224078332154117 0.5518350433630703 107 86 79 0.58
174 -0.057538338453050286 -0.18932576234051965 0.7744359858792638 24 21 20 0.77
175 -0.2973463912147405 0.10308638959755069 0.520668714837495 109 95 89 0.58
176 -0.20340972788885525 0.0869695010672653 0.6030438449094903 93 91 97 0.87
177 0.24114870522279253 0.19263445797514345 0.6532961999840379 60 65 69 1.02
178 -0.12040472244067868 -0.09608150416123688 0.7094850965460171 117 125 135 0.76
179 -0.12805476004791963 -0.14932373324274265 0.7159903768900492 118 108 99 0.47
180 0.45825154092614395 -0.01631845748545074 0.9427499190046881 76 77 77 1.16
181 -0.23127643318796237 -0.07106423813414782 0.6354468225563986 176 193 205 0.54
182 -0.10424582164822266 -0.11540910953225242 0.7292527608472308 92 96 103 1.27
183 0.10208251259757414 0.1977013289829896 0.5046645488017346 88 80 82 0.76
184 0.530480599314646 0.25763702143313183 0.831885182868645 17 21 23 1.06
185 0.032580741312022835 0.12206972440490765 0.4880926975050725 35 45 32 1.1
186 -0.2717530907217813 0.02323053551862048 0.5621203776608992 125 115 107 0.49
187 0.16863334127006432 0.16561538496217004 0.5202803869558922 22 24 29 0.72
188 -0.23253176325412486 0.03862572014126626 0.5968878022907673 94 98 102 0.97
189 0.16190953691601018 -0.09705546472964457 0.9209432669961626 25 22 20 0.8
190 -0.08910697635630019 0.005275653384305197 0.6919837472664541 130 122 111 0.7
191 0.07181399664146654 -0.017837760265119913 0.8223111915416943 71 72 73 1.05
192 -0.15310772661065578 -0.03234223187511029 0.6639867259019487 120 110 100 0.45
193 0.4795318311485648 -0.08167048091039564 0.9364867898396596 68 68 73 0.82
194 -0.009774312936389177 0.04293230289146872 0.7249848778660324 102 88 79 0.98
195 -0.22061756763666054 0.08528327328567532 0.5988440532233555 159 172 182 0.5
196 0.5460327585767916 0.06974984639500287 1.1706627806666496 96 90 93 1.3
197 0.08261782367271847 -0.14333238786652677 0.6501325426777239 54 48 46 0.79
198 -0.05020709121131408 0.17115237363990657 0.44894999472012026 68 80 46 0.65
199 -0.11986155301191702 -0.05279657169008752 0.6918302526492288 124 111 101 0.57
200 -0.31237459823631386 -0.004894856278203505 0.5356553347502411 100 95 90 0.34
201 0.357129321557611 -0.04080042254281556 0.8312772960888221 129 130 133 0.91
