# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 98
19 RADIAL 518 350 361.7477111816406 259.0 175.0 0.0 0.0
20 RADIAL 518 350 362.16709899902344 259.0 175.0 0.0 0.0
21 RADIAL 518 350 362.1370391845703 259.0 175.0 0.0 0.0
22 RADIAL 518 350 362.01470947265625 259.0 175.0 0.0 0.0
23 RADIAL 518 350 361.78515625 259.0 175.0 0.0 0.0
24 RADIAL 518 350 360.29331970214844 259.0 175.0 0.0 0.0
26 RADIAL 518 350 360.8643798828125 259.0 175.0 0.0 0.0
28 RADIAL 518 350 360.7602844238281 259.0 175.0 0.0 0.0
36 RADIAL 518 350 358.6497344970703 259.0 175.0 0.0 0.0
37 RADIAL 518 350 361.0347137451172 259.0 175.0 0.0 0.0
38 RADIAL 518 350 361.4570617675781 259.0 175.0 0.0 0.0
39 RADIAL 518 350 361.1026306152344 259.0 175.0 0.0 0.0
40 RADIAL 518 350 362.1748504638672 259.0 175.0 0.0 0.0
41 RADIAL 518 350 363.2661590576172 259.0 175.0 0.0 0.0
42 RADIAL 518 350 363.84388732910156 259.0 175.0 0.0 0.0
43 RADIAL 518 350 363.12554931640625 259.0 175.0 0.0 0.0
46 RADIAL 518 350 362.2991180419922 259.0 175.0 0.0 0.0
47 RADIAL 518 350 362.54200744628906 259.0 175.0 0.0 0.0
48 RADIAL 518 350 364.73011779785156 259.0 175.0 0.0 0.0
49 RADIAL 518 350 365.0384826660156 259.0 175.0 0.0 0.0
25 RADIAL 518 350 358.968017578125 259.0 175.0 0.0 0.0
27 RADIAL 518 350 358.8081359863281 259.0 175.0 0.0 0.0
35 RADIAL 518 350 356.9533233642578 259.0 175.0 0.0 0.0
98 RADIAL 518 350 369.23875427246094 259.0 175.0 0.0 0.0
99 RADIAL 518 350 366.03369140625 259.0 175.0 0.0 0.0
30 RADIAL 518 350 363.9888153076172 259.0 175.0 0.0 0.0
34 RADIAL 518 350 363.8182678222656 259.0 175.0 0.0 0.0
45 RADIAL 518 350 364.5684814453125 259.0 175.0 0.0 0.0
32 RADIAL 518 350 363.34129333496094 259.0 175.0 0.0 0.0
44 RADIAL 518 350 363.4618377685547 259.0 175.0 0.0 0.0
18 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
6 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
7 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
8 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
9 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
10 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
11 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
12 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
13 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
14 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
15 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
16 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
17 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
0 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
2 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
3 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
4 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
5 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
29 RADIAL 518 350 361.68711853027344 259.0 175.0 0.0 0.0
31 RADIAL 518 350 362.7089538574219 259.0 175.0 0.0 0.0
33 RADIAL 518 350 360.55796813964844 259.0 175.0 0.0 0.0
57 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
58 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
60 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
62 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
50 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
51 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
52 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
53 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
1 RADIAL 518 350 358.5524350410988 259.0 175.0 -0.03582843167183226 0.0012706118600321996
54 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
68 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
59 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
63 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
64 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
65 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
66 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
67 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
69 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
70 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
71 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
61 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
72 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
74 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
75 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
76 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
77 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
78 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
79 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
80 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
81 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
82 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
83 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
84 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
85 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
86 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
87 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
88 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
89 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
90 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
91 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
92 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
93 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
94 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
95 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
96 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
97 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
73 RADIAL 518 350 359.8169327121002 259.0 175.0 -0.029861504209645496 -0.0033730957332395203
