# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 282, mean track length: 17.97
0 0.14690719544887543 -0.27205148339271545 0.7080078721046448 87 94 98 4.59
1 0.1949433833360672 0.10899196565151215 0.6467813849449158 120 120 119 2.35
2 0.17977754771709442 -0.2837558686733246 0.7384809255599976 66 75 79 3.53
3 0.41786932945251465 -0.0948265865445137 0.9269912838935852 39 31 28 3.96
4 0.20261387526988983 0.1908077746629715 0.8422569632530212 21 17 17 2.62
5 -0.11795485019683838 0.16388553380966187 0.3877665102481842 48 60 44 4.88
6 -0.32458144426345825 -0.15010511875152588 0.5537663698196411 119 125 124 2.7
7 -0.29754242300987244 0.11695749312639236 0.4869145154953003 92 73 68 4.42
8 -0.022965023294091225 0.16281212866306305 0.4150314927101135 17 24 18 4.28
9 0.4482146203517914 -0.18476061522960663 0.9156298637390137 77 84 91 6.57
10 -0.11132314801216125 0.09861154854297638 0.6493963003158569 118 124 132 2.15
11 -0.04881739988923073 0.12877671420574188 0.4526348412036896 49 50 35 3.6
12 -0.21498911082744598 0.10417302697896957 0.5717127919197083 40 31 29 3.91
13 -0.2538549304008484 -0.04214286431670189 0.5632862448692322 91 84 85 3.42
14 -0.15454433858394623 -0.11643664538860321 0.657707154750824 124 116 104 4.06
15 0.3968104124069214 0.10256654769182205 1.0034829378128052 79 77 79 3.81
16 -0.09634819626808167 0.12345968931913376 0.657463014125824 114 122 128 2.74
17 0.08804444223642349 0.15209153294563293 0.5397274494171143 74 71 74 3.35
18 -0.12166167050600052 0.15314657986164093 0.6027127504348755 82 78 68 2.44
19 0.09295818954706192 -0.14198294281959534 0.633970320224762 67 56 53 1.59
20 -0.12390290945768356 0.024674024432897568 0.6402279138565063 25 23 23 2.27
21 -0.2998722195625305 0.13648094236850739 0.4798668324947357 111 100 93 3.63
22 -0.05009973421692848 0.1572754681110382 0.6470521092414856 38 39 37 4.86
23 0.019881851971149445 -0.07500403374433517 0.7972699999809265 34 31 28 2.01
24 0.12775801122188568 -0.26482728123664856 0.6891997456550598 86 94 97 4.65
25 0.15482328832149506 -0.2292087972164154 0.6909423470497131 63 76 87 2.38
26 -0.1403171271085739 -0.083904929459095 0.6591974496841431 126 97 80 2.6
27 0.06237204745411873 0.18576937913894653 0.4512578547000885 81 71 76 3.66
28 -0.1994127780199051 -0.2048623263835907 0.6498727798461914 63 50 43 2.4
29 -0.3234333097934723 -0.22456280887126923 0.5678957104682922 45 40 37 3.07
30 0.05461199954152107 0.05028863623738289 0.7593721747398376 46 36 34 6.68
31 0.34571781754493713 0.053619712591171265 0.7765199542045593 96 98 107 2.36
32 0.47253739833831787 -0.1557054966688156 0.9388154745101929 138 153 170 3.31
33 -0.17992717027664185 0.14356866478919983 0.3739562928676605 35 32 32 5.18
34 0.04956803470849991 -0.24234630167484283 0.6173418760299683 131 142 151 2.02
35 0.236882284283638 0.20020687580108643 0.528853714466095 20 19 23 3.55
36 -0.29871344566345215 -0.2093064934015274 0.5777873992919922 101 93 88 2.82
37 -0.0573023185133934 0.007548484485596418 0.6910502314567566 40 35 35 2.21
38 -0.12682271003723145 -0.057062603533267975 0.664878785610199 65 65 63 2.3
39 0.022465748712420464 0.14074932038784027 0.7385378479957581 79 85 90 2.64
40 0.47704821825027466 0.048879291862249374 0.884677529335022 95 100 89 4.38
41 0.1285824030637741 0.18913786113262177 0.5225528478622437 63 62 69 4.07
42 -0.1407158225774765 0.16032691299915314 0.3975502848625183 54 45 48 3.48
43 -0.06323529779911041 -0.18783260881900787 0.7383557558059692 24 21 20 2.26
44 -0.13398678600788116 -0.1491616666316986 0.6827141046524048 118 108 99 2.93
45 0.4459652304649353 -0.017856799066066742 0.9215196371078491 76 77 77 5.62
46 0.0905805230140686 0.1945645809173584 0.48902416229248047 88 80 82 4.35
47 0.020727675408124924 0.11779139935970306 0.4685978293418884 35 45 32 2.83
48 0.043304312974214554 -0.02603250741958618 0.7824611663818359 71 72 73 4.36
49 -0.16479556262493134 -0.08513329923152924 0.6409735679626465 56 49 47 3.88
50 0.46238675713539124 -0.08290081471204758 0.9086930155754089 68 68 73 1.75
51 0.45730268955230713 -0.22661460936069489 0.6832634806632996 90 95 96 6.41
52 0.536767840385437 0.06623237580060959 1.1418111324310303 96 90 93 5.29
