# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 25
19 RADIAL 518 350 361.7477111816406 259.0 175.0 0.0 0.0
20 RADIAL 518 350 362.16709899902344 259.0 175.0 0.0 0.0
21 RADIAL 518 350 362.1370391845703 259.0 175.0 0.0 0.0
22 RADIAL 518 350 362.01470947265625 259.0 175.0 0.0 0.0
23 RADIAL 518 350 361.78515625 259.0 175.0 0.0 0.0
24 RADIAL 518 350 360.29331970214844 259.0 175.0 0.0 0.0
25 RADIAL 518 350 358.968017578125 259.0 175.0 0.0 0.0
26 RADIAL 518 350 360.8643798828125 259.0 175.0 0.0 0.0
27 RADIAL 518 350 358.8081359863281 259.0 175.0 0.0 0.0
28 RADIAL 518 350 360.7602844238281 259.0 175.0 0.0 0.0
35 RADIAL 518 350 356.9533233642578 259.0 175.0 0.0 0.0
36 RADIAL 518 350 358.6497344970703 259.0 175.0 0.0 0.0
37 RADIAL 518 350 361.0347137451172 259.0 175.0 0.0 0.0
38 RADIAL 518 350 361.4570617675781 259.0 175.0 0.0 0.0
39 RADIAL 518 350 361.1026306152344 259.0 175.0 0.0 0.0
40 RADIAL 518 350 362.1748504638672 259.0 175.0 0.0 0.0
41 RADIAL 518 350 363.2661590576172 259.0 175.0 0.0 0.0
42 RADIAL 518 350 363.84388732910156 259.0 175.0 0.0 0.0
43 RADIAL 518 350 363.12554931640625 259.0 175.0 0.0 0.0
46 RADIAL 518 350 362.2991180419922 259.0 175.0 0.0 0.0
47 RADIAL 518 350 362.54200744628906 259.0 175.0 0.0 0.0
48 RADIAL 518 350 364.73011779785156 259.0 175.0 0.0 0.0
49 RADIAL 518 350 365.0384826660156 259.0 175.0 0.0 0.0
98 RADIAL 518 350 369.23875427246094 259.0 175.0 0.0 0.0
99 RADIAL 518 350 366.03369140625 259.0 175.0 0.0 0.0
