# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 5025, mean track length: 3.68
0 -0.04717286187743319 -0.1988464732099394 1.118241251884257 55 31 19 0.32
1 -0.03194798655505759 -0.1557898756031352 1.048951912487296 142 94 51 1.04
2 -0.02438821403865843 -0.1517888286552112 1.170154245704613 78 48 34 0.79
3 -0.0897466334056628 -0.07189501521907682 1.057390724346948 67 45 40 0.39
4 -0.1142173313117764 -0.04300588819862219 1.06950455412656 41 24 18 0.3
5 -0.1281133604201598 0.02026658352240213 1.043328985171466 83 46 26 1.79
6 -0.1534932562591889 0.02710728248926203 1.084219720754673 82 46 22 0.59
7 -0.1164003139371595 0.03173428534782669 1.016644973197855 110 77 53 0.88
8 0.07690298418385033 0.01094913013871021 1.208881741633264 115 71 41 1.61
9 -0.1620541488962913 0.07329209988603647 0.8836541672820266 189 128 81 1.91
10 0.04154404457546723 0.09963905272812237 1.143012647407031 112 83 60 2.15
11 -0.2257464495461059 0.107441033486964 0.8900683702854778 111 64 45 0.44
12 -0.1035310409165334 0.106900977743652 0.936333185731264 98 72 57 0.45
13 -0.08445629916754616 0.1046021396914439 0.920272749414911 85 51 27 0.12
14 -0.06875644817312132 0.101259414783209 0.9015786112502868 110 85 69 0.3
15 -0.08641293194737443 0.1056959161919333 0.9238600340532588 76 38 24 0.49
16 -0.17601541458347 0.1271096702071499 1.043815881641136 181 130 101 0.24
17 -0.1474249152087562 0.1275751125411869 1.006072499923753 117 88 73 0.31
18 -0.1310835392431259 0.1242834071974735 0.9690128719874627 132 86 55 0.67
19 -0.1203643277567048 0.1140556725178642 0.9583816839110135 148 105 71 0.21
20 -0.06171447805061314 0.1101631664722196 0.8921661340729209 177 106 69 0.34
21 -0.1959023145106721 0.1467359885079429 1.058821120427638 115 82 57 0.22
22 0.07142073199737697 0.1336803032238172 0.6991593856390022 88 58 44 0.2
23 -0.1774201606448992 0.1919507376090262 1.016368607111841 74 49 34 0.18
24 -0.1953015307921634 0.1920957904388854 1.040550401316739 114 52 39 0.19
