# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 33
170 RADIAL 760 1013 810.5896220041603 380.0 506.50000000000006 0.005373810206154793 -0.038120248228256715
186 RADIAL 1141 760 878.4407887966013 570.5 380.0 -0.04671054091427256 0.010597247860625422
66 RADIAL 1013 767 843.688390075492 506.5 383.2972972972973 0.05779581833537057 -0.09174204297266085
201 RADIAL 1140 760 894.8084863570925 570.0 380.0 -0.034945243746456675 -0.011731400444651336
34 RADIAL 760 1140 1149.2267886058928 380.0 570.0 -0.01924698491483736 0.04155404382064459
465 RADIAL 760 1013 1044.5124847249567 380.00000000000006 506.49999999999994 0.08788534944661433 0.012110200378872123
192 RADIAL 1351 760 1370.8939522674711 675.5 380.0 -0.018330192653629823 -0.017565241230114097
6 RADIAL 1140 760 895.8549377547976 570.0 380.0 0.11566125553291605 0.005660885600842146
200 RADIAL 1140 760 894.2788400725618 570.0 380.0 -0.041515917927221715 -0.011456975094260226
184 RADIAL 1153 760 888.2665848208796 576.5 380.0 -0.03744415652692734 0.01213868257760366
185 RADIAL 760 1146 881.6712871282862 380.0 573.0 -0.047286384973342296 0.00018822430844463316
160 RADIAL 1351 754 1143.344264197088 675.5 377.0232558139535 0.09555654600784717 0.004996057278390786
137 RADIAL 1140 760 977.1538212650055 570.0 380.0 0.02272017982620248 -0.001314554009985019
232 RADIAL 1140 760 920.0181211701176 570.0 380.0 -0.06334949357895085 -0.011352545758443846
524 RADIAL 1013 767 1025.9350281325787 506.5 383.2972972972973 0.07076219352301678 0.001978919998136905
183 RADIAL 1140 760 878.3959373727217 570.0 380.0 -0.03650881158823699 0.0036813753400841568
0 RADIAL 760 1140 1338.9083117987886 380.0 570.0 -0.010280975029568935 -0.000321314327912609
11 RADIAL 760 1140 1338.9234477755292 380.0 570.0 -0.007409438775586107 -0.00014357909898922677
102 RADIAL 1140 760 2442.8088315725595 570.0 380.0 0.11475503955719152 0.004243434603578708
450 RADIAL 760 1013 1216.4718173094657 380.0 506.5 0.034764891289833816 -0.0001351081135531744
254 RADIAL 760 1140 814.4074057739507 380.0 570.0 -0.007172420846541636 -0.0004411999014090084
91 RADIAL 760 1013 1216.0103027255336 380.0 506.5 0.009680211694424578 0.0008580187188727299
504 RADIAL 760 1013 1215.9088406505277 380.0 506.50000000000006 -0.015139300396134347 -0.0005255831586046664
509 RADIAL 760 1013 1216.064752410807 380.0 506.5 0.013109433463300898 0.0014808357214536238
307 RADIAL 1141 761 575.4353617789048 570.5 380.3333333333333 -0.026493802975253746 -0.0054832950280158076
86 RADIAL 760 1013 1215.9468910993944 380.0 506.50000000000006 -0.004977865021934643 -0.00017661728056402542
239 RADIAL 1013 760 752.6488990735601 506.5 380.0 0.02336870375773503 0.0036559887373226988
1 RADIAL 760 1140 1339.0177056597208 380.0 570.0 0.0 0.0
227 RADIAL 760 1140 814.2857142857144 380.0 570.0 0.0 0.0
271 RADIAL 760 1140 879.5187969924813 380.0 570.0 0.0 0.0
374 RADIAL 760 891 751.5078029455726 380.0 445.5 0.0 0.0
407 RADIAL 760 1144 490.1962504111391 380.0 572.0 0.0 0.0
255 RADIAL 760 1140 814.2857142857144 380.0 570.0 0.0 0.0
