# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 66
18 RADIAL 1140 760 2718.879970955351 570.0 380.0 -0.06681540052254309 0.007659418237700966
267 RADIAL 760 1013 1053.8334530802217 380.00000000000006 506.49999999999994 -0.1336569226765163 0.03487954025575101
5 RADIAL 1140 760 2296.294613410995 570.0 380.0 0.45359775843285016 -6.433837724007113
120 RADIAL 760 1140 1085.750654869123 380.0 570.0 0.1502303248802159 -0.5478241192105882
518 RADIAL 760 1011 1212.761770238808 380.0 505.5 -0.051939432266214544 -0.0073964312030309455
26 RADIAL 760 1144 1960.183108592882 380.0 572.0 -0.023291589363532306 -0.01722943971533709
150 RADIAL 760 1013 877.3562715527606 380.0 506.5 -0.1859716167144379 0.12029229292354614
328 RADIAL 1013 760 796.1867527881675 506.5 380.0 -0.0417636684379111 0.03399331465021047
496 RADIAL 1013 760 888.5713660977706 506.49999999999994 380.00000000000006 -0.18888737885943976 0.16952746413429956
298 RADIAL 1013 767 1142.590989210701 506.5 383.2972972972973 -0.06357472690861456 -0.0950434026150485
69 RADIAL 760 1013 1022.2156898146715 380.0 506.5 -0.0839359048212386 0.1782904931491772
188 RADIAL 1201 760 953.0559847203059 600.5 380.0 -0.06373768500308463 0.035746583002877245
391 RADIAL 1353 755 1184.3625215809873 676.5 377.5813953488372 0.07208029264388321 -0.2059714505608829
38 RADIAL 1140 760 1232.3001991157691 570.0 380.0 0.08206523180531679 -0.9421279044373991
57 RADIAL 760 1013 1211.0169291515379 380.0 506.50000000000006 0.9182803234463922 -4.193702135290909
124 RADIAL 1013 760 2112.64907574376 506.5 380.0 0.06980199253643501 0.0018578029264865457
149 RADIAL 760 1013 1046.8282674416898 380.0 506.5 -0.13958301445538304 -0.009029406756796884
392 RADIAL 760 1013 827.6014112543274 380.0 506.5 0.07258138600712713 -0.0776931933328931
148 RADIAL 760 1013 881.1167615220165 380.0 506.5 -0.15843853862144763 0.09696810055806925
519 RADIAL 760 943 996.6228255603579 380.0 471.7241379310345 -0.1521053072385855 -0.025573666201921124
525 RADIAL 760 1011 1201.9880813560742 380.0 505.5 0.9366315039779055 -4.074157388033737
488 RADIAL 1144 760 877.6379371819843 572.0 380.0 -0.02667373018021167 0.05760529347066248
346 RADIAL 1013 767 695.5156460533004 506.5 383.2972972972973 -0.0005634397805256985 0.010273678418784009
296 RADIAL 1140 760 2727.400839097966 570.0 380.0 0.08280683234978675 0.004219368842456244
156 RADIAL 1144 760 882.6562990596349 572.0 380.0 0.010128799263020046 0.0025672469932799054
203 RADIAL 1140 760 906.4534323587302 570.0 380.0 -0.17870790061691322 0.18167681263267377
204 RADIAL 1140 760 907.2876474737841 570.0 380.0 -0.18018934054062902 0.18089049514937347
275 RADIAL 760 1013 792.3704208911784 380.0 506.50000000000006 0.05665899206667502 -0.08227139335302756
107 RADIAL 760 1013 1215.6798296573045 380.0 506.5 -0.004405461087017082 -0.00014780497547129532
389 RADIAL 760 1013 837.8244284266917 380.0 506.5 0.030945140474948046 0.0167271238450987
467 RADIAL 760 1013 1054.9188197863855 380.00000000000006 506.49999999999994 0.011537040725896197 -0.03388473947482561
526 RADIAL 760 1011 1211.850818814633 380.0 505.5 -0.08254257467928527 -0.014705293416786063
97 RADIAL 773 773 812.2903341431396 386.5 386.5 0.05896582673770406 -0.052133937051707546
138 RADIAL 1139 760 975.976671566252 569.5 380.0 -0.019485551407321076 -0.0023552588833845064
240 RADIAL 1688 777 769.3907651425961 844.0000220284279 388.4444538025529 0.002035713874830858 0.013872320943968496
202 RADIAL 1140 760 903.2056725225109 570.0 380.0 -0.12289790032071023 -0.005965674472255031
405 RADIAL 760 1144 950.354874366399 380.0 572.0 -0.020910526265985746 0.035531891095690736
445 RADIAL 760 1354 1313.6685141546895 380.0 677.0 -0.09938885153997358 0.02536508458939893
390 RADIAL 760 1353 1623.290802340847 380.0 676.5 -0.014298397751110546 -0.0005113233869105837
324 RADIAL 760 1013 781.6770425236434 380.0 506.5 0.020801671210890417 -0.03990036370198412
524 RADIAL 1013 767 1004.3571010374915 506.5 383.2972972972973 0.0976715733586734 0.006584424058053782
16 RADIAL 760 1140 1338.350667305547 380.0 570.0 0.002070962565158545 0.004810370786314581
13 RADIAL 760 1140 1338.8730932532226 380.0 570.0 0.008343975395489818 -0.001459207624124968
308 RADIAL 1175 760 553.2816023369877 587.5 380.0 0.05836749190093845 0.0070396959794234
326 RADIAL 760 1140 1338.6446627985367 380.0 570.0 -0.009572500071464351 0.0007209377054747765
194 RADIAL 760 1351 1373.1987581002704 380.0 675.5 -0.05118064044405329 -0.061154645853706904
283 RADIAL 760 1140 1339.3189202863068 380.0 570.0 -0.08892085266627736 -0.009397750221975774
280 RADIAL 760 1013 1215.996688566138 380.0 506.5 -0.0016558013062577268 -5.005679138211006e-05
444 RADIAL 760 1013 1216.1524371862688 380.0 506.5 -0.017297012388467238 -0.0009852388147280626
131 RADIAL 760 1013 818.3697812881906 380.0 506.5 0.08050327413200246 -0.11660486355739053
272 RADIAL 1005 760 776.8265584935991 502.5 380.0 -0.0003253796767128884 -0.026509208406647028
406 RADIAL 760 1145 500.64458610605345 379.99999999999994 572.5 0.034743020713769654 -0.05426296440110621
222 RADIAL 760 1140 818.736914166592 380.0 570.0 0.8993451013601731 -1.5791382283734456
56 RADIAL 760 1013 1215.9982003187238 380.0 506.5 -0.006275147042516943 -0.0003336439519949828
469 RADIAL 760 1689 2026.8865979381442 380.0 844.5 0.0 0.0
92 RADIAL 760 1015 1217.5293633913495 380.0 507.5 0.0013486707318936318 1.0538434797298522e-05
