# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 2812, mean track length: 4.26
0 -0.01402008535315359 -0.2131504444207972 1.150946584101568 124 79 29 0.52
1 -0.1398129326040186 0.02535585249583511 1.103210116909913 142 92 42 0.57
2 -0.005622959226599507 -0.1231870252775294 1.169647871658418 70 47 31 0.42
3 -0.005690515527917397 -0.1199208474155731 1.172339940705952 105 70 33 0.47
4 -0.0230578531367006 -0.1377837470915415 1.157028046325012 144 85 25 0.37
5 -0.03357385507933196 -0.1714886452183863 1.147130387412516 48 33 25 0.31
6 -0.03528190228960817 -0.1650381870827081 1.144456354447891 126 80 32 0.35
7 -0.04267968729893711 -0.1697941096528713 1.137065874145262 51 36 28 0.35
8 -0.07248361587013644 -0.2098126861890658 1.110918810434204 136 96 47 0.49
9 -0.07313161992533691 -0.1921213290624332 1.113612127431312 137 113 95 0.22
10 0.04463520811965389 -0.1825030816555152 1.101286680461354 110 70 37 0.29
11 -0.01098482148086368 -0.106361765590907 1.170487297078864 140 88 43 0.23
12 -0.0151166626177899 -0.109518000123808 1.171796696512903 164 105 37 0.46
13 -0.03123443674309041 -0.1129502507777639 1.159521863025461 160 99 23 0.09
14 -0.04679562868005759 -0.1272707840798418 1.146025917458923 117 71 32 0.19
15 -0.03945559641128712 -0.1161895221115296 1.15439248315472 163 118 68 0.5
16 -0.08205904788106762 -0.1238220796776278 1.138674663454983 149 96 43 0.68
17 -0.01674504692960886 -0.05067602900157064 1.182504284197732 178 116 46 0.43
18 0.005794014850655097 -0.02023293004685262 1.195677298113212 166 114 61 0.26
19 -0.02543222006444471 -0.040741011614848 1.172601775068036 143 105 70 0.34
20 -0.05949950515515941 -0.07654701769763844 1.151415996339312 152 112 54 0.27
21 -0.07175796164549687 -0.07835473137060128 1.141136363477854 83 55 30 0.28
22 -0.1078491393284183 -0.1287711115061433 1.10027931928528 128 78 23 0.23
23 -0.002528248767587539 0.01185377118789466 1.20456799083234 147 80 30 0.43
24 -0.05032427236845823 -0.04529696020969859 1.155162117422806 106 65 33 0.38
25 -0.1063910987865733 -0.08310486351893648 1.113193121287907 122 76 26 0.3
26 -0.1241914019933617 -0.1135790293691659 1.092454907930418 118 132 148 0.33
27 -0.03687626886103278 0.01497985964364051 1.178500598402538 136 99 69 0.15
28 -0.02461730307245475 0.03569231774816167 1.179260893132331 145 87 43 0.3
29 -0.09064770404705116 0.02936321379245838 1.168036998948509 158 105 43 1.68
30 -0.1406604289149243 -0.04176736186056962 1.099186911418141 208 159 83 0.23
31 0.01556149761662602 0.06868603806210283 1.185906858068789 136 82 34 0.23
32 0.001969013217945844 0.06990052823562731 1.196609446432724 133 88 41 0.41
33 -0.007828637570111551 0.05384035372053542 1.189954073906681 170 105 47 0.56
