# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 74
480 RADIAL 760 1013 1065.5868487153593 380.0 506.5 -0.1688652685933889 0.1987834053403178
392 RADIAL 760 1013 847.6377369692493 380.0 506.5 0.07194127066809877 -0.035732331020037304
202 RADIAL 1140 760 942.1249206768674 570.0 380.0 -0.18539476654315265 0.15581195148797708
267 RADIAL 760 1013 1079.7546745420743 380.00000000000006 506.49999999999994 -0.16631417729728845 0.12965077079522452
204 RADIAL 1140 760 928.3907344816757 570.0 380.0 -0.17471673113572414 0.1696763430525745
203 RADIAL 1140 760 927.6336754335277 570.0 380.0 -0.17415687911811525 0.1713441151229401
312 RADIAL 1013 767 987.6645084751987 506.5 383.2972972972973 0.020724323588485704 -0.15177744146391978
97 RADIAL 773 773 819.3905418935669 386.5 386.5 0.10370193917909448 -0.19202240364727532
467 RADIAL 760 1013 1088.5692455034996 380.00000000000006 506.49999999999994 0.003942744095600263 0.010339793348075835
5 RADIAL 1140 760 2306.7861522490175 570.0 380.0 0.38912114566409084 -6.432710331512861
69 RADIAL 760 1013 1060.2722287121833 380.0 506.5 -0.08977064226382918 0.16989481816826332
150 RADIAL 760 1013 894.6067539188678 380.0 506.5 -0.20175795267951338 0.1808470170156701
120 RADIAL 760 1140 1106.115798545348 380.0 570.0 0.12660760388852546 -0.46846637768705335
389 RADIAL 760 1013 852.1920870973433 380.0 506.5 0.06696202655287686 -0.07600636149777056
240 RADIAL 1688 777 766.6723485963214 844.0000220284279 388.4444538025529 -0.009412406581570502 0.03670059464447554
68 RADIAL 760 1013 854.84081889449 380.0 506.49999999999994 0.07838117149745949 -0.10173523430320147
149 RADIAL 760 1013 1040.115859675598 380.0 506.5 -0.11788304982533751 0.024255116472492327
324 RADIAL 760 1013 790.3954419478105 380.0 506.5 0.05337122027944623 -0.12594765113074402
138 RADIAL 1139 760 987.2226731601563 569.5 380.0 -0.06556406551051493 0.0636102117568763
187 RADIAL 1149 760 888.4541441479637 574.5 380.0 -0.0644999846372508 -0.036553816140381376
445 RADIAL 760 1354 1332.8268896644638 380.0 677.0 -0.08990011799329353 -0.002299586776234266
519 RADIAL 760 943 1027.0076063418644 380.0 471.7241379310345 -0.13764133688787528 0.07479139312735376
107 RADIAL 760 1013 1188.5362071055233 380.0 506.5 -0.17521222118274427 0.0011068438872100929
525 RADIAL 760 1011 1186.4372804149014 380.0 505.5 0.9201881956388038 -3.312651945925406
57 RADIAL 760 1013 1197.2010463399995 380.0 506.50000000000006 0.9331957218910085 -4.194490420065882
35 RADIAL 760 1140 1486.7561520605368 380.0 570.0 -0.00926067249355661 -0.0003302111699628897
308 RADIAL 1175 760 580.0617401238109 587.5 380.0 0.03265478077758799 -0.0032691727000021854
38 RADIAL 1140 760 1284.1270939989215 570.0 380.0 0.04229490789241148 -0.902151641979901
148 RADIAL 760 1013 889.5460687402942 380.0 506.5 -0.1752410936128864 0.12655626961459257
65 RADIAL 1140 760 901.3061664538109 570.0 380.0 -0.17219258699299744 0.10769957854684323
430 RADIAL 1013 767 908.8250676257871 506.5 383.2972972972973 0.05975275899258771 -0.037041373293564224
328 RADIAL 1013 760 801.9734884372342 506.5 380.0 -0.037497718888189674 -0.002941779764540152
488 RADIAL 1144 760 885.2732743417171 572.0 380.0 -0.026390558288814894 0.04386728332151856
496 RADIAL 1013 760 895.0050097267641 506.49999999999994 380.00000000000006 -0.19738711759374444 0.18902116922194542
129 RADIAL 760 1013 1185.2162467412259 380.0 506.5 -0.6136869217689562 4.056345579457856
390 RADIAL 760 1353 1621.0922007280692 380.0 676.5 0.1183111156778615 0.021383524905197075
13 RADIAL 760 1140 1338.7224551833247 380.0 570.0 -0.027513809962610138 -0.008492328117612141
124 RADIAL 1013 760 2112.8996235099958 506.5 380.0 0.0680374722484767 0.0017950345394165705
391 RADIAL 1353 755 1186.9345832614583 676.5 377.5813953488372 0.08644599253955296 -0.23984364564750596
26 RADIAL 760 1144 1956.2907163648995 380.0 572.0 -0.019363583387513355 -0.02113034857957602
16 RADIAL 760 1140 1334.1020252034596 380.0 570.0 -0.046335939214451595 0.004616561317005841
283 RADIAL 760 1140 1338.4993548429059 380.0 570.0 -0.1455197127861854 -0.010695928497229494
444 RADIAL 760 1013 1216.4346356473081 380.0 506.5 -0.02391703650783595 -0.0013643517812155712
524 RADIAL 1013 767 1000.0677828914656 506.5 383.2972972972973 0.08991702018427657 0.0014730132505877947
346 RADIAL 1013 767 699.2953929720954 506.5 383.2972972972973 0.01656489020540629 -0.011707909322453108
230 RADIAL 760 1140 867.2128437208961 380.0 570.0 0.3253597725628103 -2.506728746512138
275 RADIAL 760 1013 796.3362486337337 380.0 506.50000000000006 0.05696749519320051 -0.09376893887283776
243 RADIAL 760 1140 827.7141444303693 380.0 570.0 0.018516098234835743 0.020635872065300147
405 RADIAL 760 1144 951.640704139091 380.0 572.0 -0.015574375810542593 0.030671555222761427
406 RADIAL 760 1145 508.14406029800034 379.99999999999994 572.5 0.021035331862462692 -0.04146078127204877
156 RADIAL 1144 760 883.7331118943268 572.0 380.0 0.02428095382692837 0.005357132947578453
