# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 34
392 RADIAL 760 1013 841.2182143087379 380.0 506.5 0.06655558582301944 0.007465666503618861
202 RADIAL 1140 760 936.0014768262158 570.0 380.0 -0.1756975690537692 0.14467055750475874
267 RADIAL 760 1013 1070.3600666685688 380.00000000000006 506.49999999999994 -0.17630444519536922 0.17150970979304708
97 RADIAL 773 773 813.3777821254289 386.5 386.5 0.09047482455357282 -0.16110517437594785
467 RADIAL 760 1013 1082.3788333373884 380.00000000000006 506.49999999999994 0.013106954575496432 -0.0054342875725699675
69 RADIAL 760 1013 1042.7363265264873 380.0 506.5 -0.07080014348055795 -0.024887337099700126
150 RADIAL 760 1013 891.2386047931743 380.0 506.5 -0.18897108699610218 0.1385298555458501
120 RADIAL 760 1140 1097.356145007104 380.0 570.0 0.11239926708621377 -0.4233637224596679
480 RADIAL 760 1013 1064.9198504639435 380.0 506.5 -0.17346815702618112 0.18446444147192645
389 RADIAL 760 1013 847.675662095492 380.0 506.5 0.056456310227472134 -0.05555222043706147
240 RADIAL 1688 777 769.5054637565456 844.0000220284279 388.4444538025529 -0.005847889900710426 0.0369099091257302
149 RADIAL 760 1013 1044.2267428243217 380.0 506.5 -0.1007404836138587 -0.020269987295720795
445 RADIAL 760 1354 1329.064917778705 380.0 677.0 -0.079898844351515 -0.03768629120081168
324 RADIAL 760 1013 799.0725790432164 380.0 506.5 0.062112565697559435 -0.12063852247582547
138 RADIAL 1139 760 980.343401213082 569.5 380.0 -0.045810740352265414 -0.0027373471322941433
187 RADIAL 1149 760 888.8957495249998 574.5 380.0 -0.059181834304388545 -0.047780800184164245
519 RADIAL 760 943 1010.6526220392126 380.0 471.7241379310345 -0.09266967060245579 0.003133617193582955
68 RADIAL 760 1013 854.1303606025558 380.0 506.49999999999994 0.07625305473230536 -0.09868801026224269
525 RADIAL 760 1011 1195.421975959304 380.0 505.5 0.9351775764623809 -3.318939501717448
35 RADIAL 760 1140 1487.7748775508728 380.0 570.0 -0.0016575223903114663 -6.388708159545901e-05
308 RADIAL 1175 760 551.786245955533 587.5 380.0 0.027278521074090144 0.0008874298575745321
430 RADIAL 1013 767 931.5229778682988 506.5 383.2972972972973 0.0644831278488883 -0.01461583113281883
328 RADIAL 1013 760 824.5835930991678 506.5 380.0 -0.0313190223329968 -0.0020094899794640304
107 RADIAL 760 1013 1213.7190100744028 380.0 506.5 -0.07228696208208714 -0.0023333361034211957
129 RADIAL 760 1013 1195.014851439869 380.0 506.5 -0.5415103157338552 4.059865630935186
390 RADIAL 760 1353 1623.158117555704 380.0 676.5 0.1350038136213553 0.021890963162069715
16 RADIAL 760 1140 1338.6421428055532 380.0 570.0 -0.04697656016637324 -0.0031189155230747843
283 RADIAL 760 1140 1338.3792742658143 380.0 570.0 -0.08873900999975991 -0.006350446453924085
352 RADIAL 760 1013 822.8637054747104 380.0 506.5 -0.020878540468869323 -0.04080274383979673
358 RADIAL 1013 760 724.1863333116892 506.49999999999994 380.00000000000006 0.05720126595796218 0.005447897831392082
218 RADIAL 760 760 542.8571428571428 380.0 380.0 0.0 0.0
92 RADIAL 760 1015 1217.6170212765958 380.0 507.5 0.0 0.0
454 RADIAL 760 1351 1621.3333333333335 380.0 675.5 0.0 0.0
518 RADIAL 760 1011 1213.4876033057851 380.0 505.5 0.0 0.0
