# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 12581, mean track length: 5.18
0 -0.05243510997444745 -0.2698800660777632 1.175194480776507 131 106 85 0.63
1 0.007175980068131802 -0.2511373536868534 1.149763217583041 102 86 66 0.62
2 -0.03564189871344154 -0.2624851668746896 1.164828747902062 110 83 69 0.1
3 -0.04964979175914423 -0.2421711515569882 1.162452875640309 78 49 37 0.64
4 -0.01197899742089201 -0.2012705291455982 1.171637301050507 119 103 86 0.54
5 -0.02461841308846563 -0.2098704959125977 1.181780292475941 54 36 25 0.29
6 -0.03224917869622936 -0.2112092725061974 1.176814606954561 114 75 33 0.49
7 -0.04677626159631078 -0.2363105866230155 1.16123681162092 116 96 74 0.33
8 -0.04322745283496262 -0.2170217808053627 1.168059735018409 67 50 35 0.37
9 -0.05452091856337711 -0.2165841969985889 1.163862241255091 78 56 42 0.26
10 -0.06041585496654134 -0.2220132856009862 1.159243742295667 128 109 88 0.37
11 0.007163102068285281 -0.1968560217448541 1.148313814157447 82 62 51 0.23
12 -0.02421512727243564 -0.1619976639030666 1.184941588140191 94 59 31 0.33
13 -0.04637101770219652 -0.1887195912339199 1.178713262694005 132 112 99 0.49
14 -0.03936160586770049 -0.1849956732447373 1.173964806348975 81 52 39 0.49
15 -0.05617377647320547 -0.186031244563289 1.16639875397607 52 33 22 0.12
16 -0.07002470419844399 -0.2188922728021998 1.154181247567211 107 81 66 0.22
17 -0.06565226546726849 -0.1894624016570492 1.165636812024457 146 125 105 0.11
18 -0.07958065314130248 -0.2137418326586742 1.146257577731997 85 57 43 0.49
19 -0.09239989498560128 -0.2242202517541643 1.138089038445076 100 99 104 0.37
20 -0.09490568516982453 -0.2248102856072083 1.136441654284892 159 173 175 0.08
21 -0.000109114933323419 -0.1630286207254389 1.162860403293631 87 48 41 0.68
22 -0.02057523277651443 -0.1455817482381149 1.191475651327813 95 62 39 0.23
23 -0.01432120248750002 -0.1469514565901774 1.185103882331234 63 43 39 0.17
24 -0.02340107790818962 -0.1454611950645098 1.190281920085616 62 39 24 0.19
25 -0.02354718926413071 -0.1382816582828488 1.18903825100577 81 51 38 0.45
26 -0.04106315514607549 -0.1630535739332482 1.175448285138993 107 67 32 0.25
27 -0.03664956197547043 -0.1501419414757089 1.180149930406031 90 59 40 0.27
28 -0.04031710660968955 -0.1408159890542965 1.179122588255851 102 61 28 0.39
29 -0.06647164589640958 -0.1628282165275391 1.161512409210992 64 44 30 0.36
30 -0.07691548455581719 -0.176613708788361 1.155595252292631 65 47 41 0.31
31 -0.08025037924763091 -0.1805284520737549 1.152874010784558 123 100 81 0.21
32 -0.08999081926344887 -0.1906447192030413 1.142170358352843 137 113 95 0.34
33 -0.02676996432498171 -0.1138549470410498 1.19063520103856 130 92 53 0.47
34 -0.04324221928686658 -0.1181809565476718 1.187941970344728 141 120 100 0.24
35 -0.04817276676189265 -0.1199564055467844 1.178003205848042 99 62 29 0.37
36 -0.06360348134338972 -0.1319706766595866 1.167620717190744 96 65 35 0.22
37 -0.07175356502474149 -0.1324891899681411 1.168922527369708 78 53 36 0.34
38 -0.09554713380422841 -0.1814193903884088 1.140795267499656 55 40 32 0.07
39 -0.1032053115451303 -0.1816204948287932 1.137232509207268 105 74 63 0.18
40 -0.09713779927409032 -0.172453024072817 1.138553032634269 147 104 67 0.35
41 0.0304550481416963 -0.170184505479694 1.117305777040865 70 55 47 0.31
42 0.01996438936765323 -0.1319328554129251 1.150332487239066 87 66 58 0.54
