# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 79
138 RADIAL 1139 760 1005.0874083440127 569.5 380.0 -0.07415546138382444 0.11928571742282934
107 RADIAL 760 1013 1134.6171164084474 380.0 506.5 0.08806030130096378 -1.3039674520329587
187 RADIAL 1149 760 901.0873141169401 574.5 380.0 -0.06569960796024374 -0.012708817448104832
430 RADIAL 1013 767 921.9410893093702 506.5 383.2972972972973 0.08681979982024247 -0.1532947286703012
68 RADIAL 760 1013 867.2702801528501 380.0 506.49999999999994 0.09375964757060481 -0.12026500706969327
389 RADIAL 760 1013 863.2217673755592 380.0 506.5 0.08730791733133231 -0.12350000481292803
312 RADIAL 1013 767 1000.3297746550195 506.5 383.2972972972973 0.033523704922904095 -0.18121072366676522
202 RADIAL 1140 760 957.7385686913223 570.0 380.0 -0.19196134086024372 0.18131364917430065
149 RADIAL 760 1013 1059.4302414339668 380.0 506.5 -0.14957510880041738 0.17871792257777241
480 RADIAL 760 1013 1080.482359094906 380.0 506.5 -0.17208510005429956 0.22559025896981144
390 RADIAL 760 1353 1619.965330569958 380.0 676.5 -0.08112895204542148 -0.0030039240676773054
240 RADIAL 1688 777 776.791571681276 844.0000220284279 388.4444538025529 0.006977573623156415 -0.0055799275228440625
324 RADIAL 760 1013 800.3571535761208 380.0 506.5 0.04203905345148706 -0.09787662691363185
519 RADIAL 760 943 1072.4326163141227 380.0 471.7241379310345 -0.40304632981697786 1.6053906076161908
283 RADIAL 760 1140 1337.1482670835494 380.0 570.0 -0.11131388640899992 -0.00760485599298732
308 RADIAL 1175 760 643.6482321495138 587.5 380.0 0.32390206499432156 -2.505998455060003
445 RADIAL 760 1354 1358.1757800276487 380.0 677.0 -0.12809080640335163 0.21661628598379384
1 RADIAL 760 1140 1338.9604639443273 380.0 570.0 0.0009093136064544266 3.143338470322186e-05
129 RADIAL 760 1013 1172.8080829323374 380.0 506.5 -0.6827742876413148 4.053037209296407
