# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 12684, mean track length: 5.1
0 -0.09504307778093657 -0.04155664338188975 1.168188540483202 148 108 76 0.56
1 -0.1044100481053812 -0.009095780931322628 1.166655576177932 121 76 35 0.8
2 -0.06082561127566388 0.02042427096626193 1.189996387377458 163 122 85 0.18
3 -0.04809592487094655 0.09999659071729972 1.197611228906379 73 44 23 0.4
4 -0.03605923728236338 0.167870489255762 1.208175548896911 56 25 13 0.24
5 -0.04942039549589528 0.2125817449332212 1.199829928185339 90 58 33 0.18
6 -0.02372461316527424 0.2387960352043609 1.203077567080362 89 47 24 0.31
7 -0.1078008348599219 0.2531770446635814 1.148773450778918 66 37 13 0.35
8 -0.06219760615944747 -0.2666310274205296 1.163717686696122 120 98 86 0.18
9 -0.1426273787052502 -0.01680541926506635 1.13635119901982 149 101 53 0.36
10 -0.02559903252929607 0.009247587369751453 1.203633349111001 88 52 29 0.38
11 -0.1118009393537645 0.01644986031712614 1.162198456678104 84 50 22 0.28
12 -0.1745143510189968 0.0305905270163323 1.117866628858508 91 55 22 0.64
13 -0.05415504722165682 0.07266596064443603 1.196077867948182 157 109 62 0.43
14 -0.1134815224517686 0.1092476714536132 1.172202144239553 78 46 21 0.31
15 -0.1123659995690126 0.113683349552326 1.169382518810222 106 60 26 1.29
16 -0.1364165360200274 0.1487232307703099 1.151410855753325 112 74 37 0.47
17 -0.03366317981643852 0.1812781780873673 1.205020955758653 166 88 44 0.18
18 -0.08361960791807244 0.1763954967594657 1.16960926540117 70 35 17 0.22
19 -0.05945775833744116 0.2137925381469088 1.194345507846643 110 82 58 0.19
20 -0.04010116597359131 0.2298121309083569 1.195424287820088 123 81 41 0.22
21 -0.05199339076656623 0.2585659755559305 1.174743038612103 85 40 10 0.07
22 -0.09423456025995441 -0.005967307504325503 1.175383746552677 77 49 31 0.46
23 -0.06857994617345453 -0.000990954001399591 1.182443124535436 90 55 32 0.32
24 -0.08327662342390874 0.01115173369337163 1.179543034403143 137 94 54 0.35
25 -0.1590519452350051 0.01496890320840083 1.121138488696844 147 93 54 0.6
26 -0.0567005915951973 0.07400885968485171 1.195816301723891 144 87 45 0.16
27 -0.05039098631060934 0.09753146465734613 1.198417633993612 73 43 24 0.38
28 -0.1273067332782674 0.09340000845250046 1.167822611822938 156 101 44 0.6
29 -0.1346292161321511 0.101252960937444 1.16021039296084 139 94 54 0.32
30 -0.1772978142706821 0.08875673882777751 1.130083824326029 133 88 55 0.65
31 -0.09948387103081713 0.1121070157949365 1.179574687917104 138 102 69 0.48
32 -0.1376188751889073 0.1030885760193636 1.158257202682468 123 88 55 0.76
33 -0.1332028643514058 0.1070043210618112 1.159580218958676 145 104 63 1.08
34 -0.02091026751634389 0.1278638250784686 1.221146661353881 43 19 8 0.17
35 -0.05255224859339341 0.1273994277249834 1.19778133124261 80 42 19 1.02
36 -0.08193215942548526 0.1212528113995528 1.176338135121526 151 95 46 0.29
37 -0.02661942187944827 0.1613350153309502 1.215805482018337 67 40 26 0.47
38 -0.1193112796390229 0.1565541739846883 1.159058728944435 88 45 20 0.45
39 -0.1237202903745511 0.1531558318528569 1.158423088452357 44 24 9 0.41
40 -0.04796672001292068 0.1854771999245399 1.192168729540022 159 108 61 0.36
41 -0.04843900717371075 0.1892658101057739 1.190174231388838 150 109 73 0.31
42 -0.1040673307639938 0.2184172941122856 1.159726219884742 128 84 44 0.29
43 -0.1072257852276706 0.2272766273289031 1.155032778268429 150 110 77 0.46
44 -0.07018309744296586 0.2406547413098112 1.169474349458334 156 119 87 0.21
45 -0.1574911944172839 0.2306320345688088 1.117444545532523 160 121 82 0.32
46 -0.1797711589604362 0.2290665034240885 1.097025767575478 114 61 26 0.29
47 -0.1412738793860905 -0.07800315200634622 1.141084353116113 137 115 100 0.75
48 -0.02171461060645996 -0.05638364941179325 1.200707749350011 91 55 35 0.36
49 -0.04243759872093633 -0.02551581290405613 1.19378287309297 90 54 31 0.73
50 -0.1568715753540623 -0.01711558363928201 1.124067468601047 161 112 67 0.91
51 -0.036920026420737 0.03759534154657368 1.20145895899817 97 52 23 0.38
52 -0.05451965926776015 0.03852904107667704 1.188690587795049 98 55 32 0.36
53 -0.1186530941581695 0.06394854736571187 1.178511140254338 167 117 68 0.35
54 -0.1944307235001904 0.02621213434322167 1.10308430722944 104 89 84 1.27
55 -0.2084712480059364 0.05861525345232438 1.102536856963305 141 116 95 0.74
56 -0.1115960307702459 0.1075882114820522 1.173887460067426 154 111 68 0.46
57 -0.1139340447939404 0.1243369145112231 1.168051392849377 125 86 46 0.48
58 -0.1447805478687547 0.1236133498274327 1.149230873233838 131 86 48 0.48
59 -0.1350643893435725 0.1468539611624511 1.15196030908837 50 28 17 0.55
60 -0.02546229744145462 0.1704256854573393 1.216375683362752 141 77 37 0.42
61 -0.08615532000931542 0.1816094644715488 1.166081004525822 123 86 56 0.25
62 -0.1204238307624728 0.1756167792688645 1.155346503569955 97 58 30 0.24
63 -0.1220892470562436 0.1762324243877794 1.15306294863937 138 91 55 0.58
64 -0.1231414698504673 0.1984529142214482 1.158915242626763 124 91 62 0.46
65 -0.1121072303244598 0.2164892997794472 1.149066639726577 91 60 38 0.47
66 -0.0774640113690292 0.2335101730339868 1.16731754959032 62 30 16 0.5
67 -0.1785096821087062 0.234781047998693 1.099333941248261 95 60 34 0.4
68 -0.001109015336517194 0.2858002754793005 1.176436928444105 96 67 41 0.68
69 -0.04124819335416352 0.001189253086393061 1.202329891780385 134 96 62 0.75
70 -0.0833500231261915 0.01258054494820599 1.177291357679349 63 38 28 0.39
71 -0.03462488149493348 0.04093738591184298 1.201056626803348 172 120 70 0.76
72 -0.1613862164580042 0.01244137016558494 1.12130026266931 92 56 34 0.33
73 -0.04404874057074509 0.07720501453687878 1.201141345186015 81 45 25 0.64
74 -0.1090968593296451 0.1142344903145951 1.169736953165319 158 98 46 0.55
75 -0.114547692470419 0.1622036405334954 1.16319316314214 72 38 19 0.35
76 -0.1379497008627554 0.1577539727192658 1.147317186316777 159 97 51 0.37
77 -0.07394370487942464 0.1683871203767004 1.182846324532166 73 35 16 0.32
78 -0.1412822741041304 0.1710412863377951 1.143317414662336 116 61 31 0.49
79 -0.02241941607740966 0.2303318544026554 1.204134853499865 58 34 19 0.56
80 -0.1602270678928811 0.221868970183615 1.119100383388076 158 117 80 0.61
81 -0.1777621736021554 0.2588809840555555 1.098388941598933 101 64 35 0.26
82 -0.0382449122007511 -0.007411492470833669 1.201266992282348 60 37 25 0.5
83 -0.07564417492661746 0.05981434219569115 1.184412617312489 172 137 96 0.84
84 -0.1023578855478631 0.1125741166859251 1.179304641088885 75 46 30 0.43
85 -0.06038638312013667 0.2303486506631579 1.179808611980197 173 114 53 0.45
86 -0.1359894474986141 0.2159832178807643 1.129630467660161 64 32 14 0.66
87 -0.1758241084240054 0.2166606984181598 1.104529928707861 162 104 57 0.5
88 -0.06992287460224694 0.2809379602764971 1.167919559724313 107 77 52 0.53
89 -0.05213755323764252 -0.2620209101826569 1.178626435176185 99 71 54 1.26
90 -0.06172025336511505 0.03964945370316048 1.191518778521363 175 126 70 1.14
91 -0.16525304875165 0.01674525247952763 1.120497671234597 166 115 68 0.91
92 -0.1112329505160037 0.1107295061768867 1.17183195461319 69 40 20 1.23
93 -0.06140446241773356 0.1509944072565331 1.198133246606131 55 37 19 0.59
94 -0.1461438567615308 0.2197135088638391 1.128997913768159 107 62 33 0.43
95 -0.1239502273102039 0.2474487546336595 1.130372515298251 124 66 30 0.79
96 -0.06880585870102313 0.2756051762318555 1.17332814680518 126 91 56 0.38
97 -0.1468203572551357 0.01044188145848851 1.13524712031674 141 100 67 0.87
98 -0.1409238909875407 0.2170360743530371 1.13364474306177 156 106 63 1.21
99 -0.1371344606000396 0.1699328650863114 1.145099345391797 177 134 81 0.92
100 -0.06028652242187982 -0.2224250406097673 1.159854683271223 138 116 91 0.36
101 -0.02287766068806857 -0.1247602158555607 1.19245661073498 106 70 34 0.43
102 -0.03656746235547281 -0.1513315544158833 1.179977894279018 96 61 38 0.22
103 -0.04025125331750407 -0.1420404991948427 1.178895665948418 102 61 28 0.37
104 -0.09652279729296159 -0.218291437373091 1.135276797226935 111 116 126 0.28
105 -0.0481536512918222 -0.1213657975500684 1.177536261156597 99 62 29 0.35
106 -0.06355731747143417 -0.1332216832072222 1.167375470053705 96 65 35 0.2
107 -0.09528094198512999 -0.156263460864821 1.141412974425444 91 63 41 0.2
108 -0.1097924545531934 -0.1585515020352558 1.131718155927332 70 46 36 1.15
109 -0.1217286107842252 -0.1594384592384301 1.125442450296428 129 131 132 0.25
110 -0.04456723731328194 -0.08342319637485435 1.185925344631849 69 45 31 0.51
111 -0.06952786486218082 -0.07774220085761591 1.169471193165628 128 93 60 0.36
112 -0.08292390336900513 -0.08408669680429159 1.165356764497208 89 60 34 0.31
113 -0.1058504475027809 -0.1081013794374679 1.143524903856558 135 103 68 0.4
114 -0.1143664932267103 -0.1118929977886067 1.137738067771625 104 67 34 0.25
115 -0.1277260454594623 -0.1358353920794545 1.12356106574497 152 120 97 0.52
116 -0.1355469282824544 -0.12565293341821 1.122075354023736 104 110 114 0.41
117 -0.01725078939879621 -0.006706553334680898 1.208741645012236 140 110 77 0.31
118 -0.01841431336376531 -0.007490357692474414 1.209389511643513 92 53 16 0.5
119 -0.05510499884953224 -0.03544204734086848 1.187134106963735 172 142 108 0.19
120 -0.05754605784385497 -0.02761214591871475 1.186835790494882 83 47 21 0.06
121 -0.07821678744107741 -0.05591149426520542 1.169882397958191 73 46 27 0.35
122 -0.1196875803246174 -0.0962088408874453 1.139163843300522 100 68 39 0.19
123 -0.1217893885377678 -0.0899301522578923 1.136378004920463 98 64 37 0.42
124 -0.1393326193534873 -0.1176093583475948 1.119513568234437 129 140 153 0.31
125 -0.01062009920178347 0.002486424721593494 1.203745706930284 120 77 46 0.58
126 -0.02650834815600778 -0.002636202119732922 1.201898012530298 73 47 31 0.45
127 0.001399640459361084 0.02090616517083488 1.194137781763926 79 47 23 0.21
128 -0.03511824940670727 0.02451505563471418 1.203122799019234 170 132 94 0.19
129 -0.0376450757856403 0.02389313804093757 1.202568465049535 71 39 18 0.36
130 -0.0437965406381865 0.01946511038172827 1.198878824160087 77 44 13 0.58
131 -0.05320437546175344 0.01457790967229827 1.193791287643923 145 101 53 0.59
132 -0.06963272598056958 -0.002735581826798561 1.183267224894857 160 112 73 0.35
133 -0.09058149342450206 -0.02001102123022758 1.172579320230607 137 106 76 0.43
134 -0.1330369789141695 -0.04298270856346537 1.137123162682261 73 44 26 0.31
135 0.05490274098089598 -0.009154675354410002 1.131348313360626 123 86 60 0.29
136 -0.03823408681459139 0.02587945968203242 1.200384669128487 97 52 19 0.23
137 -0.06056013608542654 0.02135439255711358 1.188359125886227 92 65 40 0.61
