# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 10
107 RADIAL 760 1013 1129.2108289397638 380.0 506.5 0.0022472774757280873 -1.3419594889010495
187 RADIAL 1149 760 887.0710842189767 574.5 380.0 -0.0774837394878437 -0.04281570172853125
430 RADIAL 1013 767 926.3517907575482 506.5 383.2972972972973 -0.009332581774767104 -0.04568882204935234
389 RADIAL 760 1013 846.3362445128361 380.0 506.5 0.039620437564383396 -0.06053404823832591
390 RADIAL 760 1353 1623.2782086497032 380.0 676.5 -0.02977061727584122 -0.0016541182267539268
519 RADIAL 760 943 1070.1557185556715 380.0 471.7241379310345 -0.4738778866861708 1.5844265234903816
1 RADIAL 760 1140 1338.9707187542012 380.0 570.0 0.002948880779571969 0.00011008191293304701
35 RADIAL 760 1140 1487.7811636118884 380.0 570.0 3.024575667840545e-05 2.179366198299258e-07
218 RADIAL 760 760 542.8571428571428 380.0 380.0 0.0 0.0
282 RADIAL 1013 760 1021.8086956521739 506.5 380.0 0.0 0.0
