# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 12651, mean track length: 5.02
0 -0.08717948301020051 -0.08339599351082461 1.163026811919315 81 52 27 0.33
1 -0.03571987177137753 -0.00761450111281492 1.200535524336173 171 115 70 0.21
2 -0.05671862689900231 0.03598905564270699 1.187219475060863 161 108 60 0.18
3 -0.06817827308713104 0.1174161124962079 1.192214217231675 81 45 22 0.59
4 -0.02820969073276736 0.2241580077930869 1.202724622952147 81 43 24 0.37
5 -0.09400464791399693 -0.005149812326602166 1.175574811678475 76 46 27 0.42
6 -0.1217860337710544 0.006198537102107271 1.159378422763132 90 55 22 0.36
7 -0.05093563252744898 0.07410538559745294 1.198439004379264 166 101 52 0.39
8 -0.02419395482786302 0.08039555460849052 1.205907137792587 145 92 46 0.75
9 -0.02390753717199606 0.08435211687985961 1.207144816885489 107 64 37 0.4
10 -0.03373845852050206 0.105202209631748 1.212298018650533 82 47 18 0.8
11 -0.02047999882107265 0.1238409084448626 1.218164206060967 125 71 36 0.19
12 -0.0652358058102217 0.1191421868071381 1.192738441118264 73 43 25 0.61
13 -0.1376992790290022 0.1044312251784679 1.159543874827626 191 150 101 0.54
14 -0.1327047111515469 0.1079848031610208 1.160168531726922 143 99 58 0.76
15 -0.04495880039179245 0.2135479620290052 1.204748933297193 99 68 41 0.41
16 -0.1959935120980255 0.02324889048876105 1.098273627112423 101 89 81 1.01
17 -0.1177457255670293 0.09699193998329581 1.173069456007286 90 55 23 0.63
18 -0.1338746150271228 0.09904522734848981 1.161244862754069 156 118 79 0.53
19 -0.02392191250241671 0.1236232412558361 1.223934821343277 170 115 70 0.66
20 -0.1450006226134558 0.1013457789509003 1.153535419029016 150 111 76 0.86
21 -0.02367041366024986 0.1283862621650076 1.21987528544708 86 53 32 0.31
22 -0.1470325238769642 0.1157008165935131 1.146410978835379 163 113 67 0.55
23 -0.1585624500825457 0.2299355857079979 1.118381029562493 155 104 61 0.33
24 -0.09699662159568651 0.01180553323164224 1.174649549645155 74 47 34 0.34
25 -0.1701567083712762 0.01226731357604049 1.116689711716225 89 53 27 0.7
26 -0.04419406413273258 0.07599476304739666 1.198930880918273 82 47 27 0.62
27 -0.03360498185631666 0.07906380942069047 1.201359818166502 142 89 41 0.57
28 -0.1091906815911003 0.1142903765470529 1.16998816093566 210 156 93 0.25
29 -0.1367927122357721 0.1757884279840778 1.144360016731583 131 84 52 0.69
30 -0.1595976804687598 0.2223341683172955 1.120236558667879 167 127 88 0.63
31 -0.03828096144552684 -0.00783663321836503 1.200008098449609 64 39 24 0.66
