# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 18
370 RADIAL 1013 760 752.5142857142857 506.5 380.0 0.0 0.0
356 RADIAL 760 1013 1170.5974025974026 380.0 506.5 0.0 0.0
224 RADIAL 760 1140 815.2386746273022 380.0 570.0 -0.10480797631940827 -0.05554598063970611
185 RADIAL 760 1146 883.7352926872567 380.0 573.0 0.07352978419647317 0.021812843352010846
186 RADIAL 1141 760 880.0263340471937 570.5 380.0 0.05839162182960125 0.015921567124762913
170 RADIAL 760 1013 810.6776497335383 380.0 506.50000000000006 -0.012866594213511696 -0.004030444305085654
34 RADIAL 760 1140 1150.5563481347942 380.0 570.0 0.026405264002421755 0.0035149670506541783
183 RADIAL 1140 760 879.4285714285714 570.0 380.0 0.0 0.0
227 RADIAL 760 1140 814.2857142857144 380.0 570.0 0.0 0.0
6 RADIAL 1140 760 892.678470439814 570.0 380.0 0.0 0.0
232 RADIAL 1140 760 920.1793721973094 570.0 380.0 0.0 0.0
11 RADIAL 760 1140 1339.0177056597208 380.0 570.0 0.0 0.0
271 RADIAL 760 1140 879.5187969924813 380.0 570.0 0.0 0.0
244 RADIAL 760 1140 814.2857142857144 380.0 570.0 0.0 0.0
374 RADIAL 760 891 751.5078029455726 380.0 445.5 0.0 0.0
504 RADIAL 760 1013 1216.0 380.0 506.50000000000006 0.0 0.0
254 RADIAL 760 1140 814.2857142857144 380.0 570.0 0.0 0.0
255 RADIAL 760 1140 814.2857142857144 380.0 570.0 0.0 0.0
