# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 19983, mean track length: 5.32
0 0.00341633853790102 -0.2765999948641797 1.158669496449234 126 76 37 0.62
1 0.02614264805137184 -0.2685617257584072 1.152097051171369 184 141 86 0.41
2 0.007524583140677665 -0.2823155117842797 1.153173131869228 162 121 76 0.72
3 0.01496221560569599 -0.2671642913421207 1.14635725876136 165 146 114 1.04
4 0.000833951137398925 -0.2628966191691063 1.148199411417427 180 150 104 0.43
5 -0.009529591956384864 -0.2598268105404904 1.14232397121442 95 58 34 0.44
6 -0.05982910256507101 -0.1116092128913451 1.232483344912527 222 220 214 1.49
7 -0.0607215042762021 -0.1171294958360296 1.230126247158595 136 120 101 1.57
8 0.02777579002429964 -0.2367805661068484 1.164677595842808 175 143 97 0.2
9 0.01010603872567056 -0.2537824646352749 1.147831229126031 123 71 32 0.42
10 0.0006972175717321338 -0.2526770126547137 1.140036810771386 168 142 107 0.85
11 0.01315066327919401 -0.2481105490399895 1.144206405284837 184 156 117 0.36
12 0.003749350216601999 -0.2518717246298394 1.135601361937605 174 140 97 0.36
13 -0.09436872205039309 -0.1204799584829229 1.202938784809058 151 136 112 0.75
14 0.001596974011424279 -0.2607265227453284 1.130535163137728 122 84 52 0.44
15 -0.001739298029306557 -0.3085506874878129 1.094586686385498 145 122 116 0.78
16 0.0003427478344520396 -0.3064350268759374 1.096478619425052 198 213 206 0.83
17 0.03994616859192146 -0.2192176520906565 1.170330085321156 201 228 223 0.79
18 0.03655167109213342 -0.2075186332239309 1.171897059570652 111 67 44 0.7
19 0.02600322469007355 -0.2120027830590109 1.16337620012232 111 73 48 0.48
20 0.02562084329182179 -0.2083065733010929 1.164451889163329 201 150 97 0.33
21 0.02860576086652733 -0.205549030010698 1.163939597839989 180 145 99 0.67
22 0.01937984693756878 -0.1984808505919425 1.163619376109832 125 76 41 0.24
23 0.01876135514535437 -0.2132910788975825 1.159213819316633 106 67 39 0.36
24 0.01935697788189472 -0.2257609268796769 1.157300545920361 180 140 97 0.22
25 0.01375262944474348 -0.2149234393951961 1.15579769476543 137 93 53 0.33
26 0.003921483137167281 -0.2089591991840533 1.156960698079435 96 44 20 0.09
27 0.006808524361588575 -0.2148935016482456 1.151490749563553 183 149 100 0.27
28 0.009505925642703805 -0.2141942406065512 1.150778676862131 118 83 64 0.18
29 -0.02965961722467492 -0.1570746559725664 1.170262655893969 200 165 109 0.73
30 -0.002270509544795796 -0.2014430526482622 1.151115433974836 96 53 25 0.29
31 0.0009318084021111006 -0.227189911509932 1.1456170200442 109 62 33 0.3
32 -0.002079189844037266 -0.2270778771514702 1.144014781684729 109 64 34 0.26
33 -0.006780388146651273 -0.2199377062166235 1.141337067585928 109 68 40 0.32
34 -0.00830674366164813 -0.2208770109665185 1.139433888483377 91 62 46 0.27
35 -0.006173566737941227 -0.22004550502279 1.138460085712404 195 151 101 0.46
36 -0.01265596882027881 -0.2306195604054294 1.135888685389974 109 82 65 0.53
37 -0.01365631793363487 -0.2220418125458476 1.135788016144451 108 76 54 0.14
38 -0.02322646823242269 -0.2225283782837036 1.128909375058901 114 69 41 0.25
39 -0.02303274369047126 -0.2418076741182085 1.120954745631717 169 123 77 0.61
40 -0.03543503182659408 -0.2274205886987123 1.11791749790872 101 54 30 0.27
41 0.03361670402675654 -0.1833214727943042 1.174434017219818 205 160 95 0.32
42 0.03132714812735937 -0.1862100740085284 1.169343330654336 118 76 47 0.6
43 0.02610481893562228 -0.1894275388090615 1.167691576452361 117 56 26 0.17
44 0.02848228419006782 -0.1708637518714214 1.171956518633904 199 168 120 0.55
45 0.02133666300699932 -0.1784525887255441 1.167648806178472 160 137 105 0.32
46 0.02354382505709662 -0.1756211740465461 1.169364211253136 119 82 45 0.28
47 0.02257568152337253 -0.1898870288029368 1.163768773419736 178 146 106 0.3
48 0.01757134597661136 -0.189972525121518 1.160440030769263 183 148 103 0.13
49 0.02051521870581829 -0.1820533213163467 1.163942325002417 161 135 92 0.24
50 0.01577041718271466 -0.1794088132702871 1.157181852190877 176 136 86 0.77
51 0.004539663540939876 -0.1933123977088285 1.154775274279297 84 41 17 0.47
52 -0.004675334406607612 -0.1923833824385467 1.150620410011833 112 59 29 0.38
53 -0.0142763758326509 -0.1990717613122553 1.139197160394732 95 61 38 0.49
54 -0.01183928371437287 -0.1826165178447633 1.14725766857243 183 131 84 0.26
