# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 125
160 RADIAL 1351 754 1120.8469504278812 675.5 377.0232558139535 0.20245975343421874 -0.45321575021683347
66 RADIAL 1013 767 846.4391158641198 506.5 383.2972972972973 0.09147873476750955 -0.1754096461897227
6 RADIAL 1140 760 968.3894989303388 570.0 380.0 -0.0773376286529711 -0.27525316773196784
200 RADIAL 1140 760 936.6290579531682 570.0 380.0 -0.14205958857285875 0.20301953919536042
170 RADIAL 760 1013 794.5400265707294 380.0 506.50000000000006 0.07636905818604418 0.0071407807919213655
186 RADIAL 1141 760 876.8926250783155 570.5 380.0 -0.0216400187761972 0.030067374183828835
232 RADIAL 1140 760 938.5571543019598 570.0 380.0 -0.12696804881377138 0.2584197126836239
201 RADIAL 1140 760 938.8821429168099 570.0 380.0 -0.14180169253025746 0.19846604702180554
184 RADIAL 1153 760 887.1666905924093 576.5 380.0 -0.018977220922633622 0.03770573600879198
185 RADIAL 760 1146 878.3380286385218 380.0 573.0 -0.015160033628656587 0.020968343934307
34 RADIAL 760 1140 1140.2285128790681 380.0 570.0 0.024694572240430847 -0.02939035844912418
465 RADIAL 760 1013 1090.3659197579243 380.00000000000006 506.49999999999994 0.02771410487981172 0.1210978258733242
183 RADIAL 1140 760 879.812183969104 570.0 380.0 -0.03031428874138299 -0.0060927093666831005
33 RADIAL 760 1140 1406.8668526034621 380.0 570.0 0.016971374117407876 -0.018096678453441397
356 RADIAL 760 1013 1137.1189142476685 380.0 506.5 -0.03162543032139867 0.14230003626703486
137 RADIAL 1140 760 974.6324624398668 570.0 380.0 -0.030459623674581958 0.19718012612738664
1 RADIAL 760 1140 1335.7480815887384 380.0 570.0 -0.597965033602844 3.962159578031745
177 RADIAL 760 1013 1218.1868008241136 380.0 506.5 0.1417691406669943 0.013837076754085298
491 RADIAL 760 1199 1441.3363136585997 380.0 599.5 0.14077584393173678 0.006637885761838184
500 RADIAL 760 1013 1217.2697731193416 380.0 506.5 -0.11846129284061173 -0.012114001402405027
524 RADIAL 1013 767 992.8162653524753 506.5 383.2972972972973 0.16827645055704785 -0.42386014766888797
300 RADIAL 1140 760 1172.4718890585334 570.0 380.0 -0.028498602256511445 -0.1238450109222491
192 RADIAL 1351 760 1394.601323557639 675.5 380.0 -0.0516192569101413 -0.1254481680790813
412 RADIAL 760 915 1024.0076441325468 380.0 457.5 -0.02659480902231191 0.01817363313276878
381 RADIAL 760 760 963.3473086053507 380.0 380.0 1.0016964782804068 -4.7465095243626205
466 RADIAL 760 1013 1044.8101115002767 380.00000000000006 506.49999999999994 0.060570688239705475 0.006216027803243648
305 RADIAL 1147 765 548.3330930305222 573.5 382.3333333333333 0.08753810410620755 -0.011117821496341463
307 RADIAL 1141 761 522.7313670102697 570.5 380.3333333333333 0.07335986249223056 -0.039844404999397905
370 RADIAL 1013 760 784.7084342813515 506.5 380.0 0.09217878208529487 -0.1382096723733611
207 RADIAL 760 943 1026.1820192280945 380.0 471.7241379310345 -0.12752148546134384 0.09589512931761365
367 RADIAL 760 1140 1000.1825207465507 380.0 570.0 -0.06316344232607547 -0.5283115154948175
239 RADIAL 1013 760 755.9089605980706 506.5 380.0 0.037016700775179164 -0.06275871868281216
238 RADIAL 1013 760 749.8510151680472 506.5 380.0 0.11253781435473513 -0.06781415953738952
144 RADIAL 760 1140 1387.782067870785 380.0 570.0 0.32717328996777734 -0.4705115481367755
48 RADIAL 760 1013 720.5044813199986 380.0 506.5 0.1681694516241776 -0.19288766452956108
254 RADIAL 760 1140 816.3494665695578 380.0 570.0 -0.21064575248740436 -0.07280178430208105
117 RADIAL 1013 760 1028.3750864984763 506.49999999999994 380.00000000000006 -0.20539293863349303 0.25937371577536134
504 RADIAL 760 1013 1216.3525796690835 380.0 506.50000000000006 0.0072173491890784236 -0.024889162219929796
91 RADIAL 760 1013 1207.5719229507847 380.0 506.5 0.054382080615067066 0.0022740142375838766
11 RADIAL 760 1140 1322.8518345077248 380.0 570.0 -0.65924744598029 12.768013372464852
509 RADIAL 760 1013 1204.9792778049834 380.0 506.5 0.10049813460784665 -0.09292481179867257
102 RADIAL 1140 760 2429.950527387058 570.0 380.0 0.42782819143894624 0.023234030563786208
450 RADIAL 760 1013 1197.1826195742274 380.0 506.5 0.04985785143049533 -0.02573868784384836
508 RADIAL 760 1013 1043.9861376728165 380.0 506.5 -0.09783037758792956 -0.0388765309463878
0 RADIAL 760 1140 1317.9870527874803 380.0 570.0 -0.6761311122830479 11.527911375245598
374 RADIAL 760 891 751.056379680018 380.0 445.5 -0.054235777325571485 -0.025475867874133584
86 RADIAL 760 1013 1196.3648199784504 380.0 506.50000000000006 0.09539201930024338 -0.029009410570123077
227 RADIAL 760 1140 815.8221256680534 380.0 570.0 0.138720099688908 0.012238834335837629
271 RADIAL 760 1140 879.9642774483837 380.0 570.0 0.0902152519441599 0.01954846219904496
235 RADIAL 1013 760 751.4645913186738 506.5 380.0 0.00912136967481255 -0.037093573466791915
255 RADIAL 760 1140 815.4058199728274 380.0 570.0 -0.03900688138691829 -0.004327155553126278
475 RADIAL 1013 767 1139.8271524389436 506.5 383.2972972972973 -0.055545365094930396 -0.03070022313152903
385 RADIAL 1013 760 919.2547140812379 506.5 380.0 0.016934301576675234 0.002534979200776259
240 RADIAL 1688 777 782.9255318549791 844.0000220284279 388.4444538025529 -0.0033715113662406712 0.05429675533916903
312 RADIAL 1013 767 1011.2850047482814 506.5 383.2972972972973 0.04630034058234024 -0.21349982338970244
187 RADIAL 1149 760 908.2602981358091 574.5 380.0 -0.06443613079815325 -0.006397040639720144
480 RADIAL 760 1013 1088.359843409318 380.0 506.5 -0.16922736015387338 0.23209846889400365
68 RADIAL 760 1013 873.7672773336817 380.0 506.49999999999994 0.10002177524914463 -0.1250201083417149
324 RADIAL 760 1013 806.4298733215904 380.0 506.5 0.04325398966001818 -0.0936139570808926
389 RADIAL 760 1013 868.6703105907358 380.0 506.5 0.09496793574059526 -0.1295684879783891
202 RADIAL 1140 760 964.4892437146267 570.0 380.0 -0.19335385821098167 0.19393221575529854
430 RADIAL 1013 767 926.9200062006545 506.5 383.2972972972973 0.1343114048502326 -0.32167028362194255
149 RADIAL 760 1013 1068.9446502512385 380.0 506.5 -0.1484037702813024 0.1933522668882257
138 RADIAL 1139 760 1014.6167573970772 569.5 380.0 -0.07349637562742395 0.13694218324423532
107 RADIAL 760 1013 1157.200156898998 380.0 506.5 -0.06307359514863517 -0.00286106590934014
35 RADIAL 760 1140 1486.5742146094103 380.0 570.0 -0.016597446845704394 -0.0002539675465548031
390 RADIAL 760 1353 1608.3968321921968 380.0 676.5 -0.31636914456401966 -0.005853764244091574
