# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 21535, mean track length: 5.51
0 0.002246911887088865 -0.2791959778278451 1.161322074462514 126 76 37 0.64
1 0.003497908031892316 -0.2806801101928831 1.158211799242811 164 112 59 0.68
2 0.06000752911621554 -0.2866216613833745 1.150837076264909 172 162 149 0.3
3 0.01849007457492163 -0.2567931413440207 1.169332452100437 185 158 110 0.02
4 0.008839757929786696 -0.2663595142996877 1.157176534923697 178 134 86 0.56
5 0.009295859934410067 -0.2569481639438494 1.150360294763796 112 69 35 0.43
6 -0.0007338793409139566 -0.309840283614289 1.098946313278681 198 213 206 0.93
7 0.01141017763004265 -0.279689554158372 1.081762404878212 113 77 84 0.13
8 0.0296517400583422 -0.243251981730471 1.165150691125025 178 154 105 0.33
9 0.03767179252144948 -0.2315364527334876 1.166193824447043 168 145 103 0.57
10 0.02630772556428135 -0.2271311544171276 1.165010868896564 182 141 90 0.32
11 0.01923241384220664 -0.2196331699195576 1.165596065325723 142 108 64 0.1
12 -0.003719752066562831 -0.2288134100624037 1.14692686226927 112 68 39 0.31
13 -0.0001939795599433802 -0.2647166910271671 1.130497747048757 108 74 45 0.59
14 -0.01322850162678635 -0.246159764832826 1.133918410684783 184 158 110 0.81
15 -0.01365108879201871 -0.2333401379787167 1.138194850040225 109 82 65 0.54
16 -0.0144876713004608 -0.2765177437681538 1.103860958904293 101 70 48 0.97
17 -0.03586004984739366 -0.2402471789255938 1.11934556227729 125 86 59 0.59
18 0.03966781482108861 -0.2005731412467001 1.175336357351622 192 210 210 0.76
19 0.02870849624519228 -0.2158656467215659 1.166458044900369 108 65 39 0.58
20 0.03191289332036268 -0.2048368217682539 1.171020774532292 164 131 85 0.36
21 0.02342536577985538 -0.203581645360395 1.165869067319576 113 83 61 0.32
22 0.0188464820066957 -0.2016202988954131 1.165550575773685 131 82 45 0.24
23 0.01319739344798276 -0.2180909386107178 1.157826611131423 136 95 59 0.36
24 0.01721235872704469 -0.2103012970455688 1.163195709214482 200 149 93 0.37
25 0.01101733183654074 -0.2092323692594786 1.158737958733091 182 142 96 0.41
26 0.006055583670386944 -0.217769423138747 1.153636008282466 183 149 100 0.3
27 0.004258498609681804 -0.2079717373731806 1.156383621989575 175 137 85 0.24
28 -0.003650867115999767 -0.2034120781679667 1.153755112547157 99 57 30 0.36
29 -0.0006245476728240495 -0.1982992710871745 1.152534820403542 97 56 28 0.21
30 -0.01247760639093881 -0.2226280637790314 1.136745517318492 128 91 61 0.48
31 -0.02770718905998842 -0.2104377014927141 1.137007450790246 181 141 94 0.29
32 -0.02412263192264402 -0.2253571815215092 1.131101637499183 114 69 41 0.27
33 -0.03604900915895809 -0.2257138159185033 1.120742083851176 147 106 65 0.47
