# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 126
170 RADIAL 760 1013 792.7727679681775 380.0 506.50000000000006 0.06463259368064657 0.0013779974645089276
33 RADIAL 760 1140 1409.7924527382593 380.0 570.0 0.010594096776617835 -0.023642492076205907
137 RADIAL 1140 760 977.693206519431 570.0 380.0 -0.037300467645987594 0.18114458014084445
160 RADIAL 1351 754 1117.5662571128598 675.5 377.0232558139535 0.1940572869677942 -0.44481562001136865
34 RADIAL 760 1140 1147.419164179298 380.0 570.0 0.01695709090496635 -0.042093929909818244
6 RADIAL 1140 760 967.8880604679866 570.0 380.0 -0.08859752509258602 -0.2349082612816443
200 RADIAL 1140 760 936.9053029512696 570.0 380.0 -0.15471539119877287 0.22851152556572846
201 RADIAL 1140 760 938.8016642715629 570.0 380.0 -0.15476050965246735 0.2234158946440754
524 RADIAL 1013 767 991.1437803952635 506.5 383.2972972972973 0.13866773370572838 -0.31528104810260527
307 RADIAL 1141 761 525.1320127760929 570.5 380.3333333333333 0.06296214348951802 -0.019886183083429317
184 RADIAL 1153 760 886.9228767974986 576.5 380.0 -0.025135530693494623 0.020777981817830214
183 RADIAL 1140 760 879.5108089019501 570.0 380.0 -0.036140831561300664 0.0024767719024022406
185 RADIAL 760 1146 876.7433010070479 380.0 573.0 -0.024319536806273745 0.023778682380816863
186 RADIAL 1141 760 875.1778014832295 570.5 380.0 -0.030281163308885084 0.023667442011672337
356 RADIAL 760 1013 1136.7295933199246 380.0 506.5 -0.042719994737370356 0.14943918794158217
300 RADIAL 1140 760 1172.7946286179267 570.0 380.0 -0.038932320679759366 -0.0988695050225328
192 RADIAL 1351 760 1394.3992154222283 675.5 380.0 -0.05216780747762914 -0.13109958083382608
66 RADIAL 1013 767 844.4360874738178 506.5 383.2972972972973 0.10089532834411047 -0.20359548062964253
207 RADIAL 760 943 1040.623555091916 380.0 471.7241379310345 -0.1420830164732883 0.10550159384220968
403 RADIAL 760 1013 2223.143656711113 380.00000000000006 506.49999999999994 0.04913786662206593 0.001592558122790809
232 RADIAL 1140 760 940.8919834818668 570.0 380.0 -0.1486788918236138 0.30882824140075943
508 RADIAL 760 1013 1046.5180524570285 380.0 506.5 -0.10233526231036962 0.0005009303703754929
144 RADIAL 760 1140 1394.3367153154993 380.0 570.0 0.32126007518176936 -0.475387184346938
412 RADIAL 760 915 1027.288218826479 380.0 457.5 -0.03876678303052127 0.04935522145959027
465 RADIAL 760 1013 1092.138369212919 380.00000000000006 506.49999999999994 0.009237519826506354 0.17334125470921416
466 RADIAL 760 1013 1046.4577381162987 380.00000000000006 506.49999999999994 0.06844111414958522 0.0038492507589297314
48 RADIAL 760 1013 723.6316915549709 380.0 506.5 0.1610113426193295 -0.19211341288212147
370 RADIAL 1013 760 785.9031595417094 506.5 380.0 0.08362521911176568 -0.12848905794574578
305 RADIAL 1147 765 556.3491391644292 573.5 382.3333333333333 0.053551849002966105 0.11216860444571983
117 RADIAL 1013 760 1030.1409631881447 506.49999999999994 380.00000000000006 -0.20667455220516417 0.25972846243759207
227 RADIAL 760 1140 828.4308810171242 380.0 570.0 0.5472439175138997 -2.9472898284260634
504 RADIAL 760 1013 1193.381697126828 380.0 506.50000000000006 0.36535509134450295 -3.359498174462411
102 RADIAL 1140 760 2428.3893167119086 570.0 380.0 0.38341095346446524 0.01911234732301776
381 RADIAL 760 760 955.4520260735754 380.0 380.0 0.9803395120197407 -4.79077391811918
1 RADIAL 760 1140 1334.8155191863402 380.0 570.0 -0.5264497938141509 3.96487970239725
238 RADIAL 1013 760 749.7792012377474 506.5 380.0 0.1139398200485046 -0.09985379210547836
385 RADIAL 1013 760 917.6879077469637 506.5 380.0 -0.003995049842404179 0.0007431266879895865
367 RADIAL 760 1140 1001.1379335026567 380.0 570.0 -0.06558307032242432 -0.5272969457287672
0 RADIAL 760 1140 1309.3754751901208 380.0 570.0 -0.6621345358855859 11.528012602938295
11 RADIAL 760 1140 1316.2941816728564 380.0 570.0 -0.6679606058407846 12.759154729873885
254 RADIAL 760 1140 817.2169479220014 380.0 570.0 0.04195302939213078 0.002694815660717293
86 RADIAL 760 1013 1196.0499622132306 380.0 506.50000000000006 0.17158691832092965 0.015564361420379693
91 RADIAL 760 1013 1195.2202856409929 380.0 506.5 0.11929687015063191 0.0055054548023420686
509 RADIAL 760 1013 1209.1036071308692 380.0 506.5 0.15017377964533088 -0.05744197865136997
450 RADIAL 760 1013 1199.3692223219612 380.0 506.5 0.14389529243768234 0.011236780981614455
239 RADIAL 1013 760 752.1248396701213 506.5 380.0 0.060798485227534886 -0.11919205614641837
255 RADIAL 760 1140 814.7783852405021 380.0 570.0 -0.029477677919346103 -0.0035966244088235177
491 RADIAL 760 1199 1428.0954166943907 380.0 599.5 -0.05759078185214536 7.961928618528053
177 RADIAL 760 1013 1206.8884229148543 380.0 506.5 -0.054054927865907085 7.906187000169502
271 RADIAL 760 1140 880.4374076421107 380.0 570.0 0.03460661249647002 0.006361632227224643
235 RADIAL 1013 760 747.9827495160675 506.5 380.0 0.03397600280008644 -0.05050025419949889
475 RADIAL 1013 767 1132.8245559526642 506.5 383.2972972972973 -0.08071352312817526 -0.009663311519791218
500 RADIAL 760 1013 1217.087049901641 380.0 506.5 -0.10857144085283772 -0.011804542052129913
374 RADIAL 760 891 751.8642890398193 380.0 445.5 -0.004033378977328541 -0.0003370583839224975
240 RADIAL 1688 777 782.9257889754247 844.0000220284279 388.4444538025529 -0.003377751884122691 0.05432014657305316
312 RADIAL 1013 767 1011.2790877984127 506.5 383.2972972972973 0.046290781182643105 -0.2133652021839459
187 RADIAL 1149 760 908.2589679674268 574.5 380.0 -0.06441075011019727 -0.006465704375709885
480 RADIAL 760 1013 1088.36044826196 380.0 506.5 -0.16923860641126234 0.23214383348915493
68 RADIAL 760 1013 873.7669520211497 380.0 506.49999999999994 0.10002179202164144 -0.1250169677055673
324 RADIAL 760 1013 806.4298863383024 380.0 506.5 0.04325337954671439 -0.09361263112848388
389 RADIAL 760 1013 868.6705056811669 380.0 506.5 0.09496396188225198 -0.1295556976818819
202 RADIAL 1140 760 964.489179305634 570.0 380.0 -0.19335317888997 0.1939304783201952
430 RADIAL 1013 767 926.922664069416 506.5 383.2972972972973 0.13422767469319793 -0.32121923450554757
149 RADIAL 760 1013 1068.9450032820585 380.0 506.5 -0.14841519714368231 0.1934103761612314
138 RADIAL 1139 760 1014.616671591211 569.5 380.0 -0.0734991152722266 0.13695359795490608
107 RADIAL 760 1013 1157.199348227525 380.0 506.5 -0.06303762007679733 -0.00317888838119318
35 RADIAL 760 1140 1486.5923648266216 380.0 570.0 -0.01816749161719172 -0.0002607045324570762
390 RADIAL 760 1353 1608.5914521219436 380.0 676.5 -0.3216558573181758 -0.004732943065465226
308 RADIAL 1175 760 648.388056986036 587.5 380.0 0.2961960757004218 -2.4817697870445805
519 RADIAL 760 943 1078.6966745879681 380.0 471.7241379310345 -0.3056732999457293 0.0499015087394038
445 RADIAL 760 1354 1368.806549748967 380.0 677.0 -0.13048758048608816 0.24820824701213545
270 RADIAL 1013 767 916.5199118729698 506.5 383.2972972972973 0.0902655267068315 -0.04421090141024646
230 RADIAL 760 1140 881.3856957501155 380.0 570.0 0.37931355132671796 -2.4616188233493563
65 RADIAL 1140 760 950.7809179427596 570.0 380.0 -0.17276297853622333 0.15489541325920733
150 RADIAL 760 1013 913.5330381787054 380.0 506.5 -0.21075165696022685 0.22041015040197096
243 RADIAL 760 1140 882.0140893200997 380.0 570.0 -0.06755047878197028 0.07133985861872201
162 RADIAL 824 774 806.9496286389495 412.0 387.030303030303 0.09192792840742463 -0.0509504687223889
49 RADIAL 760 1013 1215.3560782128593 380.0 506.5 -0.08098378662944625 -0.0021910456090588025
140 RADIAL 760 1129 1355.1994613452296 380.0 564.5 -0.31260188996715205 -0.016579511457365442
242 RADIAL 760 1140 820.8069111194742 380.0 570.0 -0.030223316194267973 -0.0012979721038635032
129 RADIAL 760 1013 1150.6391993822087 380.0 506.5 -0.6241340354036211 4.060618975736357
283 RADIAL 760 1140 1338.3874151932653 380.0 570.0 -0.25999999824239944 -0.009968520161279857
97 RADIAL 773 773 832.493189942776 386.5 386.5 0.11464427651960647 -0.21265806960408037
352 RADIAL 760 1013 837.9715873055569 380.0 506.5 0.008254785891402935 -0.11483487328808539
467 RADIAL 760 1013 1114.7335049481405 380.00000000000006 506.49999999999994 -0.009236884311351718 0.09863161153985567
69 RADIAL 760 1013 1088.0656604355768 380.0 506.5 -0.12541822056976054 0.34503134593204693
392 RADIAL 760 1013 866.8873535158009 380.0 506.5 0.06660085607430934 -0.0006950879352822327
120 RADIAL 760 1140 1125.6690958176914 380.0 570.0 0.12507854291077747 -0.4653505415349148
267 RADIAL 760 1013 1098.9300538077346 380.00000000000006 506.49999999999994 -0.1712142672066658 0.13883890005131183
488 RADIAL 1144 760 900.7339734490648 572.0 380.0 -0.015413949778661343 0.009792569295037664
