# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 23050, mean track length: 5.6
0 0.04673105245045955 -0.0792315053071686 1.183528603326711 222 179 124 0.19
1 0.004423492891365011 -0.2209016503020289 1.157778705335124 188 171 145 0.08
2 -0.0185710411981303 -0.2066679398029587 1.151997015505152 191 150 92 0.81
3 -0.009014480877294728 -0.1295705713755551 1.164860934428773 184 123 64 0.4
4 -0.03001022425204142 -0.1130543215467659 1.153448769152603 169 129 86 0.38
5 -0.04291306201081707 -0.08884316440521328 1.15282326168195 160 115 65 0.64
6 -0.08310431619782538 -0.0811354289286017 1.121317730784312 88 48 26 0.66
7 -0.05171770362458217 -0.04422253657569875 1.157995506304527 105 71 51 0.47
8 -0.1032548334083789 -0.03290329319598867 1.117046466558107 78 46 27 0.55
9 -0.01052853639620638 0.03187680505476892 1.18523271521601 187 130 74 0.3
10 -0.1214671005885892 -0.005189763725532204 1.108300080354636 81 43 22 0.59
11 0.02652249731283446 0.006810078529440267 1.210755693482074 166 121 85 0.38
12 0.02082796292355482 0.009062459410387358 1.206659845035245 185 137 82 0.7
13 0.01924375063917927 0.04342648565326079 1.208524930356837 171 128 84 0.7
14 -0.01332611285355506 0.06398031245949803 1.190319118461609 130 73 36 0.36
15 0.008673137786199547 0.1343816843853517 1.21851863616602 66 29 6 0.49
16 0.01987652333307555 0.1000255818664046 1.21484057255831 126 93 66 0.86
17 -0.02741528456178299 0.1125143476185106 1.199763141840199 198 143 85 0.56
18 -0.1007800136453957 0.1058316556432527 1.151415838795885 188 145 95 0.57
19 -0.06467055696584045 0.1141784218497343 1.177725495303505 140 86 42 0.53
20 -0.1769317479075717 0.1043077282446113 1.082259352188027 201 152 96 0.65
21 -0.01335985794615341 0.1339067753380642 1.197519805080406 192 139 82 0.73
22 -0.02077143889275601 0.1359935826846626 1.194671104265033 181 117 63 0.22
23 0.01937256412959354 0.1204227766260158 1.15408050185607 185 127 78 0.6
24 -0.1080690531537422 0.1305865236165219 1.144898007254683 125 78 35 0.17
25 -0.02884924872706451 0.1736359214478574 1.18896244529572 120 54 13 0.08
26 -0.03626812355622872 0.1579760147655697 1.194989144700248 155 111 69 0.54
27 -0.09936516546985658 0.1598509176466227 1.144201112916576 159 96 56 0.3
28 -0.1018653385032173 0.162911197326972 1.142135371724154 152 93 49 0.29
29 -0.1086098564413764 0.160117352192379 1.138151582187396 185 119 60 0.29
30 -0.1218754748685242 0.1579043046514497 1.127476718697725 86 39 16 0.59
31 0.01930131171562854 0.1954446203504953 1.22075736456871 102 65 37 0.08
32 -0.0314091266829078 0.1821003901753683 1.186827147903765 104 62 31 0.45
33 -0.1262826785717495 0.1694319550133001 1.123425365780768 171 114 68 0.18
34 -0.1267673887020591 0.1754340631065475 1.122004715786941 168 104 54 0.16
35 -0.1734254229998666 0.1796479544562164 1.080859539994322 177 118 66 0.49
36 -0.07744081716393886 0.2205462840239611 1.151332731148314 64 25 2 0.28
37 -0.105055320859067 0.212970180108508 1.132863069017031 115 71 35 0.28
38 -0.0149931445871983 0.2449938402587528 1.173410276533173 73 29 10 0.53
39 -0.04459449355577028 0.241765457969002 1.168229325685 61 26 9 0.48
40 -0.05141420990542594 0.2374856343246745 1.158360215899275 93 53 31 0.79
41 -0.05275408835278328 0.242686251524416 1.155471264497641 136 72 30 0.28
42 -0.05370271330611481 0.2431207286142459 1.154347626980019 76 30 6 0.22
43 -0.1266417201981959 0.2250184974840787 1.113583865448541 192 150 103 0.3
44 -0.05122021755444672 0.2450490725334453 1.156868204488352 117 61 30 0.39
45 -0.05405445702290979 0.2470501972737868 1.153370964649558 85 43 16 0.6
46 -0.1949050787983452 0.2172756848930043 1.054598790798228 221 157 104 0.24
47 -0.09184520371553972 0.2409966457611036 1.138389133837949 160 92 42 0.35
48 -0.04608833594559358 0.2579169385697099 1.162036745896485 186 123 79 0.55
49 -0.05951001307601622 0.2560068890252667 1.148558619037295 77 46 30 0.38
50 -0.09766211420358223 0.2438713749642756 1.126799320293187 77 42 22 0.16
51 -0.1319164904850793 0.2406630152207545 1.108140877557118 198 153 109 0.3
52 -0.001473376854217834 -0.2874742305421464 1.157507148469106 158 109 60 0.41
53 -0.002151888313134009 -0.2844118387941193 1.15574253544133 84 48 24 0.86
54 -0.01511539812531598 -0.2205752689351001 1.142826520341064 110 58 20 0.3
55 -0.04576282169916357 -0.1828522814992322 1.126143546969569 112 65 36 0.34
56 -0.03699350352720376 -0.2073629713827652 1.100555220593191 116 79 56 1.24
57 -0.06758535705484181 -0.1427417802800225 1.118732378628476 182 135 90 0.7
58 -0.03851781020083073 -0.08445256783961447 1.152834408674368 178 135 87 0.57
59 -0.04228701634388016 -0.08836498726669628 1.151349068315829 87 48 24 0.29
60 -0.01631268649537099 -0.07732868558456385 1.165413738598947 224 170 104 0.48
61 -0.03191480667191338 -0.03286675710939152 1.168153196186466 208 156 103 0.28
62 -0.1166161407932018 -0.02901143945925844 1.108859855455819 193 144 95 0.23
63 0.008469361819869237 -0.02360667097784286 1.195725903297066 200 148 101 0.34
64 -0.09144867313035532 -0.01997849087827025 1.130702731034723 202 139 76 0.21
65 -0.124940491864897 0.01104495812056322 1.10837957609592 173 129 84 0.63
66 -0.09012399665182025 0.01797273329755661 1.139866975312313 189 137 84 0.37
67 -0.08528300860569932 0.0474367202496131 1.170852048153973 183 126 72 0.61
68 -0.08796542183770156 0.04658977272914228 1.169713744452618 112 60 26 0.48
69 -0.002114274362897794 0.06849752637780682 1.200466489563319 102 62 31 0.88
70 -0.04464324979784401 0.06980625516985045 1.177751519455921 191 137 82 0.46
71 -0.1124704200891601 0.06637282885929974 1.122629580324691 206 159 107 0.45
72 -0.02981167951604902 0.09921747127283187 1.200922747456722 186 138 81 0.42
73 -0.06483192785547037 0.119651655626612 1.175458006610341 160 123 81 0.69
74 -0.06582505602327399 0.1242480620585075 1.17201861008903 92 55 28 0.61
75 -0.1022663312920684 0.16492648661333 1.141806050844959 163 102 67 0.49
76 -0.09915677279800766 0.1726884781065339 1.135200297103243 225 182 124 0.32
77 -0.02611698248230604 0.188600398576711 1.187670507179891 92 37 15 0.35
78 -0.1619749646278698 0.1612832955067884 1.088397292015807 84 50 33 0.56
79 -0.08680906878372274 0.1888282599887209 1.150414381046104 110 52 17 0.16
80 -0.04638173672405671 0.1978316499863527 1.165805539296842 145 107 80 0.68
81 -0.08217301285367445 0.2103465011488721 1.161945265995761 93 59 32 0.26
82 -0.08113877016846432 0.2153220218644647 1.162166593736724 140 102 71 0.6
83 -0.09483357890180405 0.2159241619968043 1.139584494416027 35 17 7 0.37
84 -0.1132170361184741 0.2242080673482644 1.123677161428441 154 95 52 0.32
85 -0.04202651349988218 0.2445302576860712 1.168631293109849 46 17 9 0.46
86 -0.122345995344416 0.2309925644553297 1.117974454584395 138 72 30 0.24
87 -0.1268018876339074 0.2300108874102992 1.11248037701471 198 149 99 0.29
88 -0.03638153800567184 0.2575232405047184 1.170267413984226 172 125 85 0.55
89 -0.0746854473001532 0.2501752808199983 1.148278356031019 161 97 50 0.47
90 -0.09336914843059396 0.239645979668456 1.130278728440665 127 75 46 0.24
91 -0.1195035028738645 0.2402991991156747 1.11878255191848 63 35 15 0.41
92 -0.03233078460471867 0.2593452711034281 1.172701988347222 130 75 50 0.63
93 -0.03362689632460131 0.2656480493532222 1.170123698076331 162 97 56 0.84
94 -0.08859412698922442 0.2503669638109352 1.137047165030427 135 87 48 0.37
95 -0.08840105167126644 0.2519938098533913 1.138170513862202 176 120 71 0.45
96 -0.08858500441242956 0.2546060923603382 1.137489163758597 163 95 49 0.4
97 -0.004116686209827858 0.200930319858407 1.196607154573562 74 42 28 0.53
98 -0.1168397563265457 0.251831288606115 1.117458086724656 89 52 25 0.17
99 -0.1225553321826221 0.2521470502487082 1.112026143386178 116 68 32 0.31
100 -0.1325313727629155 0.2465165827758498 1.107252005223709 175 124 82 0.37
101 -0.01113695571145346 0.2852775454572258 1.187795037981914 76 39 16 0.95
102 -0.08239335241973234 0.2695253680361743 1.143794315259422 149 99 62 0.31
103 0.03259486460693312 -0.3584214049626492 1.135873735702859 113 95 91 0.69
104 0.007841739813421622 -0.2673858999281943 1.149728642223186 173 116 62 0.81
105 -0.0101050855583632 -0.2632419582435643 1.142877066602436 162 103 49 0.52
106 -0.01251316047196577 -0.2250042270946793 1.143878710059685 181 142 96 0.48
107 -0.04143615034848624 -0.1841143928696832 1.127144448909186 110 60 28 0.29
108 -0.003350278184826305 -0.1945060647565589 1.112968118798493 168 114 66 0.21
109 -0.05664327466764402 -0.1610167443988822 1.123317978500627 110 68 45 0.41
110 -0.0511645186193857 -0.09215092624143167 1.145612647331808 167 132 86 0.39
111 0.0006030833877641029 -0.05201725599910118 1.181650126944684 96 53 25 0.62
112 -0.07097857173721706 -0.009949463366399069 1.156650977608885 187 127 72 0.24
113 -0.1027047588357662 -0.0192916864537806 1.121436914913298 186 140 91 0.51
114 0.001801900204207674 -0.0105005927871199 1.193601092440757 174 124 76 0.73
115 -0.06565904086600655 -0.008075036914777289 1.158105222740917 180 143 100 0.67
116 -0.01471958647413701 0.002800533221365087 1.182959793644928 51 27 13 0.43
117 -0.08033075725264821 0.009004927468571899 1.149060233008202 171 130 78 0.55
118 -0.1080587638701453 0.01577393077503031 1.121339273143816 128 82 40 0.69
119 0.02540326829723083 0.04145385885918573 1.212189374773008 155 120 98 0.86
120 -0.002854915576272876 0.04207796019137144 1.1932903886674 199 145 89 0.68
121 -0.1054415945904219 0.04171677424244696 1.127761807230303 187 140 94 0.36
