# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 12312, mean track length: 4.96
0 0.2554185813652441 0.1815859043102024 1.121994086434174 90 90 90 1.01
1 -0.08900594790171895 0.2246163486148305 1.154542320783118 95 60 35 0.48
2 -0.04959759458345187 0.07559199586026955 1.196272135068241 66 33 18 0.3
3 -0.05235536103831201 0.07368078318163984 1.196084002948956 154 107 63 0.39
4 -0.176622942398728 0.09713191560863366 1.120825490615426 80 45 19 0.5
5 -0.03950233746562543 0.2376205485908613 1.190452459331463 145 97 58 0.22
6 -0.1670469283833597 0.03507314452486721 1.12112249438248 56 32 19 0.53
7 -0.02518075078104942 0.1617424307522072 1.215992675020559 66 39 24 0.39
8 -0.1745002004639465 -0.01695755664231063 1.108632671231022 195 211 217 0.65
9 -0.09327370414713781 0.06852855281814851 1.169093305139523 109 50 15 0.44
10 -0.1440640368225452 0.1171977614326321 1.148751135050306 162 112 65 0.56
11 -0.1103717690302777 0.2431838092807134 1.143483485116473 77 41 24 0.5
12 -0.03683899562626647 0.1702057163881207 1.205961616832522 130 84 48 0.62
13 -0.1266931737576836 0.2273830648445705 1.133501635525513 115 62 32 0.32
14 -0.1745933924770091 0.2301533362682994 1.099211753963056 160 110 68 0.22
15 -0.1048469471386554 0.2356754493713157 1.151220089355373 59 30 10 0.21
16 -0.1259686973840927 0.08843231560423898 1.165152672853517 140 95 50 0.5
17 -0.02401441251016045 0.2347238731743693 1.2023265796902 162 106 58 0.12
18 -0.133043591684275 0.162321642550903 1.145700184382956 138 83 49 0.12
19 -0.1250202051174077 0.09338618439731178 1.166971920920112 156 101 44 0.59
20 -0.1151851046605816 0.1549595078561753 1.159517647678312 112 65 34 0.57
21 -0.1391633497303232 0.1614489356248311 1.141388966814043 133 64 33 0.43
22 -0.1531774957383512 0.2223083749142552 1.118522743726976 71 36 16 0.24
23 -0.1135232617484314 0.244853611158846 1.137803450184231 141 100 66 1.14
24 -0.0620654540911415 0.1159679519709349 1.201152055315613 169 121 74 0.38
25 -0.02512267329953666 0.1248408892346256 1.222578436747618 161 111 51 0.33
26 -0.02428799675656701 0.2399103791493191 1.2010199066051 46 22 14 0.2
27 -0.02496996095650889 0.1575720495227339 1.224171993125249 174 122 71 0.4
28 -0.07700509858807886 0.2212018642761173 1.169038359122136 111 66 30 0.3
29 -0.1115346201784319 0.2376651598919284 1.146610876069911 105 63 32 0.2
30 -0.02486467550088067 0.04365480695919038 1.200431314120884 173 123 68 0.5
31 -0.1185027193422344 0.09779105198965365 1.168942316834133 173 133 86 0.54
32 -0.0231807726032352 0.2394576031204404 1.201812786843677 146 100 58 0.48
33 -0.1695154383595009 0.005728969917769888 1.116042575281326 139 105 70 0.24
34 -0.028303366130767 0.1695715167598698 1.21047943883292 169 110 51 0.18
35 -0.1811787225924261 -0.01131200936923893 1.107049953368732 205 206 206 0.3
36 -0.2357086131755751 0.1577316158016731 1.075290645399504 200 213 214 0.35
37 -0.09519776748207592 0.1132494719406286 1.182934351071038 90 50 17 0.28
38 -0.1400742998887824 0.2479290293398417 1.126700038105826 154 107 68 1.06
39 -0.08487488816370325 -0.1909721466527777 1.142829440867783 85 56 32 0.26
40 -0.0110574283891875 0.1608364902030709 1.233889469903637 166 116 61 0.44
41 -0.1729326271198695 0.09878263816645938 1.120177199983817 151 101 57 0.39
42 -0.02060333331110142 0.04358872868293606 1.205169307439873 108 62 34 0.45
43 -0.02607967501153408 0.04000320341942259 1.202604562163612 146 102 62 0.37
44 -0.1473993310607523 0.1335426305352267 1.151243348864511 135 98 70 0.73
45 -0.1453050915532113 0.233002265605829 1.126132714564918 191 156 118 1.0
46 -0.01749473474071511 0.06972834684987855 1.212946963738557 166 124 86 0.37
47 -0.03621555182991815 0.2388905514872922 1.194628434596961 166 94 45 0.27
48 -0.07248741574831502 0.268017027894292 1.163989966390634 62 36 18 0.34
49 -0.04005009994015213 -0.2349636737975124 1.161425977928733 84 53 31 0.73
50 -0.01740626843366749 0.04403017247618307 1.209668367821217 167 115 68 0.52
