# Camera list with one line of data per camera:
#   CAMERA_ID, MODEL, WIDTH, HEIGHT, PARAMS[]
# Number of cameras: 22
232 RADIAL 1140 760 924.0800300812643 570.0 380.0 -0.11160882020727775 0.012420414314088704
465 RADIAL 760 1013 1068.1643851965114 380.00000000000006 506.49999999999994 0.06614896116293034 -0.2418157270425648
238 RADIAL 1013 760 755.6818002895075 506.5 380.0 0.08622308441188112 -0.13977811457040384
137 RADIAL 1140 760 976.7770489424731 570.0 380.0 -0.03136445543999406 -0.03038370540082441
524 RADIAL 1013 767 972.0526652726486 506.5 383.2972972972973 0.14359768204578982 -0.45449999906160027
239 RADIAL 1013 760 752.2278753151895 506.5 380.0 0.06705645958986833 -0.11746716297951094
33 RADIAL 760 1140 1406.3328168849541 380.0 570.0 -0.014869911962647768 0.03112923434617729
207 RADIAL 760 943 1026.1917478297069 380.0 471.7241379310345 -0.12473125616819554 0.02611636133045013
209 RADIAL 1143 762 1390.7523130181416 571.5 381.0 0.019577129937614644 0.0022221476448925637
300 RADIAL 1140 760 1161.1536741392536 570.0 380.0 -0.0334086502805219 -0.11726358244102206
183 RADIAL 1140 760 869.2673096464445 570.0 380.0 -0.044147518775983795 -0.0018214821116076618
412 RADIAL 760 915 1022.9423309214022 380.0 457.5 -0.05253129762354378 -0.018837585567659795
450 RADIAL 760 1013 1193.6660002345036 380.0 506.5 -0.0168817165788857 -0.021908370036703297
2 RADIAL 760 1140 1338.3967124114718 380.0 570.0 0.03856350459140428 0.0016390597594446229
86 RADIAL 760 1013 1208.536742951784 380.0 506.50000000000006 0.02556515733207768 -0.06961885571197955
504 RADIAL 760 1013 1230.3394816834546 380.0 506.50000000000006 -0.04915053801789921 -0.0023776111851382033
509 RADIAL 760 1013 1205.1256134388507 380.0 506.5 0.05492384945884375 0.0809891452910098
508 RADIAL 760 1013 1068.464524696481 380.0 506.5 -0.08137910427822125 -0.009102137014323337
102 RADIAL 1140 760 2438.5566388571347 570.0 380.0 0.508809204844483 2.2733959602133247
235 RADIAL 1013 760 752.5385285261045 506.5 380.0 0.134615695666508 -0.15977704973627124
491 RADIAL 760 1199 1439.7030148984231 380.0 599.5 0.05484135057509849 0.001955864549100385
255 RADIAL 760 1140 814.9249070099072 380.0 570.0 0.04441610019128527 0.00419395351192727
