# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 1971, mean track length: 3.81
0 -0.02818643092475265 -0.2324507496200223 1.17048704698572 177 158 133 0.48
1 -0.002071778178751094 -0.1944400888558565 1.186420411050154 160 146 132 0.4
2 -0.01210309276764432 -0.2166523763788794 1.168039025432133 172 161 146 0.53
3 0.0180412648208319 -0.179776583057185 1.196334159346694 136 116 114 0.3
4 0.001788175654932944 -0.1749765463533884 1.19257868831832 107 77 60 0.26
5 -0.01763804752981785 -0.1577477279602066 1.182571394119385 95 73 61 0.45
6 0.01300854957069131 -0.07237258911700467 1.21232773457122 201 216 225 0.36
7 -0.114518762401792 -0.06370202781083184 1.128903489515872 175 143 108 0.21
8 0.01020107924393288 -0.02295092625512579 1.214484507042015 149 114 88 1.19
9 -0.03981813355066727 -0.01174107007467501 1.188614844264104 100 66 50 0.27
10 -0.1320411669871088 -0.01184809447293345 1.11661716002732 58 41 40 0.16
11 -0.02139319500711762 0.04762564586693152 1.209943317849838 131 100 74 0.44
12 -0.105933754241883 0.038452159382178 1.14716076003311 144 109 84 0.53
13 -0.1328845155230459 -0.002725901731132574 1.097094301313767 115 74 53 0.47
14 -0.1186530108153966 0.05208275690847169 1.133685805620755 187 138 83 0.58
15 -0.1112739075125744 0.09693538640263724 1.170756585179471 90 57 28 0.94
16 -0.1915659486940225 0.09407314300603153 1.093890141755655 97 69 43 0.12
17 -0.1088801800019634 0.1169194638257652 1.162458727448429 69 40 28 0.9
18 -0.1661695310372732 0.1467520472903655 1.109500975816323 161 125 100 0.13
19 -0.1806948933188736 0.1425130959302744 1.097648748448514 140 106 79 0.14
20 -0.1945570358968893 0.1561113558491185 1.082647814255485 108 68 48 0.89
21 -0.1723081835308177 0.1685098445153598 1.094661305434696 145 92 54 0.13
22 -0.1247121360372355 0.2215875500209679 1.131771812603085 54 28 7 0.19
23 4.080718242716053e-05 -0.1468772603715657 1.193013990074298 96 77 74 0.25
24 -0.084269203884833 -0.08342069110053679 1.147290435196092 105 67 44 0.35
25 -0.09459092419162096 -0.03997277811384781 1.146253952817394 55 40 39 0.25
26 -0.09777948350469456 -0.04070991180498751 1.143345201094994 84 53 35 0.2
27 -0.1221935206962457 -0.02042326273720224 1.126781159913727 69 48 31 0.12
28 -0.02810388258299568 0.01793917021153452 1.203301249792784 93 61 40 0.58
29 -0.1348876719499966 -0.01070467857302171 1.110862256048387 53 44 35 0.3
30 0.01598155582055916 0.02996968525110433 1.218877859723017 134 100 76 0.96
31 -0.04088773767026155 0.05049788784512832 1.195863846866172 124 93 58 0.33
32 -0.1185145005149181 0.03124568233310265 1.133090265348065 94 57 30 0.07
33 -0.1266271069313504 0.02750349149552744 1.127196228667241 169 132 83 0.75
34 -0.1463189652201304 0.01682341761322459 1.103208043657196 157 121 91 0.28
35 -0.1430363034679659 0.03916637474019108 1.118489781091886 66 38 33 0.36
36 -0.142353971365257 0.04259806083545131 1.118744352046974 188 149 106 0.32
37 -0.1621182468787549 0.05352358055984874 1.102962257901881 174 135 85 0.55
38 -0.1679975912872 0.05460278876800223 1.099525403154171 116 87 62 0.86
39 -0.0962957599030414 0.1160594766702478 1.173703991431971 170 137 98 0.93
40 -0.1226144111348039 0.1135867975934943 1.147106721213167 174 139 89 0.72
41 -0.1314972935044348 0.1309962930417143 1.137778664036381 146 116 80 0.49
42 0.007009073888446959 0.1887651644029595 1.243357359528749 115 116 115 0.75
43 -0.1679920277495603 0.1715665274042013 1.096068793470688 148 113 86 0.11
44 -0.03565577058788161 0.2452926246302572 1.190269379811285 88 73 48 0.33
45 -0.03686893803699343 -0.1630199222558277 1.167649527785499 63 53 59 0.38
46 -0.0585134922012312 -0.1402414159047465 1.161127794327814 91 59 40 0.69
47 -0.05973170304395242 -0.08428577555223826 1.167249464616615 136 114 79 0.39
48 0.01100249776322565 -0.06362179998225809 1.212027742796297 110 80 51 0.88
49 -0.06096821676348718 -0.07404664127328753 1.168967471310236 176 140 99 0.51
50 -0.08153331151980198 -0.08209852099501669 1.145865391880224 182 149 119 0.62
51 -0.08922882124566989 -0.07662084128257868 1.142289537928145 95 72 57 0.41
52 -0.01947057997633328 -0.02236559297943519 1.204696971660864 156 130 109 0.14
53 -0.06384221803801593 -0.02317082917866675 1.182526295696404 69 46 34 0.16
54 -0.1093379392712506 -0.04431039689161348 1.133970925042198 82 54 38 0.36
55 -0.1099870338482555 -0.02862706135113235 1.138355340422774 153 124 101 0.29
56 -0.1026289753689476 0.006422343962931787 1.154009660350026 179 147 116 0.67
57 -0.1172286447273165 -0.006495886821197783 1.13355319239632 88 53 30 0.58
58 -0.03428799212223871 0.01806680274675015 1.19512198467526 83 48 26 0.61
59 -0.1272361459726997 0.008721669243611119 1.128550333999947 74 46 31 0.4
60 -0.02677649305396451 0.05226207507852609 1.203123428944771 153 124 96 0.77
61 -0.1052278572388312 0.02842588712068034 1.144403095957147 64 36 21 0.23
62 -0.1129388472154916 0.03283491502760988 1.13887043713858 99 71 52 0.44
63 -0.1162591899070344 0.01565058743533226 1.123822897888672 164 123 77 0.4
64 -0.1279916995569562 0.02149875483595254 1.129143222534237 141 98 59 0.31
65 -0.1279916398522384 0.02521532312315267 1.123865100829414 196 142 90 0.32
66 0.008946574461679346 0.09736098906976576 1.234970215771076 203 210 220 0.76
67 -0.1221349570866366 0.05620274622113369 1.128272415825217 150 108 63 0.32
68 -0.1649340584533542 0.03618376466429574 1.096833892451808 125 117 128 0.45
69 -0.001197346234182162 0.09574854781365194 1.225910963226364 156 128 103 0.29
70 -0.09384160057514779 0.08514265627814133 1.169184563291975 156 125 98 1.1
71 -0.03704056143585432 0.09406866991240154 1.199515529064213 90 62 41 0.67
72 -0.1071394709888651 0.1105322799650723 1.16655836562301 156 121 86 0.56
73 -0.1240576871126129 0.1100793011624424 1.156276679980988 99 72 50 0.27
74 -0.07149710610278254 0.1383043375226863 1.188135931860594 79 54 34 0.67
75 -0.11089893560302 0.1333754024407861 1.159727309830325 86 60 40 0.27
76 -0.1905973860001325 0.1610528759873812 1.085165966369355 173 132 97 0.31
77 -0.1228100365539231 0.1753170999988744 1.14744838472792 64 34 27 0.14
78 -0.1233022843460518 0.2219255384180856 1.132764057191824 69 31 17 0.14
79 -0.1966846376308848 0.2221758321788756 1.070023669494845 84 45 37 0.75
80 -0.099690074712601 0.2695226766655755 1.140038683635791 125 98 74 0.49
81 0.01577105137492235 -0.0961104853703586 1.210078574694667 216 232 247 0.25
82 -0.01607663005986143 -0.09862706326852688 1.191711118071244 187 148 108 0.5
83 -0.007479635619290048 -0.04901986973161487 1.204022881140654 184 145 107 0.38
84 -0.08791358089911971 -0.051298845505999 1.14921199994712 70 40 28 0.68
85 -0.03156228525382304 0.00331333774896525 1.199910643445783 75 41 24 0.31
86 -0.1032996520917477 -0.02666976295335394 1.14378982249542 95 49 32 0.18
87 -0.1136952361689492 -0.01958004214387332 1.13401036713975 96 56 32 0.62
88 -0.1252042807603412 -0.01230153200068701 1.129248530868193 172 149 122 0.8
89 -0.1358607654660566 -0.01768104650569752 1.102566404625897 175 143 108 0.79
90 -0.1304116795742784 0.007084547111927131 1.124927997161227 74 45 37 0.2
91 -0.1344359928948956 0.006323746468166414 1.122260284298971 73 40 22 0.39
92 -0.09382995034850006 0.01844283014260428 1.129447135360366 119 81 52 0.68
93 -0.1197014023040284 0.02744451705464346 1.135160234271736 79 50 38 0.31
94 0.01411523779729873 0.05582191679947324 1.221053495812702 124 96 80 0.94
95 -0.1008567014109152 0.07137290861471263 1.155792299590824 54 34 26 0.68
96 -0.003615159221067532 0.09938717059904098 1.225789650940176 86 61 47 0.74
97 -0.05757905055175805 0.08527133941779202 1.190837175559661 80 48 28 0.47
98 -0.1098358196473696 0.07295867739378159 1.149186833717972 161 130 96 0.21
99 -0.0489235648322725 0.1274114749372021 1.202595678711626 152 114 69 1.04
100 -0.166884842271912 0.09504025401115707 1.101504835213471 157 106 68 0.49
101 -0.1082519204960085 0.1255875791335352 1.159286429820774 98 66 36 0.79
102 -0.09895513204439288 0.1814808317581507 1.156359959926582 130 92 70 0.45
103 -0.1001024147126333 0.1828826710115318 1.153953625538282 59 38 23 0.47
104 -0.09873410314683234 0.1861411585957003 1.155049857071393 147 100 67 0.28
105 -0.10284893856981 0.1852515501161903 1.15240787528976 153 109 71 0.33
106 -0.1030653872853666 0.1905383090620115 1.150944058349975 160 109 76 0.11
107 -0.09747173120955843 0.1953251079918129 1.147467078000235 129 107 84 1.0
108 -0.03657434483413741 0.2430187421385633 1.188278084160428 15 9 6 0.72
109 -0.124544193347276 0.2309661446095566 1.129553145920524 181 134 91 0.84
110 -0.1290344579896906 0.2227549367028827 1.126724529913735 57 16 10 0.54
111 -0.1054086021535633 0.2485772512301578 1.138725018779258 143 91 67 0.47
112 -0.1317559426777918 -0.02176087736166643 1.12242596543387 83 55 43 0.87
113 -0.04934149792667664 0.03329447907109395 1.194387477228134 72 45 28 1.22
114 -0.049586547325422 0.03036986309170703 1.189381980574688 185 131 81 0.44
115 -0.07099232649346016 0.02714677142601096 1.184388410678157 76 45 23 0.3
116 -0.08784976515052645 0.01983719373886633 1.169206765198989 75 47 32 0.28
117 -0.1166032171977396 0.01812752592254935 1.154256491471599 169 136 101 0.46
118 -0.115944817109055 0.03056886326108477 1.13679725152663 189 149 103 0.54
119 -0.111537009752444 0.09349809754532601 1.170487471981121 153 121 87 0.54
120 -0.1503282541692299 0.05840266633890839 1.112167783441192 72 43 34 0.26
121 -0.0463287868671618 0.1398011784702418 1.189498088233597 150 110 62 1.0
122 -0.09718121717502387 0.1684656882338232 1.166180740676013 132 86 55 0.5
123 -0.09860289912417497 0.1900613766968622 1.15856115735215 60 47 36 0.42
124 -0.1503127055734489 0.2248686464859398 1.107364510225765 185 138 98 0.24
